R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+15   0.0150  1  172.07  144.470  0.12396  235.58  225.54  256.09    7.707    6.346   45.93  1500.66
 0.12500D+11 0.10000D+15   0.0150  1  171.89  144.227  0.12206  236.04  226.58  256.13    7.699    6.750   46.52  1500.68
 0.25000D+11 0.10000D+15   0.0150  1  171.56  143.866  0.11935  236.71  227.74  256.18    7.691    7.155   44.11  1500.75
 0.37500D+11 0.10000D+15   0.0150  1  171.20  143.492  0.11666  237.36  228.86  256.24    7.684    7.561   41.96  1500.82
 0.50000D+11 0.10000D+15   0.0150  1  170.82  143.105  0.11400  238.01  229.92  256.30    7.676    7.966   40.02  1500.89
 0.62500D+11 0.10000D+15   0.0150  1  170.41  142.705  0.11137  238.65  230.95  256.36    7.669    8.372   38.27  1500.96
 0.75000D+11 0.10000D+15   0.0150  1  169.98  142.291  0.10878  239.27  231.93  256.42    7.661    8.778   36.68  1501.02
 0.87500D+11 0.10000D+15   0.0150  1  169.54  141.863  0.10622  239.89  232.88  256.49    7.654    9.183   35.22  1501.09
 0.10000D+12 0.10000D+15   0.0150  1  169.06  141.420  0.10369  240.50  233.80  256.56    7.646    9.589   33.89  1501.16
 0.11250D+12 0.10000D+15   0.0150  1  168.57  140.962  0.10120  241.10  234.68  256.63    7.639    9.995   32.66  1501.23
 0.12500D+12 0.10000D+15   0.0150  1  168.05  140.489  0.09875  241.68  235.54  256.70    7.631   10.402   31.53  1501.29
 0.13750D+12 0.10000D+15   0.0150  1  167.51  139.999  0.09633  242.26  236.37  256.77    7.623   10.808   30.48  1501.36
 0.15000D+12 0.10000D+15   0.0150  1  166.95  139.492  0.09395  242.83  237.18  256.85    7.616   11.214   29.50  1501.42
 0.16250D+12 0.10000D+15   0.0150  1  166.37  138.967  0.09160  243.40  237.97  256.93    7.608   11.620   28.59  1501.49
 0.17500D+12 0.10000D+15   0.0150  1  165.75  138.424  0.08929  243.95  238.74  257.01    7.600   12.027   27.74  1501.55
 0.18750D+12 0.10000D+15   0.0150  1  165.12  137.861  0.08701  244.50  239.49  257.10    7.592   12.434   26.95  1501.61
 0.20000D+12 0.10000D+15   0.0150  1  164.45  137.277  0.08477  245.03  240.22  257.18    7.584   12.840   26.20  1501.67
 0.21250D+12 0.10000D+15   0.0150  1  163.76  136.672  0.08256  245.56  240.93  257.27    7.576   13.247   25.50  1501.74
 0.22500D+12 0.10000D+15   0.0150  1  163.04  136.044  0.08039  246.09  241.63  257.37    7.567   13.654   24.84  1501.80
 0.23750D+12 0.10000D+15   0.0150  1  162.28  135.392  0.07824  246.61  242.31  257.47    7.559   14.061   24.22  1501.86
 0.25000D+12 0.10000D+15   0.0150  1  161.50  134.716  0.07614  247.12  242.98  257.57    7.550   14.468   23.63  1501.92
 0.26250D+12 0.10000D+15   0.0150  1  160.68  134.012  0.07406  247.62  243.64  257.67    7.541   14.875   23.07  1501.98
 0.27500D+12 0.10000D+15   0.0150  1  159.83  133.282  0.07202  248.12  244.29  257.78    7.533   15.282   22.55  1502.04
 0.28750D+12 0.10000D+15   0.0150  1  158.94  132.522  0.07001  248.62  244.92  257.89    7.523   15.689   22.05  1502.10
 0.30000D+12 0.10000D+15   0.0150  1  158.02  131.732  0.06804  249.11  245.54  258.00    7.514   16.097   21.57  1502.16
 0.31250D+12 0.10000D+15   0.0150  1  157.05  130.909  0.06609  249.59  246.15  258.12    7.504   16.504   21.12  1502.21
 0.32500D+12 0.10000D+15   0.0150  1  156.05  130.053  0.06418  250.07  246.76  258.25    7.494   16.911   20.69  1502.27
 0.33750D+12 0.10000D+15   0.0150  1  155.00  129.162  0.06230  250.55  247.35  258.38    7.484   17.319   20.28  1502.33
 0.35000D+12 0.10000D+15   0.0150  1  153.90  128.234  0.06046  251.02  247.94  258.51    7.474   17.726   19.89  1502.39
 0.36250D+12 0.10000D+15   0.0150  1  152.76  127.267  0.05865  251.49  248.52  258.65    7.463   18.134   19.51  1502.44
 0.37500D+12 0.10000D+15   0.0150  1  151.56  126.260  0.05687  251.96  249.09  258.79    7.452   18.542   19.16  1502.50
 0.38750D+12 0.10000D+15   0.0150  1  150.32  125.211  0.05513  252.42  249.65  258.94    7.441   18.950   18.82  1502.56
 0.40000D+12 0.10000D+15   0.0150  1  149.02  124.118  0.05342  252.88  250.21  259.10    7.429   19.357   18.49  1502.61
 0.41250D+12 0.10000D+15   0.0150  1  147.67  122.978  0.05175  253.34  250.76  259.26    7.417   19.765   18.18  1502.67
 0.42500D+12 0.10000D+15   0.0150  1  146.26  121.792  0.05011  253.79  251.30  259.43    7.404   20.173   17.88  1502.73
 0.43750D+12 0.10000D+15   0.0150  1  144.78  120.556  0.04851  254.24  251.84  259.60    7.391   20.581   17.59  1502.78
 0.45000D+12 0.10000D+15   0.0150  1  143.25  119.269  0.04695  254.69  252.37  259.78    7.378   20.989   17.31  1502.83
 0.46250D+12 0.10000D+15   0.0150  1  141.65  117.930  0.04542  255.14  252.90  259.96    7.364   21.398   17.05  1502.89
 0.47500D+12 0.10000D+15   0.0150  1  139.99  116.537  0.04393  255.58  253.42  260.15    7.350   21.806   16.79  1502.94
 0.48750D+12 0.10000D+15   0.0150  1  138.26  115.089  0.04248  256.03  253.94  260.35    7.335   22.214   16.55  1503.00
 0.50000D+12 0.10000D+15   0.0150  1  136.46  113.585  0.04107  256.47  254.45  260.55    7.320   22.622   16.31  1503.05
 0.51250D+12 0.10000D+15   0.0150  1  134.59  112.023  0.03969  256.91  254.96  260.76    7.304   23.030   16.08  1503.10
 0.52500D+12 0.10000D+15   0.0150  1  132.65  110.405  0.03836  257.34  255.46  260.98    7.287   23.438   15.87  1503.15
 0.53750D+12 0.10000D+15   0.0150  1  130.65  108.728  0.03707  257.78  255.96  261.20    7.271   23.847   15.66  1503.20
 0.55000D+12 0.10000D+15   0.0150  1  128.57  106.994  0.03582  258.21  256.45  261.43    7.253   24.255   15.45  1503.25
 0.56250D+12 0.10000D+15   0.0150  1  126.42  105.203  0.03461  258.64  256.93  261.67    7.235   24.663   15.26  1503.30
 0.57500D+12 0.10000D+15   0.0150  1  124.21  103.356  0.03344  259.06  257.42  261.91    7.217   25.071   15.07  1503.35
 0.58750D+12 0.10000D+15   0.0150  1  121.92  101.454  0.03232  259.49  257.89  262.15    7.198   25.479   14.89  1503.40
 0.60000D+12 0.10000D+15   0.0150  1  119.58   99.499  0.03124  259.91  258.36  262.40    7.178   25.887   14.71  1503.45
 0.61250D+12 0.10000D+15   0.0150  1  117.17   97.493  0.03020  260.32  258.82  262.66    7.158   26.294   14.54  1503.50
 0.62500D+12 0.10000D+15   0.0150  1  114.70   95.440  0.02920  260.74  259.28  262.92    7.137   26.702   14.37  1503.54
 0.63750D+12 0.10000D+15   0.0150  1  112.18   93.342  0.02824  261.14  259.73  263.18    7.116   27.110   14.21  1503.59
