R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0300    0.768   0.5700 0.20364D-08  0  0   12.05   10.000  0.01187  272.25  265.58   35.686   53.845   10.00   273.93
 0.12270D-01   1.0362   0.0300    1.488   0.5700 0.12068D-08  1  0   19.94   16.949  0.01251  271.53  265.52   19.453   37.647   11.46   275.61
 0.14540D-01   1.0349   0.0300    1.895   0.5700 0.90772D-09  1  0   26.76   22.617  0.01307  270.93  265.33   17.785   35.888   11.94   277.28
 0.16810D-01   1.0336   0.0300    2.219   0.5700 0.73952D-09  1  0   33.07   27.854  0.01364  270.36  265.08   16.605   34.632   12.29   278.96
 0.19080D-01   1.0324   0.0300    2.492   0.5700 0.63169D-09  1  0   38.92   32.712  0.01421  269.81  264.80   15.699   33.663   12.56   280.63
 0.21350D-01   1.0311   0.0300    2.729   0.5700 0.55654D-09  1  0   44.38   37.237  0.01477  269.29  264.51   14.966   32.875   12.78   282.30
 0.23620D-01   1.0298   0.0300    2.942   0.5700 0.50109D-09  1  0   49.48   41.471  0.01535  268.79  264.22   14.350   32.212   12.97   283.97
 0.25890D-01   1.0285   0.0300    3.134   0.5700 0.45845D-09  1  0   54.27   45.445  0.01592  268.31  263.92   13.819   31.640   13.14   285.63
 0.28160D-01   1.0273   0.0300    3.312   0.5700 0.42462D-09  1  0   58.78   49.185  0.01650  267.85  263.63   13.351   31.137   13.28   287.30
 0.30430D-01   1.0260   0.0300    3.476   0.5700 0.39712D-09  1  0   63.03   52.711  0.01708  267.40  263.33   12.932   30.688   13.40   288.96
 0.32700D-01   1.0247   0.0300    3.629   0.5700 0.37432D-09  1  0   67.05   56.041  0.01767  266.97  263.04   12.552   30.282   13.52   290.62
 0.34970D-01   1.0234   0.0300    3.773   0.5700 0.35513D-09  1  0   70.85   59.190  0.01826  266.55  262.76   12.204   29.911   13.62   292.28
 0.37240D-01   1.0222   0.0300    3.909   0.5700 0.33876D-09  1  0   74.45   62.171  0.01885  266.14  262.48   11.883   29.570   13.72   293.93
 0.39510D-01   1.0209   0.0300    4.038   0.5700 0.32465D-09  1  0   77.85   64.993  0.01945  265.75  262.21   11.584   29.254   13.81   295.59
 0.41780D-01   1.0196   0.0300    4.160   0.5700 0.31236D-09  1  0   81.08   67.668  0.02005  265.37  261.94   11.304   28.960   13.89   297.24
 0.44050D-01   1.0184   0.0300    4.276   0.5700 0.30157D-09  1  0   84.14   70.203  0.02065  265.00  261.68   11.041   28.685   13.97   298.89
 0.46320D-01   1.0171   0.0300    4.388   0.5700 0.29205D-09  1  0   87.04   72.606  0.02125  264.64  261.42   10.792   28.426   14.05   300.54
 0.48590D-01   1.0159   0.0300    4.494   0.5700 0.28358D-09  1  0   89.79   74.884  0.02185  264.29  261.17   10.557   28.183   14.12   302.18
 0.50860D-01   1.0146   0.0300    4.596   0.5700 0.27602D-09  1  0   92.39   77.044  0.02245  263.96  260.93   10.333   27.953   14.18   303.83
 0.53130D-01   1.0134   0.0300    4.693   0.5700 0.26924D-09  1  0   94.87   79.091  0.02305  263.63  260.70   10.121   27.736   14.24   305.47
 0.55400D-01   1.0121   0.0300    4.787   0.5700 0.26313D-09  1  0   97.21   81.030  0.02365  263.32  260.47    9.918   27.530   14.31   307.11
 0.57670D-01   1.0109   0.0300    4.877   0.5700 0.25760D-09  1  0   99.43   82.867  0.02424  263.01  260.25    9.724   27.334   14.36   308.75
 0.59940D-01   1.0096   0.0300    4.964   0.5700 0.25259D-09  1  0  101.53   84.607  0.02483  262.72  260.03    9.539   27.147   14.42   310.38
 0.62210D-01   1.0084   0.0300    5.048   0.5700 0.24804D-09  1  0  103.51   86.253  0.02541  262.44  259.83    9.361   26.970   14.47   312.02
 0.64480D-01   1.0071   0.0300    5.129   0.5700 0.24389D-09  1  0  105.40   87.809  0.02598  262.16  259.63    9.192   26.802   14.52   313.65
 0.66750D-01   1.0059   0.0300    5.207   0.5700 0.24010D-09  1  0  107.17   89.281  0.02655  261.90  259.43    9.030   26.641   14.57   315.28
 0.69020D-01   1.0046   0.0300    5.282   0.5700 0.23663D-09  1  0  108.85   90.671  0.02711  261.65  259.25    8.874   26.488   14.62   316.91
 0.71290D-01   1.0034   0.0300    5.354   0.5700 0.23346D-09  1  0  110.44   91.983  0.02765  261.40  259.07    8.726   26.342   14.66   318.53
 0.73560D-01   1.0021   0.0300    5.424   0.5700 0.23054D-09  1  0  111.94   93.221  0.02819  261.17  258.89    8.584   26.204   14.71   320.16
 0.75830D-01   1.0009   0.0300    5.492   0.5700 0.22787D-09  1  0  113.35   94.388  0.02871  260.94  258.73    8.448   26.072   14.75   321.78
 0.78100D-01   0.9997   0.0300    5.558   0.5700 0.22541D-09  1  0  114.67   95.486  0.02922  260.73  258.57    8.318   25.946   14.79   323.40
 0.80370D-01   0.9984   0.0300    5.622   0.5700 0.22314D-09  1  0  115.92   96.520  0.02972  260.52  258.42    8.194   25.827   14.83   325.02
 0.82640D-01   0.9972   0.0300    5.683   0.5700 0.22106D-09  1  0  117.10   97.491  0.03020  260.32  258.27    8.076   25.714   14.87   326.64
 0.84910D-01   0.9960   0.0300    5.743   0.5700 0.21914D-09  1  0  118.20   98.403  0.03066  260.14  258.14    7.964   25.607   14.90   328.25
 0.87180D-01   0.9947   0.0300    5.801   0.5700 0.21738D-09  1  0  119.24   99.259  0.03111  259.96  258.00    7.858   25.505   14.94   329.86
 0.89450D-01   0.9935   0.0300    5.857   0.5700 0.21575D-09  1  0  120.21  100.060  0.03154  259.79  257.88    7.756   25.409   14.97   331.47
 0.91720D-01   0.9923   0.0300    5.912   0.5700 0.21425D-09  1  0  121.12  100.810  0.03196  259.63  257.76    7.660   25.318   15.00   333.08
 0.93990D-01   0.9911   0.0300    5.965   0.5700 0.21286D-09  1  0  121.96  101.512  0.03235  259.47  257.65    7.570   25.232   15.03   334.69
 0.96260D-01   0.9898   0.0300    6.017   0.5700 0.21159D-09  1  0  122.76  102.166  0.03273  259.33  257.54    7.484   25.151   15.06   336.30
 0.98530D-01   0.9886   0.0300    6.067   0.5700 0.21042D-09  1  0  123.50  102.777  0.03309  259.19  257.44    7.403   25.075   15.08   337.90
