R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.88194D-06  0  0  0.01105  273.24  261.57 0.32206D+15  2.167    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.88210D-07  0  0  0.01108  273.21  264.63 0.23343D+15  2.167 1398.882 1398.305 1385.815 1411.370    0.32    0.32    0.32
    0.64    0.77 0.44114D-07  0  0  0.01110  273.18  265.14 0.22107D+15  2.167  699.459  698.882  686.388  711.948    0.64    0.64    0.64
    0.97    1.16 0.29416D-07  0  0  0.01113  273.15  265.45 0.21336D+15  2.168  466.317  465.740  453.243  478.809    0.97    0.97    0.97
    1.29    1.55 0.22066D-07  0  0  0.01115  273.12  265.69 0.20768D+15  2.168  349.747  349.170  336.669  362.240    1.29    1.29    1.29
    1.61    1.94 0.17657D-07  0  0  0.01118  273.08  265.88 0.20317D+15  2.168  279.804  279.227  266.723  292.299    1.61    1.61    1.61
    1.93    2.33 0.14717D-07  0  0  0.01120  273.05  266.03 0.19941D+15  2.168  233.176  232.599  220.091  245.673    1.93    1.93    1.93
    2.25    2.71 0.12617D-07  0  0  0.01123  273.02  266.16 0.19619D+15  2.169  199.870  199.293  186.781  212.369    2.25    2.25    2.25
    2.58    3.10 0.11042D-07  0  0  0.01125  272.99  266.28 0.19337D+15  2.169  174.890  174.313  161.798  187.391    2.58    2.58    2.58
    2.90    3.49 0.98174D-08  0  0  0.01128  272.96  266.38 0.19085D+15  2.169  155.462  154.885  142.366  167.964    2.90    2.90    2.90
    3.22    3.88 0.88374D-08  0  0  0.01131  272.93  266.46 0.18858D+15  2.170  139.919  139.342  126.820  152.423    3.22    3.22    3.22
    3.54    4.27 0.80357D-08  0  0  0.01133  272.89  266.54 0.18652D+15  2.170  127.202  126.625  114.099  139.708    3.54    3.54    3.54
    3.86    4.65 0.73676D-08  0  0  0.01136  272.86  266.62 0.18462D+15  2.170  116.604  116.028  103.498  129.112    3.86    3.86    3.86
    4.19    5.04 0.68022D-08  0  0  0.01138  272.83  266.68 0.18286D+15  2.170  107.637  107.061   94.527  120.147    4.19    4.19    4.19
    4.51    5.43 0.63177D-08  0  0  0.01141  272.80  266.74 0.18123D+15  2.171   99.951   99.374   86.837  112.463    4.51    4.51    4.51
    4.83    5.82 0.58977D-08  0  0  0.01144  272.77  266.80 0.17970D+15  2.171   93.290   92.713   80.172  105.803    4.83    4.83    4.83
    5.15    6.21 0.55303D-08  0  0  0.01146  272.74  266.85 0.17826D+15  2.171   87.461   86.884   74.340   99.976    5.15    5.15    5.15
    5.47    6.59 0.52060D-08  0  0  0.01149  272.70  266.89 0.17690D+15  2.171   82.318   81.742   69.194   94.835    5.47    5.47    5.47
    5.80    6.98 0.49178D-08  0  0  0.01151  272.67  266.94 0.17562D+15  2.172   77.746   77.170   64.618   90.265    5.80    5.80    5.80
    6.12    7.37 0.46599D-08  0  0  0.01154  272.64  266.98 0.17441D+15  2.172   73.656   73.080   60.524   86.177    6.12    6.12    6.12
    6.44    7.76 0.44279D-08  0  0  0.01157  272.61  267.01 0.17325D+15  2.172   69.975   69.398   56.839   82.497    6.44    6.44    6.44
    6.76    8.15 0.42179D-08  0  0  0.01159  272.57  267.05 0.17215D+15  2.173   66.644   66.068   53.505   79.169    6.76    6.76    6.76
    7.08    8.54 0.40270D-08  0  0  0.01162  272.54  267.08 0.17109D+15  2.173   63.616   63.040   50.473   76.142    7.08    7.08    7.08
    7.41    8.92 0.38527D-08  0  0  0.01165  272.51  267.11 0.17008D+15  2.173   60.851   60.275   47.705   73.380    7.41    7.41    7.41
    7.73    9.31 0.36929D-08  0  0  0.01168  272.48  267.13 0.16911D+15  2.173   58.317   57.741   45.167   70.847    7.73    7.73    7.73
    8.05    9.70 0.35459D-08  0  0  0.01170  272.45  267.16 0.16818D+15  2.174   55.985   55.409   42.832   68.517    8.05    8.05    8.05
    8.37   10.09 0.34103D-08  0  0  0.01173  272.41  267.18 0.16728D+15  2.174   53.833   53.257   40.676   66.367    8.37    8.37    8.37
    8.69   10.48 0.32846D-08  0  0  0.01176  272.38  267.21 0.16642D+15  2.174   51.840   51.264   38.680   64.376    8.69    8.69    8.69
    9.02   10.86 0.31680D-08  0  0  0.01179  272.35  267.23 0.16558D+15  2.174   49.990   49.414   36.825   62.527    9.02    9.02    9.02
    9.34   11.25 0.30594D-08  0  0  0.01181  272.31  267.25 0.16477D+15  2.175   48.267   47.691   35.099   60.806    9.34    9.34    9.34
    9.66   11.64 0.29580D-08  0  0  0.01184  272.28  267.26 0.16399D+15  2.175   46.659   46.083   33.487   59.200    9.66    9.66    9.66
    9.98   12.03 0.28632D-08  0  0  0.01187  272.25  267.28 0.16324D+15  2.175   45.154   44.579   31.979   57.698    9.98    9.98    9.98
   10.30   12.42 0.27743D-08  0  0  0.01190  272.22  267.29 0.16250D+15  2.176   43.744   43.168   30.565   56.289   10.30   10.30   10.30
   10.63   12.80 0.26908D-08  0  0  0.01193  272.18  267.31 0.16179D+15  2.176   42.419   41.844   29.237   54.966   10.63   10.63   10.63
   10.95   13.19 0.26122D-08  0  0  0.01195  272.15  267.32 0.16110D+15  2.176   41.172   40.597   27.986   53.721   10.95   10.95   10.95
   11.27   13.58 0.25381D-08  0  0  0.01198  272.12  267.33 0.16043D+15  2.176   39.997   39.421   26.807   52.547   11.27   11.27   11.27
   11.59   13.97 0.24681D-08  0  0  0.01201  272.09  267.34 0.15977D+15  2.177   38.886   38.311   25.693   51.439   11.59   11.59   11.59
   11.91   14.36 0.24019D-08  0  0  0.01204  272.05  267.35 0.15913D+15  2.177   37.836   37.261   24.639   50.390   11.91   11.91   11.91
