R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.10473D-05  0  0  0.01105  273.24  261.57 0.32206D+15  2.167    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.10475D-06  0  0  0.01108  273.21  265.16 0.22113D+15  2.167 1398.882 1398.305 1383.365 1413.820    0.32    0.32    0.32
    0.64    0.77 0.52386D-07  0  0  0.01110  273.18  265.74 0.20772D+15  2.167  699.459  698.882  683.938  714.398    0.64    0.64    0.64
    0.97    1.16 0.34931D-07  0  0  0.01113  273.15  266.11 0.19944D+15  2.168  466.317  465.740  450.792  481.259    0.97    0.97    0.97
    1.29    1.55 0.26204D-07  0  0  0.01115  273.12  266.39 0.19339D+15  2.168  349.747  349.170  334.217  364.691    1.29    1.29    1.29
    1.61    1.94 0.20967D-07  0  0  0.01118  273.08  266.61 0.18860D+15  2.168  279.804  279.227  264.270  294.750    1.61    1.61    1.61
    1.93    2.33 0.17476D-07  0  0  0.01120  273.05  266.79 0.18462D+15  2.168  233.176  232.599  217.638  248.124    1.93    1.93    1.93
    2.25    2.71 0.14983D-07  0  0  0.01123  273.02  266.94 0.18123D+15  2.169  199.870  199.293  184.327  214.820    2.25    2.25    2.25
    2.58    3.10 0.13113D-07  0  0  0.01125  272.99  267.08 0.17826D+15  2.169  174.890  174.313  159.344  189.843    2.58    2.58    2.58
    2.90    3.49 0.11658D-07  0  0  0.01128  272.96  267.20 0.17562D+15  2.169  155.462  154.885  139.911  170.416    2.90    2.90    2.90
    3.22    3.88 0.10494D-07  0  0  0.01131  272.93  267.30 0.17325D+15  2.170  139.919  139.342  124.363  154.876    3.22    3.22    3.22
    3.54    4.27 0.95424D-08  0  0  0.01133  272.89  267.40 0.17109D+15  2.170  127.202  126.625  111.642  142.161    3.54    3.54    3.54
    3.86    4.65 0.87490D-08  0  0  0.01136  272.86  267.48 0.16911D+15  2.170  116.604  116.028  101.040  131.566    3.86    3.86    3.86
    4.19    5.04 0.80777D-08  0  0  0.01138  272.83  267.56 0.16728D+15  2.170  107.637  107.061   92.069  122.601    4.19    4.19    4.19
    4.51    5.43 0.75022D-08  0  0  0.01141  272.80  267.64 0.16558D+15  2.171   99.951   99.374   84.379  114.917    4.51    4.51    4.51
    4.83    5.82 0.70035D-08  0  0  0.01144  272.77  267.70 0.16400D+15  2.171   93.290   92.713   77.713  108.258    4.83    4.83    4.83
    5.15    6.21 0.65672D-08  0  0  0.01146  272.74  267.76 0.16251D+15  2.171   87.461   86.884   71.880  102.431    5.15    5.15    5.15
    5.47    6.59 0.61821D-08  0  0  0.01149  272.70  267.82 0.16111D+15  2.171   82.318   81.742   66.733   97.290    5.47    5.47    5.47
    5.80    6.98 0.58399D-08  0  0  0.01151  272.67  267.87 0.15978D+15  2.172   77.746   77.170   62.157   92.721    5.80    5.80    5.80
    6.12    7.37 0.55337D-08  0  0  0.01154  272.64  267.92 0.15853D+15  2.172   73.656   73.080   58.062   88.633    6.12    6.12    6.12
    6.44    7.76 0.52581D-08  0  0  0.01157  272.61  267.97 0.15733D+15  2.172   69.975   69.398   54.377   84.954    6.44    6.44    6.44
    6.76    8.15 0.50087D-08  0  0  0.01159  272.57  268.01 0.15620D+15  2.173   66.644   66.068   51.041   81.625    6.76    6.76    6.76
    7.08    8.54 0.47820D-08  0  0  0.01162  272.54  268.05 0.15511D+15  2.173   63.616   63.040   48.009   78.599    7.08    7.08    7.08
    7.41    8.92 0.45751D-08  0  0  0.01165  272.51  268.09 0.15407D+15  2.173   60.851   60.275   45.240   75.837    7.41    7.41    7.41
    7.73    9.31 0.43854D-08  0  0  0.01168  272.48  268.12 0.15308D+15  2.173   58.317   57.741   42.702   73.305    7.73    7.73    7.73
    8.05    9.70 0.42108D-08  0  0  0.01170  272.45  268.16 0.15212D+15  2.174   55.985   55.409   40.366   70.975    8.05    8.05    8.05
    8.37   10.09 0.40497D-08  0  0  0.01173  272.41  268.19 0.15120D+15  2.174   53.833   53.257   38.209   68.825    8.37    8.37    8.37
    8.69   10.48 0.39005D-08  0  0  0.01176  272.38  268.22 0.15031D+15  2.174   51.840   51.264   36.212   66.834    8.69    8.69    8.69
    9.02   10.86 0.37620D-08  0  0  0.01179  272.35  268.25 0.14945D+15  2.174   49.990   49.414   34.357   64.986    9.02    9.02    9.02
    9.34   11.25 0.36330D-08  0  0  0.01181  272.31  268.27 0.14863D+15  2.175   48.267   47.691   32.630   63.265    9.34    9.34    9.34
    9.66   11.64 0.35126D-08  0  0  0.01184  272.28  268.29 0.14783D+15  2.175   46.659   46.083   31.018   61.660    9.66    9.66    9.66
    9.98   12.03 0.34000D-08  0  0  0.01187  272.25  268.32 0.14705D+15  2.175   45.154   44.579   29.509   60.157    9.98    9.98    9.98
   10.30   12.42 0.32945D-08  0  0  0.01190  272.22  268.34 0.14630D+15  2.176   43.744   43.168   28.094   58.749   10.30   10.30   10.30
   10.63   12.80 0.31953D-08  0  0  0.01193  272.18  268.36 0.14558D+15  2.176   42.419   41.844   26.765   57.427   10.63   10.63   10.63
   10.95   13.19 0.31019D-08  0  0  0.01195  272.15  268.38 0.14487D+15  2.176   41.172   40.597   25.514   56.182   10.95   10.95   10.95
   11.27   13.58 0.30139D-08  0  0  0.01198  272.12  268.40 0.14418D+15  2.176   39.997   39.421   24.334   55.008   11.27   11.27   11.27
   11.59   13.97 0.29308D-08  0  0  0.01201  272.09  268.41 0.14351D+15  2.177   38.886   38.311   23.219   53.900   11.59   11.59   11.59
   11.91   14.36 0.28522D-08  0  0  0.01204  272.05  268.43 0.14286D+15  2.177   37.836   37.261   22.164   52.852   11.91   11.91   11.91
   12.24   14.74 0.27777D-08  0  0  0.01207  272.02  268.44 0.14223D+15  2.177   36.841   36.266   21.165   51.859   12.24   12.24   12.24
   12.56   15.13 0.27071D-08  0  0  0.01210  271.99  268.45 0.14161D+15  2.178   35.897   35.321   20.217   50.917   12.56   12.56   12.56
   12.88   15.52 0.26399D-08  0  0  0.01213  271.95  268.47 0.14101D+15  2.178   35.000   34.425   19.315   50.023   12.88   12.88   12.88
   13.20   15.91 0.25761D-08  0  0  0.01216  271.92  268.48 0.14043D+15  2.178   34.147   33.572   18.458   49.172   13.20   13.20   13.20
   13.52   16.30 0.25153D-08  0  0  0.01219  271.89  268.49 0.13985D+15  2.178   33.334   32.759   17.641   48.361   13.52   13.52   13.52
   13.85   16.68 0.24573D-08  0  0  0.01222  271.85  268.50 0.13929D+15  2.179   32.559   31.984   16.862   47.589   13.85   13.85   13.85
   14.17   17.07 0.24019D-08  0  0  0.01224  271.82  268.51 0.13874D+15  2.179   31.820   31.245   16.118   46.852   14.17   14.17   14.17
   14.49   17.46 0.23490D-08  0  0  0.01227  271.79  268.52 0.13821D+15  2.179   31.113   30.538   15.407   46.147   14.49   14.49   14.49
   14.81   17.85 0.22984D-08  0  0  0.01230  271.75  268.52 0.13769D+15  2.180   30.437   29.862   14.727   45.473   14.81   14.81   14.81
   15.13   18.24 0.22500D-08  0  0  0.01233  271.72  268.53 0.13717D+15  2.180   29.790   29.215   14.075   44.828   15.13   15.13   15.13
   15.46   18.63 0.22036D-08  0  0  0.01236  271.69  268.54 0.13667D+15  2.180   29.170   28.595   13.451   44.210   15.46   15.46   15.46
   15.78   19.01 0.21591D-08  0  0  0.01239  271.65  268.54 0.13618D+15  2.180   28.575   28.000   12.851   43.618   15.78   15.78   15.78
   16.10   19.40 0.21163D-08  0  0  0.01243  271.62  268.55 0.13570D+15  2.181   28.004   27.429   12.276   43.049   16.10   16.10   16.10
   16.42   19.79 0.20753D-08  0  0  0.01246  271.59  268.55 0.13522D+15  2.181   27.455   26.880   11.723   42.502   16.42   16.42   16.42
   16.74   19.78 0.20358D-08  1  0  0.01249  271.55  268.56 0.13476D+15  2.181   26.927   26.353   11.602   42.380   10.18   14.44   16.07
   17.07   20.16 0.19978D-08  1  0  0.01252  271.52  268.56 0.13430D+15  2.182   26.420   25.845   11.491   42.266   10.21   14.38   16.40
   17.39   20.55 0.19612D-08  1  0  0.01255  271.48  268.56 0.13386D+15  2.182   25.931   25.356   11.382   42.155   10.23   14.32   16.72
   17.71   20.94 0.19259D-08  1  0  0.01258  271.45  268.57 0.13342D+15  2.182   25.459   24.885   11.276   42.046   10.25   14.27   17.04
   18.03   21.33 0.18919D-08  1  0  0.01261  271.42  268.57 0.13299D+15  2.182   25.005   24.431   11.171   41.939   10.28   14.22   17.37
   18.35   21.72 0.18591D-08  1  0  0.01264  271.38  268.57 0.13256D+15  2.183   24.567   23.992   11.069   41.835   10.30   14.17   17.69
   18.68   22.11 0.18274D-08  1  0  0.01267  271.35  268.57 0.13215D+15  2.183   24.143   23.569   10.968   41.732   10.32   14.12   18.02
   19.00   22.50 0.17968D-08  1  0  0.01271  271.31  268.57 0.13174D+15  2.183   23.734   23.160   10.869   41.631   10.34   14.08   18.34
   19.32   22.89 0.17673D-08  1  0  0.01274  271.28  268.57 0.13133D+15  2.184   23.339   22.765   10.772   41.532   10.36   14.04   18.67
   19.64   23.28 0.17386D-08  1  0  0.01277  271.25  268.57 0.13094D+15  2.184   22.957   22.383   10.677   41.435   10.38   14.01   18.99
   19.96   23.67 0.17110D-08  1  0  0.01280  271.21  268.57 0.13055D+15  2.184   22.587   22.013   10.583   41.339   10.40   13.97   19.31
   20.29   24.06 0.16841D-08  1  0  0.01283  271.18  268.57 0.13017D+15  2.184   22.228   21.654   10.491   41.245   10.42   13.94   19.64
   20.61   24.45 0.16582D-08  1  0  0.01287  271.14  268.56 0.12979D+15  2.185   21.881   21.307   10.401   41.153   10.44   13.91   19.96
   20.93   24.84 0.16330D-08  1  0  0.01290  271.11  268.56 0.12942D+15  2.185   21.545   20.971   10.312   41.062   10.46   13.88   20.29
   21.25   25.23 0.16086D-08  1  0  0.01293  271.07  268.56 0.12905D+15  2.185   21.218   20.645   10.225   40.973   10.47   13.85   20.61
   21.57   25.62 0.15849D-08  1  0  0.01296  271.04  268.56 0.12869D+15  2.186   20.902   20.328   10.138   40.885   10.49   13.83   20.94
   21.90   26.01 0.15619D-08  1  0  0.01300  271.01  268.55 0.12833D+15  2.186   20.595   20.021   10.054   40.798   10.51   13.80   21.26
   22.22   26.40 0.15396D-08  1  0  0.01303  270.97  268.55 0.12798D+15  2.186   20.296   19.723    9.970   40.713   10.53   13.78   21.59
   22.54   26.79 0.15179D-08  1  0  0.01306  270.94  268.54 0.12764D+15  2.187   20.006   19.433    9.888   40.629   10.55   13.76   21.91
   22.86   27.18 0.14969D-08  1  0  0.01310  270.90  268.54 0.12730D+15  2.187   19.725   19.151    9.807   40.547   10.56   13.74   22.24
   23.18   27.57 0.14764D-08  1  0  0.01313  270.87  268.53 0.12696D+15  2.187   19.451   18.877    9.727   40.465   10.58   13.72   22.56
   23.51   27.96 0.14565D-08  1  0  0.01317  270.83  268.53 0.12663D+15  2.187   19.185   18.611    9.649   40.385   10.60   13.70   22.89
   23.83   28.35 0.14371D-08  1  0  0.01320  270.80  268.52 0.12631D+15  2.188   18.925   18.352    9.571   40.306   10.61   13.68   23.21
   24.15   28.74 0.14182D-08  1  0  0.01323  270.76  268.52 0.12598D+15  2.188   18.673   18.100    9.495   40.228   10.63   13.67   23.54
   24.47   29.13 0.13998D-08  1  0  0.01327  270.73  268.51 0.12567D+15  2.188   18.428   17.854    9.419   40.151   10.65   13.65   23.86
   24.79   29.52 0.13819D-08  1  0  0.01330  270.69  268.51 0.12535D+15  2.189   18.188   17.615    9.345   40.075   10.66   13.64   24.19
   25.12   29.91 0.13645D-08  1  0  0.01334  270.66  268.50 0.12504D+15  2.189   17.955   17.382    9.271   40.000   10.68   13.63   24.51
   25.44   30.30 0.13475D-08  1  0  0.01337  270.62  268.49 0.12474D+15  2.189   17.728   17.155    9.199   39.926   10.69   13.61   24.84
   25.76   30.69 0.13309D-08  1  0  0.01341  270.59  268.48 0.12444D+15  2.190   17.506   16.933    9.127   39.853   10.71   13.60   25.16
   26.08   31.08 0.13148D-08  1  0  0.01344  270.55  268.48 0.12414D+15  2.190   17.290   16.717    9.056   39.781   10.72   13.59   25.49
   26.40   31.47 0.12990D-08  1  0  0.01348  270.52  268.47 0.12385D+15  2.190   17.080   16.507    8.987   39.710   10.74   13.58   25.81
   26.73   31.86 0.12836D-08  1  0  0.01351  270.48  268.46 0.12355D+15  2.190   16.874   16.301    8.918   39.640   10.75   13.57   26.14
   27.05   32.25 0.12686D-08  1  0  0.01355  270.44  268.45 0.12327D+15  2.191   16.673   16.100    8.849   39.570   10.77   13.56   26.46
   27.37   32.64 0.12540D-08  1  0  0.01358  270.41  268.44 0.12298D+15  2.191   16.477   15.904    8.782   39.502   10.78   13.55   26.79
   27.69   33.03 0.12396D-08  1  0  0.01362  270.37  268.44 0.12270D+15  2.191   16.285   15.713    8.716   39.434   10.79   13.55   27.11
   28.01   33.42 0.12256D-08  1  0  0.01366  270.34  268.43 0.12243D+15  2.192   16.098   15.525    8.650   39.367   10.81   13.54   27.44
   28.34   33.81 0.12120D-08  1  0  0.01369  270.30  268.42 0.12215D+15  2.192   15.915   15.343    8.585   39.301   10.82   13.53   27.76
   28.66   34.20 0.11986D-08  1  0  0.01373  270.27  268.41 0.12188D+15  2.192   15.736   15.164    8.520   39.235   10.83   13.53   28.09
   28.98   34.59 0.11855D-08  1  0  0.01377  270.23  268.40 0.12162D+15  2.193   15.561   14.989    8.457   39.170   10.85   13.52   28.42
   29.30   34.98 0.11727D-08  1  0  0.01380  270.19  268.39 0.12135D+15  2.193   15.390   14.818    8.394   39.106   10.86   13.51   28.74
   29.62   35.37 0.11602D-08  1  0  0.01384  270.16  268.38 0.12109D+15  2.193   15.223   14.651    8.331   39.043   10.87   13.51   29.07
   29.95   35.76 0.11480D-08  1  0  0.01388  270.12  268.37 0.12083D+15  2.194   15.059   14.487    8.270   38.980   10.89   13.50   29.39
   30.27   36.15 0.11360D-08  1  0  0.01391  270.09  268.35 0.12057D+15  2.194   14.899   14.327    8.209   38.918   10.90   13.50   29.72
   30.59   36.54 0.11243D-08  1  0  0.01395  270.05  268.34 0.12032D+15  2.194   14.742   14.170    8.148   38.857   10.91   13.50   30.05
   30.91   36.93 0.11128D-08  1  0  0.01399  270.01  268.33 0.12007D+15  2.194   14.589   14.017    8.089   38.796   10.92   13.49   30.37
   31.23   37.32 0.11016D-08  1  0  0.01403  269.98  268.32 0.11982D+15  2.195   14.438   13.866    8.029   38.736   10.94   13.49   30.70
   31.56   37.71 0.10906D-08  1  0  0.01407  269.94  268.31 0.11958D+15  2.195   14.291   13.719    7.971   38.676   10.95   13.49   31.02
   31.88   38.10 0.10798D-08  1  0  0.01411  269.90  268.30 0.11934D+15  2.195   14.147   13.575    7.913   38.617   10.96   13.48   31.35
   32.20   38.49 0.10692D-08  1  0  0.01414  269.87  268.29 0.11910D+15  2.196   14.005   13.433    7.855   38.559   10.97   13.48   31.68
   32.52   38.88 0.10588D-08  1  0  0.01418  269.83  268.27 0.11886D+15  2.196   13.866   13.294    7.798   38.501   10.99   13.48   32.00
   32.84   39.27 0.10487D-08  1  0  0.01422  269.80  268.26 0.11862D+15  2.196   13.730   13.159    7.741   38.444   11.00   13.48   32.33
   33.17   39.66 0.10387D-08  1  0  0.01426  269.76  268.25 0.11839D+15  2.197   13.597   13.025    7.685   38.387   11.01   13.48   32.65
   33.49   40.05 0.10289D-08  1  0  0.01430  269.72  268.23 0.11816D+15  2.197   13.466   12.894    7.630   38.331   11.02   13.47   32.98
   33.81   40.44 0.10193D-08  1  0  0.01434  269.69  268.22 0.11793D+15  2.197   13.338   12.766    7.575   38.275   11.03   13.47   33.31
   34.13   40.84 0.10099D-08  1  0  0.01438  269.65  268.21 0.11771D+15  2.198   13.212   12.640    7.520   38.220   11.04   13.47   33.63
   34.45   41.23 0.10007D-08  1  0  0.01442  269.61  268.19 0.11749D+15  2.198   13.088   12.517    7.466   38.165   11.05   13.47   33.96
   34.78   41.62 0.99163D-09  1  0  0.01446  269.57  268.18 0.11726D+15  2.198   12.967   12.396    7.413   38.111   11.06   13.47   34.29
   35.10   42.01 0.98274D-09  1  0  0.01450  269.54  268.17 0.11705D+15  2.199   12.848   12.277    7.359   38.057   11.08   13.47   34.61
   35.42   42.40 0.97401D-09  1  0  0.01454  269.50  268.15 0.11683D+15  2.199   12.731   12.160    7.307   38.004   11.09   13.47   34.94
   35.74   42.79 0.96544D-09  1  0  0.01458  269.46  268.14 0.11661D+15  2.199   12.616   12.045    7.254   37.951   11.10   13.47   35.27
   36.06   43.18 0.95701D-09  1  0  0.01462  269.43  268.12 0.11640D+15  2.199   12.503   11.932    7.202   37.898   11.11   13.47   35.59
   36.39   43.57 0.94874D-09  1  0  0.01466  269.39  268.11 0.11619D+15  2.200   12.393   11.822    7.151   37.846   11.12   13.47   35.92
   36.71   43.96 0.94062D-09  1  0  0.01471  269.35  268.09 0.11598D+15  2.200   12.284   11.713    7.100   37.794   11.13   13.47   36.25
   37.03   44.35 0.93263D-09  1  0  0.01475  269.31  268.08 0.11578D+15  2.200   12.177   11.606    7.049   37.743   11.14   13.47   36.57
   37.35   44.75 0.92478D-09  1  0  0.01479  269.28  268.06 0.11557D+15  2.201   12.072   11.501    6.999   37.692   11.15   13.48   36.90
   37.67   45.14 0.91707D-09  1  0  0.01483  269.24  268.05 0.11537D+15  2.201   11.969   11.398    6.949   37.642   11.16   13.48   37.23
   38.00   45.53 0.90949D-09  1  0  0.01487  269.20  268.03 0.11517D+15  2.201   11.867   11.296    6.899   37.592   11.17   13.48   37.56
   38.32   45.92 0.90203D-09  1  0  0.01492  269.16  268.02 0.11497D+15  2.202   11.767   11.197    6.850   37.542   11.18   13.48   37.88
   38.64   46.31 0.89470D-09  1  0  0.01496  269.13  268.00 0.11477D+15  2.202   11.669   11.098    6.801   37.493   11.19   13.48   38.21
   38.96   46.70 0.88749D-09  1  0  0.01500  269.09  267.99 0.11457D+15  2.202   11.572   11.002    6.752   37.444   11.20   13.48   38.54
   39.28   47.09 0.88040D-09  1  0  0.01505  269.05  267.97 0.11438D+15  2.203   11.477   10.907    6.704   37.395   11.21   13.49   38.87
   39.61   47.48 0.87342D-09  1  0  0.01509  269.01  267.95 0.11419D+15  2.203   11.384   10.814    6.656   37.347   11.22   13.49   39.19
   39.93   47.88 0.86656D-09  1  0  0.01513  268.97  267.94 0.11400D+15  2.203   11.292   10.722    6.608   37.299   11.23   13.49   39.52
   40.25   48.27 0.85981D-09  1  0  0.01518  268.94  267.92 0.11381D+15  2.204   11.201   10.631    6.561   37.251   11.24   13.49   39.85
   40.57   48.66 0.85316D-09  1  0  0.01522  268.90  267.90 0.11362D+15  2.204   11.112   10.542    6.514   37.204   11.25   13.49   40.18
   40.89   49.05 0.84662D-09  1  0  0.01527  268.86  267.89 0.11344D+15  2.204   11.025   10.455    6.467   37.157   11.26   13.50   40.50
   41.22   49.44 0.84018D-09  1  0  0.01531  268.82  267.87 0.11325D+15  2.205   10.938   10.368    6.420   37.111   11.26   13.50   40.83
   41.54   49.83 0.83384D-09  1  0  0.01536  268.78  267.85 0.11307D+15  2.205   10.853   10.283    6.374   37.064   11.27   13.50   41.16
   41.86   50.22 0.82760D-09  1  0  0.01540  268.74  267.83 0.11289D+15  2.205   10.770   10.200    6.328   37.018   11.28   13.51   41.49
   42.18   50.62 0.82145D-09  1  0  0.01545  268.70  267.82 0.11271D+15  2.206   10.687   10.118    6.283   36.973   11.29   13.51   41.81
   42.50   51.01 0.81540D-09  1  0  0.01549  268.67  267.80 0.11254D+15  2.206   10.606   10.036    6.237   36.927   11.30   13.51   42.14
   42.83   51.40 0.80943D-09  1  0  0.01554  268.63  267.78 0.11236D+15  2.206   10.526    9.957    6.192   36.882   11.31   13.52   42.47
   43.15   51.79 0.80356D-09  1  0  0.01558  268.59  267.76 0.11219D+15  2.207   10.448    9.878    6.147   36.837   11.32   13.52   42.80
   43.47   52.18 0.79778D-09  1  0  0.01563  268.55  267.74 0.11201D+15  2.207   10.370    9.800    6.103   36.792   11.33   13.52   43.13
   43.79   52.58 0.79207D-09  1  0  0.01568  268.51  267.73 0.11184D+15  2.207   10.294    9.724    6.059   36.748   11.34   13.53   43.46
   44.11   52.97 0.78646D-09  1  0  0.01572  268.47  267.71 0.11167D+15  2.208   10.218    9.649    6.014   36.704   11.34   13.53   43.78
   44.44   53.36 0.78092D-09  1  0  0.01577  268.43  267.69 0.11150D+15  2.208   10.144    9.575    5.971   36.660   11.35   13.53   44.11
   44.76   53.75 0.77546D-09  1  0  0.01582  268.39  267.67 0.11134D+15  2.208   10.071    9.502    5.927   36.617   11.36   13.54   44.44
   45.08   54.14 0.77008D-09  1  0  0.01587  268.35  267.65 0.11117D+15  2.209    9.999    9.429    5.883   36.573   11.37   13.54   44.77
   45.40   54.54 0.76478D-09  1  0  0.01591  268.31  267.63 0.11101D+15  2.209    9.927    9.358    5.840   36.530   11.38   13.54   45.10
   45.72   54.93 0.75955D-09  1  0  0.01596  268.28  267.61 0.11085D+15  2.209    9.857    9.288    5.797   36.487   11.39   13.55   45.43
   46.05   55.32 0.75440D-09  1  0  0.01601  268.24  267.59 0.11068D+15  2.210    9.788    9.219    5.754   36.445   11.39   13.55   45.76
   46.37   55.71 0.74932D-09  1  0  0.01606  268.20  267.57 0.11052D+15  2.210    9.720    9.151    5.712   36.402   11.40   13.56   46.09
   46.69   56.10 0.74430D-09  1  0  0.01611  268.16  267.55 0.11037D+15  2.210    9.653    9.084    5.670   36.360   11.41   13.56   46.41
