R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.2000 0.42871D-08  0  0   12.05   10.000  0.01187  272.25  269.94   25.310   64.176   10.00   273.88
 0.12270D-01   1.0362   0.0000    1.315   1.2000 0.30706D-08  0  0   16.87   13.998  0.01223  271.84  270.23   12.376   51.344   14.00   275.51
 0.14540D-01   1.0349   0.0000    1.620   1.2000 0.26294D-08  0  0   19.73   16.372  0.01245  271.59  270.32    7.668   46.697   16.37   277.14
 0.16810D-01   1.0336   0.0000    1.844   1.2000 0.24152D-08  1  0   21.22   17.840  0.01259  271.44  270.36    5.903   44.958    9.59   278.77
 0.19080D-01   1.0324   0.0000    2.043   1.2000 0.22647D-08  1  0   22.69   19.041  0.01271  271.31  270.39    5.526   44.581    9.65   280.39
 0.21350D-01   1.0311   0.0000    2.224   1.2000 0.21456D-08  1  0   24.00   20.111  0.01282  271.20  270.40    5.210   44.266    9.71   282.01
 0.23620D-01   1.0298   0.0000    2.388   1.2000 0.20498D-08  1  0   25.17   21.064  0.01291  271.09  270.41    4.944   44.000    9.76   283.64
 0.25890D-01   1.0285   0.0000    2.540   1.2000 0.19715D-08  1  0   26.21   21.912  0.01300  271.00  270.42    4.717   43.775    9.80   285.25
 0.28160D-01   1.0273   0.0000    2.680   1.2000 0.19069D-08  1  0   27.14   22.666  0.01308  270.92  270.42    4.523   43.582    9.83   286.87
 0.30430D-01   1.0260   0.0000    2.811   1.2000 0.18531D-08  1  0   27.97   23.334  0.01315  270.85  270.42    4.356   43.416    9.86   288.49
 0.32700D-01   1.0247   0.0000    2.934   1.2000 0.18079D-08  1  0   28.70   23.926  0.01321  270.79  270.42    4.212   43.273    9.88   290.10
 0.34970D-01   1.0234   0.0000    3.050   1.2000 0.17699D-08  1  0   29.34   24.448  0.01327  270.73  270.42    4.089   43.151    9.91   291.71
 0.37240D-01   1.0222   0.0000    3.161   1.2000 0.17378D-08  1  0   29.91   24.907  0.01331  270.68  270.41    3.982   43.045    9.92   293.32
 0.39510D-01   1.0209   0.0000    3.266   1.2000 0.17107D-08  1  0   30.41   25.308  0.01336  270.64  270.41    3.890   42.954    9.94   294.92
 0.41780D-01   1.0196   0.0000    3.367   1.2000 0.16878D-08  1  0   30.84   25.657  0.01340  270.60  270.41    3.812   42.877    9.95   296.53
 0.44050D-01   1.0184   0.0000    3.464   1.2000 0.16686D-08  1  0   31.22   25.958  0.01343  270.56  270.40    3.745   42.811    9.96   298.13
 0.46320D-01   1.0171   0.0000    3.557   1.2000 0.16524D-08  1  0   31.54   26.216  0.01346  270.54  270.40    3.688   42.755    9.97   299.73
 0.48590D-01   1.0159   0.0000    3.647   1.2000 0.16391D-08  1  0   31.81   26.433  0.01348  270.51  270.40    3.641   42.708    9.98   301.33
 0.50860D-01   1.0146   0.0000    3.733   1.2000 0.16281D-08  1  0   32.03   26.615  0.01350  270.49  270.40    3.602   42.669    9.99   302.93
 0.53130D-01   1.0134   0.0000    3.817   1.2000 0.16193D-08  1  0   32.22   26.762  0.01352  270.48  270.39    3.570   42.638    9.99   304.52
 0.55400D-01   1.0121   0.0000    3.899   1.2000 0.16123D-08  1  0   32.36   26.880  0.01353  270.46  270.39    3.545   42.613   10.00   306.12
 0.57670D-01   1.0109   0.0000    3.978   1.2000 0.16071D-08  1  0   32.48   26.969  0.01354  270.45  270.39    3.526   42.594   10.00   307.71
 0.59940D-01   1.0096   0.0000    4.055   1.2000 0.16034D-08  1  0   32.55   27.033  0.01355  270.45  270.39    3.512   42.581   10.00   309.30
 0.62210D-01   1.0084   0.0000    4.130   1.2000 0.16010D-08  1  0   32.60   27.073  0.01355  270.44  270.39    3.504   42.572   10.01   310.88
 0.64480D-01   1.0071   0.0000    4.203   1.2000 0.15999D-08  1  0   32.63   27.092  0.01355  270.44  270.39    3.500   42.568   10.01   312.47
 0.66750D-01   1.0059   0.0000    4.275   1.2000 0.16000D-08  1  0   32.63   27.091  0.01355  270.44  270.39    3.500   42.568   10.01   314.05
 0.69020D-01   1.0046   0.0000    4.344   1.2000 0.16010D-08  1  0   32.61   27.073  0.01355  270.44  270.39    3.504   42.572   10.01   315.63
 0.71290D-01   1.0034   0.0000    4.413   1.2000 0.16030D-08  1  0   32.56   27.038  0.01355  270.45  270.39    3.511   42.579   10.00   317.21
 0.73560D-01   1.0021   0.0000    4.479   1.2000 0.16059D-08  1  0   32.50   26.989  0.01354  270.45  270.39    3.521   42.590   10.00   318.79
 0.75830D-01   1.0009   0.0000    4.545   1.2000 0.16096D-08  1  0   32.42   26.926  0.01353  270.46  270.39    3.535   42.603   10.00   320.36
 0.78100D-01   0.9997   0.0000    4.609   1.2000 0.16140D-08  1  0   32.33   26.851  0.01353  270.47  270.39    3.551   42.619   10.00   321.94
 0.80370D-01   0.9984   0.0000    4.672   1.2000 0.16191D-08  1  0   32.22   26.765  0.01352  270.48  270.39    3.569   42.637    9.99   323.51
 0.82640D-01   0.9972   0.0000    4.733   1.2000 0.16249D-08  1  0   32.10   26.669  0.01351  270.49  270.39    3.590   42.657    9.99   325.08
 0.84910D-01   0.9960   0.0000    4.794   1.2000 0.16312D-08  1  0   31.97   26.564  0.01349  270.50  270.40    3.613   42.680    9.99   326.65
 0.87180D-01   0.9947   0.0000    4.854   1.2000 0.16380D-08  1  0   31.83   26.450  0.01348  270.51  270.40    3.637   42.704    9.98   328.21
 0.89450D-01   0.9935   0.0000    4.912   1.2000 0.16454D-08  1  0   31.68   26.330  0.01347  270.52  270.40    3.663   42.730    9.98   329.77
 0.91720D-01   0.9923   0.0000    4.970   1.2000 0.16532D-08  1  0   31.52   26.203  0.01346  270.54  270.40    3.691   42.757    9.97   331.34
 0.93990D-01   0.9911   0.0000    5.026   1.2000 0.16615D-08  1  0   31.36   26.071  0.01344  270.55  270.40    3.720   42.786    9.97   332.90
 0.96260D-01   0.9898   0.0000    5.082   1.2000 0.16702D-08  1  0   31.19   25.933  0.01343  270.57  270.40    3.751   42.816    9.96   334.45
 0.98530D-01   0.9886   0.0000    5.137   1.2000 0.16792D-08  1  0   31.01   25.791  0.01341  270.58  270.40    3.782   42.847    9.96   336.01
 0.10080D+00   0.9874   0.0000    5.191   1.2000 0.16886D-08  1  0   30.83   25.645  0.01339  270.60  270.41    3.815   42.879    9.95   337.56
 0.10307D+00   0.9862   0.0000    5.245   1.2000 0.16983D-08  1  0   30.64   25.496  0.01338  270.61  270.41    3.848   42.913    9.95   339.12
 0.10534D+00   0.9850   0.0000    5.297   1.2000 0.17083D-08  1  0   30.45   25.344  0.01336  270.63  270.41    3.882   42.946    9.94   340.67
 0.10761D+00   0.9838   0.0000    5.349   1.2000 0.17186D-08  1  0   30.26   25.189  0.01334  270.65  270.41    3.917   42.981    9.93   342.21
 0.10988D+00   0.9826   0.0000    5.400   1.2000 0.17292D-08  1  0   30.07   25.033  0.01333  270.67  270.41    3.953   43.016    9.93   343.76
 0.11215D+00   0.9813   0.0000    5.451   1.2000 0.17400D-08  1  0   29.87   24.875  0.01331  270.68  270.41    3.989   43.052    9.92   345.31
 0.11442D+00   0.9801   0.0000    5.501   1.2000 0.17510D-08  1  0   29.68   24.716  0.01329  270.70  270.41    4.026   43.089    9.92   346.85
 0.11669D+00   0.9789   0.0000    5.550   1.2000 0.17622D-08  1  0   29.48   24.556  0.01328  270.72  270.41    4.063   43.126    9.91   348.39
 0.11896D+00   0.9777   0.0000    5.598   1.2000 0.17737D-08  1  0   29.28   24.396  0.01326  270.74  270.42    4.101   43.163    9.90   349.93
 0.12123D+00   0.9765   0.0000    5.646   1.2000 0.17852D-08  1  0   29.08   24.235  0.01324  270.75  270.42    4.139   43.201    9.90   351.46
 0.12350D+00   0.9753   0.0000    5.693   1.2000 0.17970D-08  1  0   28.88   24.074  0.01323  270.77  270.42    4.177   43.238    9.89   353.00
 0.12577D+00   0.9741   0.0000    5.740   1.2000 0.18089D-08  1  0   28.68   23.913  0.01321  270.79  270.42    4.216   43.277    9.88   354.53
 0.12804D+00   0.9729   0.0000    5.786   1.2000 0.18209D-08  1  0   28.48   23.753  0.01319  270.80  270.42    4.254   43.315    9.88   356.06
 0.13031D+00   0.9717   0.0000    5.832   1.2000 0.18330D-08  1  0   28.29   23.593  0.01317  270.82  270.42    4.293   43.353    9.87   357.59
 0.13258D+00   0.9705   0.0000    5.877   1.2000 0.18453D-08  1  0   28.09   23.434  0.01316  270.84  270.42    4.332   43.392    9.86   359.12
 0.13485D+00   0.9693   0.0000    5.922   1.2000 0.18576D-08  1  0   27.90   23.276  0.01314  270.86  270.42    4.370   43.430    9.86   360.65
 0.13712D+00   0.9681   0.0000    5.966   1.2000 0.18700D-08  1  0   27.70   23.119  0.01312  270.87  270.42    4.409   43.469    9.85   362.17
