R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    1.814   1.2000 0.42871D-08  0  0   12.05   10.000  0.01187  272.25  269.94   25.310   64.176   10.00   273.88
 0.12270D-01   1.0362   0.0000    2.008   1.2000 0.31092D-08  0  0   16.66   13.822  0.01221  271.86  270.22   12.787   51.751   13.82   275.51
 0.14540D-01   1.0349   0.0000    2.185   1.2000 0.26699D-08  0  0   19.43   16.120  0.01243  271.62  270.32    8.102   47.124   16.12   277.14
 0.16810D-01   1.0336   0.0000    2.348   1.2000 0.24549D-08  1  0   20.86   17.549  0.01256  271.47  270.36    5.999   45.054    9.57   278.77
 0.19080D-01   1.0324   0.0000    2.500   1.2000 0.23131D-08  1  0   22.19   18.637  0.01267  271.35  270.38    5.650   44.705    9.63   280.39
 0.21350D-01   1.0311   0.0000    2.643   1.2000 0.21993D-08  1  0   23.39   19.614  0.01277  271.25  270.40    5.355   44.410    9.68   282.01
 0.23620D-01   1.0298   0.0000    2.778   1.2000 0.21067D-08  1  0   24.46   20.487  0.01285  271.16  270.41    5.104   44.160    9.73   283.64
 0.25890D-01   1.0285   0.0000    2.907   1.2000 0.20304D-08  1  0   25.42   21.267  0.01293  271.07  270.41    4.889   43.945    9.77   285.25
 0.28160D-01   1.0273   0.0000    3.030   1.2000 0.19670D-08  1  0   26.28   21.963  0.01300  271.00  270.42    4.704   43.761    9.80   286.87
 0.30430D-01   1.0260   0.0000    3.147   1.2000 0.19140D-08  1  0   27.04   22.581  0.01307  270.93  270.42    4.544   43.603    9.83   288.49
 0.32700D-01   1.0247   0.0000    3.261   1.2000 0.18694D-08  1  0   27.71   23.128  0.01313  270.87  270.42    4.407   43.467    9.85   290.10
 0.34970D-01   1.0234   0.0000    3.370   1.2000 0.18317D-08  1  0   28.31   23.610  0.01318  270.82  270.42    4.289   43.349    9.87   291.71
 0.37240D-01   1.0222   0.0000    3.475   1.2000 0.17999D-08  1  0   28.83   24.034  0.01322  270.77  270.42    4.187   43.248    9.89   293.32
