R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.10583D-05  0  0  0.01105  273.24  261.57 0.32206D+15  2.167    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.10585D-06  0  0  0.01108  273.21  265.20 0.22035D+15  2.167 1398.882 1398.305 1383.202 1413.983    0.32    0.32    0.32
    0.64    0.77 0.52937D-07  0  0  0.01110  273.18  265.78 0.20688D+15  2.167  699.459  698.882  683.774  714.562    0.64    0.64    0.64
    0.97    1.16 0.35299D-07  0  0  0.01113  273.15  266.16 0.19857D+15  2.168  466.317  465.740  450.629  481.422    0.97    0.97    0.97
    1.29    1.55 0.26480D-07  0  0  0.01115  273.12  266.43 0.19249D+15  2.168  349.747  349.170  334.054  364.854    1.29    1.29    1.29
    1.61    1.94 0.21188D-07  0  0  0.01118  273.08  266.66 0.18768D+15  2.168  279.804  279.227  264.107  294.914    1.61    1.61    1.61
    1.93    2.33 0.17660D-07  0  0  0.01120  273.05  266.84 0.18370D+15  2.168  233.176  232.599  217.474  248.287    1.93    1.93    1.93
    2.25    2.71 0.15141D-07  0  0  0.01123  273.02  266.99 0.18030D+15  2.169  199.870  199.293  184.164  214.984    2.25    2.25    2.25
    2.58    3.10 0.13251D-07  0  0  0.01125  272.99  267.13 0.17732D+15  2.169  174.890  174.313  159.180  190.006    2.58    2.58    2.58
    2.90    3.49 0.11781D-07  0  0  0.01128  272.96  267.25 0.17468D+15  2.169  155.462  154.885  139.747  170.580    2.90    2.90    2.90
    3.22    3.88 0.10605D-07  0  0  0.01131  272.93  267.36 0.17230D+15  2.170  139.919  139.342  124.200  155.039    3.22    3.22    3.22
    3.54    4.27 0.96428D-08  0  0  0.01133  272.89  267.45 0.17013D+15  2.170  127.202  126.625  111.478  142.324    3.54    3.54    3.54
    3.86    4.65 0.88411D-08  0  0  0.01136  272.86  267.54 0.16815D+15  2.170  116.604  116.028  100.877  131.729    3.86    3.86    3.86
