R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.6000    1.814   0.6000 0.21435D-08  0  0   12.05   10.000  0.01187  272.25  265.81   35.192   54.337   10.00   274.82
 0.12270D-01   1.0362   0.6000    2.008   0.6000 0.13007D-08  1  0   19.47   16.550  0.01247  271.57  265.79   18.977   38.171   11.31   277.40
 0.14540D-01   1.0349   0.6000    2.185   0.6000 0.98834D-09  1  0   25.85   21.854  0.01299  271.01  265.63   17.366   36.477   11.76   279.97
 0.16810D-01   1.0336   0.6000    2.348   0.6000 0.80819D-09  1  0   31.82   26.811  0.01352  270.47  265.41   16.205   35.248   12.09   282.54
 0.19080D-01   1.0324   0.6000    2.500   0.6000 0.69112D-09  1  0   37.41   31.447  0.01405  269.95  265.17   15.306   34.290   12.35   285.11
 0.21350D-01   1.0311   0.6000    2.643   0.6000 0.60888D-09  1  0   42.65   35.794  0.01459  269.46  264.91   14.574   33.508   12.57   287.68
 0.23620D-01   1.0298   0.6000    2.778   0.6000 0.54788D-09  1  0   47.58   39.885  0.01513  268.98  264.64   13.957   32.847   12.75   290.25
 0.25890D-01   1.0285   0.6000    2.907   0.6000 0.50081D-09  1  0   52.23   43.742  0.01567  268.52  264.37   13.423   32.276   12.91   292.81
 0.28160D-01   1.0273   0.6000    3.030   0.6000 0.46337D-09  1  0   56.63   47.388  0.01622  268.07  264.09   12.953   31.773   13.05   295.37
 0.30430D-01   1.0260   0.6000    3.147   0.6000 0.43288D-09  1  0   60.79   50.840  0.01677  267.64  263.82   12.531   31.323   13.17   297.93
 0.32700D-01   1.0247   0.6000    3.261   0.6000 0.40757D-09  1  0   64.74   54.111  0.01732  267.22  263.54   12.149   30.916   13.28   300.49
 0.34970D-01   1.0234   0.6000    3.370   0.6000 0.38624D-09  1  0   68.49   57.215  0.01788  266.81  263.28   11.798   30.544   13.38   303.04
 0.37240D-01   1.0222   0.6000    3.475   0.6000 0.36802D-09  1  0   72.04   60.162  0.01845  266.42  263.01   11.474   30.201   13.47   305.59
 0.39510D-01   1.0209   0.6000    3.577   0.6000 0.35230D-09  1  0   75.42   62.962  0.01902  266.03  262.75   11.173   29.884   13.56   308.14
 0.41780D-01   1.0196   0.6000    3.676   0.6000 0.33860D-09  1  0   78.63   65.622  0.01959  265.66  262.49   10.891   29.589   13.64   310.69
 0.44050D-01   1.0184   0.6000    3.773   0.6000 0.32657D-09  1  0   81.68   68.151  0.02016  265.30  262.24   10.625   29.313   13.72   313.24
 0.46320D-01   1.0171   0.6000    3.866   0.6000 0.31594D-09  1  0   84.59   70.554  0.02074  264.95  262.00   10.375   29.053   13.79   315.79
 0.48590D-01   1.0159   0.6000    3.957   0.6000 0.30649D-09  1  0   87.34   72.838  0.02131  264.61  261.76   10.138   28.808   13.85   318.33
 0.50860D-01   1.0146   0.6000    4.046   0.6000 0.29804D-09  1  0   89.96   75.009  0.02189  264.28  261.52    9.912   28.577   13.92   320.87
 0.53130D-01   1.0134   0.6000    4.133   0.6000 0.29045D-09  1  0   92.46   77.071  0.02246  263.95  261.29    9.698   28.358   13.98   323.41
 0.55400D-01   1.0121   0.6000    4.218   0.6000 0.28362D-09  1  0   94.82   79.028  0.02303  263.64  261.07    9.493   28.151   14.04   325.95
 0.57670D-01   1.0109   0.6000    4.301   0.6000 0.27744D-09  1  0   97.07   80.887  0.02360  263.34  260.85    9.297   27.953   14.09   328.48
 0.59940D-01   1.0096   0.6000    4.382   0.6000 0.27183D-09  1  0   99.20   82.650  0.02417  263.05  260.64    9.110   27.766   14.14   331.02
 0.62210D-01   1.0084   0.6000    4.461   0.6000 0.26674D-09  1  0  101.22   84.321  0.02473  262.77  260.44    8.931   27.587   14.20   333.55
 0.64480D-01   1.0071   0.6000    4.539   0.6000 0.26209D-09  1  0  103.13   85.905  0.02528  262.50  260.25    8.760   27.417   14.24   336.08
 0.66750D-01   1.0059   0.6000    4.616   0.6000 0.25785D-09  1  0  104.94   87.404  0.02583  262.24  260.05    8.596   27.255   14.29   338.60
 0.69020D-01   1.0046   0.6000    4.691   0.6000 0.25397D-09  1  0  106.66   88.821  0.02637  261.98  259.87    8.440   27.101   14.34   341.13
 0.71290D-01   1.0034   0.6000    4.764   0.6000 0.25041D-09  1  0  108.28   90.161  0.02690  261.74  259.69    8.290   26.954   14.38   343.65
 0.73560D-01   1.0021   0.6000    4.836   0.6000 0.24715D-09  1  0  109.81   91.426  0.02742  261.51  259.53    8.146   26.815   14.42   346.17
 0.75830D-01   1.0009   0.6000    4.907   0.6000 0.24416D-09  1  0  111.25   92.620  0.02793  261.28  259.36    8.009   26.682   14.46   348.69
 0.78100D-01   0.9997   0.6000    4.977   0.6000 0.24141D-09  1  0  112.61   93.744  0.02842  261.07  259.21    7.878   26.555   14.50   351.21
 0.80370D-01   0.9984   0.6000    5.046   0.6000 0.23888D-09  1  0  113.89   94.801  0.02890  260.86  259.06    7.754   26.435   14.54   353.73
 0.82640D-01   0.9972   0.6000    5.114   0.6000 0.23655D-09  1  0  115.09   95.795  0.02937  260.67  258.91    7.635   26.321   14.57   356.24
 0.84910D-01   0.9960   0.6000    5.180   0.6000 0.23441D-09  1  0  116.22   96.729  0.02982  260.48  258.78    7.522   26.213   14.61   358.75
 0.87180D-01   0.9947   0.6000    5.246   0.6000 0.23245D-09  1  0  117.28   97.603  0.03025  260.30  258.65    7.415   26.111   14.64   361.26
 0.89450D-01   0.9935   0.6000    5.310   0.6000 0.23064D-09  1  0  118.27   98.422  0.03067  260.13  258.52    7.313   26.015   14.67   363.77
 0.91720D-01   0.9923   0.6000    5.374   0.6000 0.22897D-09  1  0  119.20   99.186  0.03107  259.97  258.41    7.218   25.924   14.70   366.28
 0.93990D-01   0.9911   0.6000    5.437   0.6000 0.22744D-09  1  0  120.06   99.900  0.03145  259.82  258.30    7.127   25.838   14.72   368.78
 0.96260D-01   0.9898   0.6000    5.499   0.6000 0.22604D-09  1  0  120.87  100.564  0.03182  259.68  258.20    7.042   25.758   14.75   371.28
 0.98530D-01   0.9886   0.6000    5.560   0.6000 0.22475D-09  1  0  121.62  101.181  0.03216  259.55  258.10    6.962   25.683   14.78   373.78
 0.10080D+00   0.9874   0.6000    5.620   0.6000 0.22357D-09  1  0  122.31  101.754  0.03249  259.42  258.01    6.886   25.613   14.80   376.28
 0.10307D+00   0.9862   0.6000    5.679   0.6000 0.22249D-09  1  0  122.95  102.283  0.03280  259.30  257.92    6.816   25.547   14.82   378.78
