R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.89404D-10 0.36250D+12 0.10000D+16   0.0000  1  159.712  0.00000  253.63  253.69    2.074   13.510   25.96
 0.98003D-10 0.37500D+12 0.10000D+16   0.0000  1  149.730  0.00000  255.26  255.31    2.079   13.946   25.60
 0.10734D-09 0.38750D+12 0.10000D+16   0.0000  1  140.392  0.00000  256.71  256.77    2.068   14.368   25.25
 0.11797D-09 0.40000D+12 0.10000D+16   0.0000  1  131.054  0.00000  258.10  258.15    2.063   14.794   24.90
 0.12956D-09 0.41250D+12 0.10000D+16   0.0000  1  122.360  0.00000  259.35  259.40    2.045   15.209   24.56
 0.14213D-09 0.42500D+12 0.10000D+16   0.0000  1  114.310  0.00000  260.46  260.51    2.016   15.611   24.23
 0.15613D-09 0.43750D+12 0.10000D+16   0.0000  1  106.582  0.00000  261.49  261.54    1.986   16.012   23.90
 0.17175D-09 0.45000D+12 0.10000D+16   0.0000  1   99.176  0.00000  262.44  262.49    1.955   16.411   23.58
 0.18860D-09 0.46250D+12 0.10000D+16   0.0000  1   92.414  0.00000  263.30  263.34    1.914   16.798   23.26
 0.20733D-09 0.47500D+12 0.10000D+16   0.0000  1   85.974  0.00000  264.09  264.13    1.872   17.184   22.95
 0.22731D-09 0.48750D+12 0.10000D+16   0.0000  1   80.178  0.00000  264.78  264.83    1.819   17.557   22.64
 0.24933D-09 0.50000D+12 0.10000D+16   0.0000  1   74.704  0.00000  265.42  265.47    1.764   17.928   22.34
 0.27357D-09 0.51250D+12 0.10000D+16   0.0000  1   69.552  0.00000  266.02  266.07    1.709   18.297   22.05
 0.30022D-09 0.52500D+12 0.10000D+16   0.0000  1   64.722  0.00000  266.57  266.61    1.653   18.664   21.76
 0.32941D-09 0.53750D+12 0.10000D+16   0.0000  1   60.214  0.00000  267.07  267.11    1.595   19.028   21.47
 0.36127D-09 0.55000D+12 0.10000D+16   0.0000  1   56.028  0.00000  267.53  267.57    1.536   19.389   21.19
 0.39351D-09 0.56250D+12 0.10000D+16   0.0000  1   52.486  0.00000  267.92  267.97    1.454   19.728   20.92
 0.43038D-09 0.57500D+12 0.10000D+16   0.0000  1   48.944  0.00000  268.30  268.35    1.385   20.078   20.65
 0.46972D-09 0.58750D+12 0.10000D+16   0.0000  1   45.724  0.00000  268.64  268.69    1.311   20.421   20.39
 0.51499D-09 0.60000D+12 0.10000D+16   0.0000  1   42.504  0.00000  268.98  269.02    1.250   20.777   20.12
 0.56313D-09 0.61250D+12 0.10000D+16   0.0000  1   39.606  0.00000  269.28  269.32    1.181   21.125   19.86
 0.57462D-09 0.62500D+12 0.10000D+16   0.0000  1   39.606  0.00000  269.28  269.50    0.905   21.271   19.73
 0.58151D-09 0.63750D+12 0.10000D+16   0.0000  1   39.928  0.00000  269.25  269.67    0.605   21.393   19.61
 0.59291D-09 0.65000D+12 0.10000D+16   0.0000  1   39.928  0.00000  269.25  269.85    0.328   21.539   19.47
 0.59960D-09 0.66250D+12 0.10000D+16   0.0000  1   40.250  0.00000  269.21  270.01    0.027   21.661   19.36
 0.37702D-09 0.67500D+12 0.10000D+16   0.0000  1   66.332  0.00000  266.39  266.45   -1.790   20.403   21.36
 0.39885D-09 0.68750D+12 0.10000D+16   0.0000  1   63.756  0.00000  266.68  266.72   -1.989   20.622   21.20
 0.42037D-09 0.70000D+12 0.10000D+16   0.0000  1   61.502  0.00000  266.93  266.97   -2.193   20.837   21.05
 0.44350D-09 0.71250D+12 0.10000D+16   0.0000  1   59.248  0.00000  267.18  267.21   -2.398   21.049   20.90
