R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.75000D+11 0.18666D-10 0.32000D+13   0.0300  0  157.862  0.32100  176.85  181.70    0.000    2.449  157.86
 0.87500D+11 0.23274D-10 0.32000D+13   0.0300  0  146.633  0.30354  183.09  186.15    0.000    2.858  146.63
 0.10000D+12 0.26865D-10 0.32000D+13   0.0300  0  145.187  0.27270  194.00  193.25   -0.000    3.266  145.19
 0.11250D+12 0.30345D-10 0.32000D+13   0.0300  0  144.347  0.25749  199.16  199.07    0.000    3.674   85.11
 0.12500D+12 0.33785D-10 0.32000D+13   0.0300  0  144.006  0.25179  201.06  201.09   -0.000    4.082   76.05
 0.13750D+12 0.37239D-10 0.32000D+13   0.0300  1  143.700  0.24687  202.69  202.64    0.000    4.490   54.07
 0.15000D+12 0.40707D-10 0.32000D+13   0.0300  1  143.419  0.24253  204.11  203.85   -0.000    4.899   50.73
 0.16250D+12 0.44188D-10 0.32000D+13   0.0300  1  143.146  0.23846  205.43  204.93    0.000    5.307   47.95
 0.17500D+12 0.47588D-10 0.32000D+13   0.0300  1  142.968  0.23585  206.28  207.05   -0.000    5.715   42.97
 0.18750D+12 0.51091D-10 0.32000D+13   0.0300  1  142.709  0.23219  207.45  207.91    0.000    6.123   41.20
 0.20000D+12 0.54608D-10 0.32000D+13   0.0300  1  142.461  0.22879  208.54  208.65    0.000    6.532   39.70
 0.21250D+12 0.58140D-10 0.32000D+13   0.0300  1  142.226  0.22565  209.53  209.27   -0.000    6.940   38.45
 0.22500D+12 0.61560D-10 0.32000D+13   0.0300  1  142.020  0.22295  210.39  211.27    0.000    7.348   34.88
 0.23750D+12 0.65113D-10 0.32000D+13   0.0300  1  141.805  0.22024  211.24  211.69    0.000    7.756   34.16
 0.25000D+12 0.68682D-10 0.32000D+13   0.0300  1  141.615  0.21786  211.98  211.97   -0.000    8.164   33.64
 0.26250D+12 0.72265D-10 0.32000D+13   0.0300  1  141.358  0.21474  212.96  212.67   -0.000    8.573   33.00
 0.27500D+12 0.75706D-10 0.32000D+13   0.0300  1  141.195  0.21283  213.55  214.15    0.000    8.981   30.35
 0.28750D+12 0.79311D-10 0.32000D+13   0.0300  1  141.036  0.21096  214.13  214.23    0.000    9.389   30.54
 0.30000D+12 0.82931D-10 0.32000D+13   0.0300  1  140.714  0.20731  215.25  215.30   -0.000    9.797   29.07
 0.31250D+12 0.86386D-10 0.32000D+13   0.0300  1  140.714  0.20731  215.25  215.71    0.000   10.206   28.41
 0.32500D+12 0.90029D-10 0.32000D+13   0.0300  1  140.392  0.20378  216.33  216.73    0.000   10.614   27.13
 0.33750D+12 0.93491D-10 0.32000D+13   0.0300  1  140.392  0.20378  216.33  217.12   -0.000   11.022   26.54
 0.35000D+12 0.97156D-10 0.32000D+13   0.0300  1  140.070  0.20037  217.36  218.09   -0.000   11.430   25.42
 0.36250D+12 0.10084D-09 0.32000D+13   0.0300  1  139.748  0.19707  218.36  219.02    0.000   11.838   24.38
 0.37500D+12 0.10431D-09 0.32000D+13   0.0300  1  139.748  0.19707  218.36  219.39   -0.000   12.247   23.90
 0.38750D+12 0.10802D-09 0.32000D+13   0.0300  1  139.426  0.19387  219.32  220.28    0.000   12.655   22.99
 0.40000D+12 0.11174D-09 0.32000D+13   0.0300  1  139.104  0.19078  220.24  221.15   -0.000   13.063   22.14
 0.41250D+12 0.11523D-09 0.32000D+13   0.0300  1  139.104  0.19078  220.24  221.49   -0.000   13.471   21.74
 0.42500D+12 0.11897D-09 0.32000D+13   0.0300  1  138.782  0.18778  221.13  222.32    0.000   13.879   20.98
 0.43750D+12 0.12273D-09 0.32000D+13   0.0300  1  138.460  0.18487  221.99  223.12   -0.000   14.288   20.27
 0.45000D+12 0.12623D-09 0.32000D+13   0.0300  1  138.460  0.18487  221.99  223.45    0.000   14.696   19.93
 0.46250D+12 0.13001D-09 0.32000D+13   0.0300  1  138.138  0.18205  222.82  224.22   -0.000   15.104   19.29
 0.47500D+12 0.13353D-09 0.32000D+13   0.0300  1  138.138  0.18205  222.82  224.53    0.000   15.512   18.98
 0.48750D+12 0.13733D-09 0.32000D+13   0.0300  1  137.816  0.17931  223.62  225.27   -0.000   15.921   18.40
 0.50000D+12 0.14116D-09 0.32000D+13   0.0300  1  137.494  0.17666  224.39  225.99   -0.000   16.329   17.85
 0.51250D+12 0.14468D-09 0.32000D+13   0.0300  1  137.494  0.17666  224.39  226.29   -0.000   16.737   17.58
 0.52500D+12 0.14853D-09 0.32000D+13   0.0300  1  137.172  0.17408  225.14  226.99   -0.000   17.145   17.09
 0.53750D+12 0.15239D-09 0.32000D+13   0.0300  1  136.850  0.17157  225.87  227.66   -0.000   17.553   16.62
 0.55000D+12 0.15594D-09 0.32000D+13   0.0300  1  136.850  0.17157  225.87  227.95   -0.000   17.962   16.39
 0.56250D+12 0.15982D-09 0.32000D+13   0.0300  1  136.528  0.16913  226.57  228.60    0.000   18.370   15.96
 0.57500D+12 0.16337D-09 0.32000D+13   0.0300  1  136.528  0.16913  226.57  228.88    0.000   18.778   15.74
 0.58750D+12 0.16728D-09 0.32000D+13   0.0300  1  136.206  0.16676  227.25  229.51   -0.000   19.186   15.34
 0.60000D+12 0.17121D-09 0.32000D+13   0.0300  1  135.884  0.16446  227.90  230.12   -0.000   19.595   14.97
 0.61250D+12 0.17478D-09 0.32000D+13   0.0300  1  135.884  0.16446  227.90  230.39   -0.000   20.003   14.78
 0.62500D+12 0.17873D-09 0.32000D+13   0.0300  1  135.562  0.16221  228.54  230.98    0.000   20.411   14.43
 0.63750D+12 0.18270D-09 0.32000D+13   0.0300  1  135.240  0.16003  229.16  231.56    0.000   20.819   14.11
 0.65000D+12 0.18628D-09 0.32000D+13   0.0300  1  135.240  0.16003  229.16  231.82    0.000   21.227   13.93
 0.66250D+12 0.19028D-09 0.32000D+13   0.0300  1  134.918  0.15790  229.76  232.38   -0.000   21.636   13.63
 0.67500D+12 0.19387D-09 0.32000D+13   0.0300  1  134.918  0.15790  229.76  232.63   -0.000   22.044   13.46
 0.68750D+12 0.19789D-09 0.32000D+13   0.0300  1  134.596  0.15583  230.35  233.18   -0.000   22.452   13.18
 0.70000D+12 0.20193D-09 0.32000D+13   0.0300  1  134.274  0.15381  230.92  233.71    0.000   22.860   12.91
 0.71250D+12 0.20553D-09 0.32000D+13   0.0300  1  134.274  0.15381  230.92  233.95   -0.000   23.269   12.76
 0.72500D+12 0.20960D-09 0.32000D+13   0.0300  1  133.952  0.15184  231.47  234.47    0.000   23.677   12.51
 0.73750D+12 0.21368D-09 0.32000D+13   0.0300  1  133.630  0.14992  232.00  234.98   -0.000   24.085   12.27
 0.75000D+12 0.21730D-09 0.32000D+13   0.0300  1  133.630  0.14992  232.00  235.22    0.000   24.493   12.13
 0.76250D+12 0.22141D-09 0.32000D+13   0.0300  1  133.308  0.14805  232.53  235.71   -0.000   24.901   11.91
 0.77500D+12 0.22554D-09 0.32000D+13   0.0300  1  132.986  0.14622  233.03  236.20   -0.000   25.310   11.69
