R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.75000D+11 0.18666D-10 0.32000D+14   0.0200  0  157.862  0.32100  176.85  186.78    0.000    2.449  157.86
 0.87500D+11 0.22648D-10 0.32000D+14   0.0200  0  151.159  0.29566  185.74  192.04   -0.000    2.858  151.16
 0.10000D+12 0.26084D-10 0.32000D+14   0.0200  0  150.013  0.26159  197.22  198.89    0.000    3.266  150.01
 0.11250D+12 0.29573D-10 0.32000D+14   0.0200  0  148.485  0.22675  208.22  206.35   -0.000    3.674  148.48
 0.12500D+12 0.32988D-10 0.32000D+14   0.0200  0  147.968  0.21699  211.18  210.31    0.000    4.082  106.87
 0.13750D+12 0.36358D-10 0.32000D+14   0.0200  1  147.607  0.21064  213.07  212.53    0.000    4.490   60.00
 0.15000D+12 0.39741D-10 0.32000D+14   0.0200  1  147.304  0.20558  214.56  213.98   -0.000    4.899   55.94
 0.16250D+12 0.43138D-10 0.32000D+14   0.0200  1  147.005  0.20083  215.95  215.29   -0.000    5.307   52.53
 0.17500D+12 0.46548D-10 0.32000D+14   0.0200  1  146.712  0.19636  217.25  216.49   -0.000    5.715   49.61
 0.18750D+12 0.49873D-10 0.32000D+14   0.0200  1  146.525  0.19360  218.04  218.80    0.000    6.123   44.60
 0.20000D+12 0.53304D-10 0.32000D+14   0.0200  1  146.232  0.18946  219.22  219.84    0.000    6.532   42.54
 0.21250D+12 0.56748D-10 0.32000D+14   0.0200  1  145.944  0.18556  220.33  220.80    0.000    6.940   40.75
 0.22500D+12 0.60206D-10 0.32000D+14   0.0200  1  145.662  0.18189  221.36  221.68   -0.000    7.348   39.18
 0.23750D+12 0.63678D-10 0.32000D+14   0.0200  1  145.388  0.17845  222.32  222.45   -0.000    7.756   37.82
 0.25000D+12 0.67163D-10 0.32000D+14   0.0200  1  145.125  0.17527  223.20  223.13    0.000    8.164   36.67
