R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.50170D-09 0.12625D+13 0.32000D+14   0.0250  1   94.990  0.04865  258.72  263.02    0.000   41.230    9.00
 0.53213D-09 0.12750D+13 0.32000D+14   0.0250  1   90.160  0.04513  259.92  263.62    0.000   41.638    8.95
 0.55803D-09 0.12875D+13 0.32000D+14   0.0250  1   86.618  0.04284  260.74  264.06    0.000   42.047    8.90
 0.57147D-09 0.13000D+13 0.32000D+14   0.0250  1   85.330  0.04206  261.02  264.31    0.000   42.455    8.85
 0.58744D-09 0.13125D+13 0.32000D+14   0.0250  1   83.720  0.04112  261.37  264.57    0.000   42.863    8.80
 0.60180D-09 0.13250D+13 0.32000D+14   0.0250  1   82.432  0.04040  261.64  264.81    0.000   43.271    8.75
 0.61660D-09 0.13375D+13 0.32000D+14   0.0250  1   81.144  0.03970  261.91  265.04    0.000   43.680    8.71
 0.63187D-09 0.13500D+13 0.32000D+14   0.0250  1   79.856  0.03903  262.17  265.27    0.000   44.088    8.66
 0.65016D-09 0.13625D+13 0.32000D+14   0.0250  1   78.246  0.03821  262.49  265.50    0.000   44.496    8.62
 0.66655D-09 0.13750D+13 0.32000D+14   0.0250  1   76.958  0.03759  262.74  265.72    0.000   44.904    8.58
 0.75061D-09 0.13875D+13 0.32000D+14   0.0250  1   68.586  0.03394  264.26  266.17    1.274   46.477    8.59
 0.82418D-09 0.14000D+13 0.32000D+14   0.0250  1   62.790  0.03178  265.23  266.82    2.069   47.627    8.47
 0.88384D-09 0.14125D+13 0.32000D+14   0.0250  1   58.926  0.03048  265.85  267.26    2.509   48.452    8.38
 0.94124D-09 0.14250D+13 0.32000D+14   0.0250  1   55.706  0.02947  266.34  267.61    2.836   49.174    8.30
 0.99972D-09 0.14375D+13 0.32000D+14   0.0250  1   52.808  0.02862  266.77  267.92    3.112   49.850    8.22
 0.10584D-08 0.14500D+13 0.32000D+14   0.0250  1   50.232  0.02789  267.14  268.20    3.336   50.478    8.15
 0.11088D-08 0.14625D+13 0.32000D+14   0.0250  1   48.300  0.02737  267.42  268.41    3.444   50.996    8.09
 0.11713D-08 0.14750D+13 0.32000D+14   0.0250  1   46.046  0.02679  267.73  268.64    3.624   51.583    8.03
 0.12228D-08 0.14875D+13 0.32000D+14   0.0250  1   44.436  0.02639  267.95  268.82    3.684   52.055    7.97
 0.12875D-08 0.15000D+13 0.32000D+14   0.0250  1   42.504  0.02592  268.21  269.01    3.818   52.599    7.91
