R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.32000D+16   0.0300  1  100.27   85.296  0.05060  260.08  248.61  264.17    7.136    6.377   53.98  1503.48
 0.12500D+11 0.32000D+16   0.0300  1  100.80   85.611  0.05082  260.00  249.19  264.13    7.130    6.777   56.75  1503.49
 0.25000D+11 0.32000D+16   0.0300  1   96.48   81.937  0.04829  260.88  250.62  264.57    7.090    7.182   53.98  1503.54
 0.37500D+11 0.32000D+16   0.0300  1   91.98   78.119  0.04591  261.73  251.98  265.02    7.049    7.586   51.51  1503.59
 0.50000D+11 0.32000D+16   0.0300  1   87.32   74.183  0.04367  262.56  253.27  265.49    7.006    7.989   49.29  1503.63
 0.62500D+11 0.32000D+16   0.0300  1   82.55   70.159  0.04159  263.36  254.49  265.95    6.962    8.391   47.29  1503.67
 0.75000D+11 0.32000D+16   0.0300  1   77.72   66.082  0.03966  264.13  255.64  266.41    6.916    8.792   45.47  1503.70
 0.87500D+11 0.32000D+16   0.0300  1   72.85   61.991  0.03789  264.86  256.72  266.87    6.869    9.192   43.80  1503.74
 0.10000D+12 0.32000D+16   0.0300  1   68.02   57.932  0.03627  265.55  257.73  267.32    6.821    9.590   42.27  1503.77
 0.11250D+12 0.32000D+16   0.0300  1   63.35   54.007  0.03483  266.18  258.67  267.75    6.768    9.982   40.88  1503.80
 0.12500D+12 0.32000D+16   0.0300  1   59.67   50.920  0.03377  266.67  259.46  268.09    6.674   10.328   39.70  1503.83
 0.13750D+12 0.32000D+16   0.0300  0   60.02   49.801  0.03340  266.84  259.98  268.21    6.653   10.726   49.80  1503.85
 0.15000D+12 0.32000D+16   0.0300  0   58.73   48.736  0.03305  267.00  260.48  268.32    6.642   11.132   48.74  1503.87
 0.16250D+12 0.32000D+16   0.0300  0   57.50   47.715  0.03273  267.15  260.96  268.43    6.631   11.538   47.71  1503.89
 0.17500D+12 0.32000D+16   0.0300  0   56.32   46.733  0.03242  267.30  261.43  268.53    6.620   11.944   46.73  1503.91
 0.18750D+12 0.32000D+16   0.0300  0   55.18   45.790  0.03213  267.44  261.88  268.63    6.610   12.351   45.79  1503.93
 0.20000D+12 0.32000D+16   0.0300  0   54.09   44.883  0.03186  267.57  262.31  268.73    6.600   12.757   44.88  1503.95
 0.21250D+12 0.32000D+16   0.0300  0   53.04   44.010  0.03160  267.70  262.73  268.82    6.590   13.164   44.01  1503.96
 0.22500D+12 0.32000D+16   0.0300  0   52.03   43.170  0.03135  267.82  263.14  268.91    6.581   13.570   43.17  1503.97
 0.23750D+12 0.32000D+16   0.0300  0   51.05   42.360  0.03112  267.93  263.53  268.99    6.573   13.977   42.36  1503.99
 0.25000D+12 0.32000D+16   0.0300  0   50.11   41.579  0.03089  268.04  263.92  269.08    6.564   14.384   41.58  1504.00
 0.26250D+12 0.32000D+16   0.0300  0   49.20   40.826  0.03068  268.15  264.29  269.15    6.557   14.791   40.83  1504.01
 0.27500D+12 0.32000D+16   0.0300  0   48.32   40.098  0.03048  268.25  264.65  269.23    6.549   15.198   40.10  1504.02
 0.28750D+12 0.32000D+16   0.0300  0   47.48   39.396  0.03029  268.35  265.01  269.30    6.542   15.605   39.40  1504.03
 0.30000D+12 0.32000D+16   0.0300  0   46.66   38.717  0.03010  268.44  265.35  269.37    6.534   16.012   38.72  1504.04
 0.31250D+12 0.32000D+16   0.0300  0   45.87   38.061  0.02993  268.53  265.68  269.44    6.528   16.419   38.06  1504.05
 0.32500D+12 0.32000D+16   0.0300  0   45.10   37.426  0.02976  268.62  266.01  269.51    6.521   16.826   37.43  1504.06
 0.33750D+12 0.32000D+16   0.0300  0   44.36   36.812  0.02960  268.70  266.33  269.57    6.515   17.233   36.81  1504.07
 0.35000D+12 0.32000D+16   0.0300  0   43.65   36.217  0.02944  268.78  266.64  269.63    6.509   17.640   36.22  1504.07
 0.36250D+12 0.32000D+16   0.0300  0   42.95   35.640  0.02929  268.86  266.94  269.69    6.503   18.048   35.64  1504.08
 0.37500D+12 0.32000D+16   0.0300  0   42.28   35.082  0.02915  268.94  267.24  269.75    6.497   18.455   35.08  1504.09
 0.38750D+12 0.32000D+16   0.0300  0   41.63   34.540  0.02901  269.01  267.53  269.80    6.492   18.862   34.54  1504.10
 0.40000D+12 0.32000D+16   0.0300  0   40.99   34.015  0.02888  269.08  267.81  269.86    6.486   19.270   34.01  1504.11
 0.41250D+12 0.32000D+16   0.0300  0   40.38   33.505  0.02875  269.15  268.09  269.91    6.481   19.677   33.50  1504.11
 0.42500D+12 0.32000D+16   0.0300  0   39.78   33.009  0.02863  269.21  268.37  269.96    6.476   20.085   33.01  1504.12
 0.43750D+12 0.32000D+16   0.0300  0   39.20   32.528  0.02851  269.27  268.63  270.01    6.471   20.492   32.53  1504.13
 0.45000D+12 0.32000D+16   0.0300  0   38.64   32.061  0.02840  269.33  268.89  270.05    6.467   20.900   32.06  1504.13
 0.46250D+12 0.32000D+16   0.0300  0   38.09   31.607  0.02829  269.39  269.15  270.10    6.462   21.307   31.61  1504.14
 0.47500D+12 0.32000D+16   0.0300  0   37.56   31.165  0.02818  269.45  269.40  270.15    6.458   21.715   31.17  1504.15
 0.48750D+12 0.32000D+16   0.0300  0   37.04   30.735  0.02808  269.51  269.65  270.19    6.454   22.123   30.74  1504.15
 0.50000D+12 0.32000D+16   0.0300  0   36.54   30.317  0.02798  269.56  264.63  270.23    6.450   22.530   30.32  1504.16
 0.51250D+12 0.32000D+16   0.0300  0   36.05   29.910  0.02789  269.61  264.86  270.27    6.445   22.938   29.91  1504.16
 0.52500D+12 0.32000D+16   0.0300  0   35.57   29.514  0.02779  269.66  265.08  270.31    6.442   23.346   29.51  1504.17
 0.53750D+12 0.32000D+16   0.0300  0   35.10   29.128  0.02770  269.71  265.29  270.35    6.438   23.753   29.13  1504.17
 0.55000D+12 0.32000D+16   0.0300  0   34.65   28.751  0.02762  269.76  265.51  270.39    6.434   24.161   28.75  1504.18
 0.56250D+12 0.32000D+16   0.0300  0   34.21   28.384  0.02753  269.81  265.72  270.43    6.431   24.569   28.38  1504.19
 0.57500D+12 0.32000D+16   0.0300  0   33.78   28.027  0.02745  269.85  265.93  270.46    6.427   24.977   28.03  1504.19
 0.58750D+12 0.32000D+16   0.0300  0   33.36   27.678  0.02737  269.90  266.14  270.50    6.424   25.384   27.68  1504.19
 0.60000D+12 0.32000D+16   0.0300  0   32.94   27.338  0.02730  269.94  266.34  270.53    6.420   25.792   27.34  1504.20
 0.61250D+12 0.32000D+16   0.0300  0   32.54   27.005  0.02722  269.98  266.55  270.56    6.417   26.200   27.01  1504.20
 0.62500D+12 0.32000D+16   0.0300  0   32.15   26.681  0.02715  270.02  266.75  270.60    6.414   26.608   26.68  1504.21
 0.63750D+12 0.32000D+16   0.0300  0   31.77   26.365  0.02708  270.06  266.94  270.63    6.411   27.016   26.36  1504.21
 0.65000D+12 0.32000D+16   0.0300  0   31.40   26.055  0.02701  270.10  267.14  270.66    6.408   27.423   26.06  1504.22
 0.66250D+12 0.32000D+16   0.0300  0   31.04   25.753  0.02694  270.14  267.33  270.69    6.405   27.831   25.75  1504.22
 0.67500D+12 0.32000D+16   0.0300  0   30.68   25.458  0.02688  270.17  267.52  270.72    6.402   28.239   25.46  1504.23
 0.68750D+12 0.32000D+16   0.0300  0   30.33   25.169  0.02681  270.21  267.71  270.75    6.400   28.647   25.17  1504.23
 0.70000D+12 0.32000D+16   0.0300  0   29.99   24.887  0.02675  270.24  267.90  270.77    6.397   29.055   24.89  1504.23
