R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.99218D-06  0  0  0.00000  273.16  261.50 0.32462D+15  2.168    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.99237D-07  0  0  0.00000  273.13  264.92 0.22666D+15  2.168 1398.234 1397.657 1383.534 1412.355    0.32    0.32    0.32
    0.64    0.77 0.49629D-07  0  0  0.00000  273.10  265.48 0.21343D+15  2.168  699.141  698.564  684.437  713.264    0.64    0.64    0.64
    0.97    1.16 0.33093D-07  0  0  0.00000  273.07  265.83 0.20523D+15  2.168  466.110  465.533  451.402  480.235    0.97    0.97    0.97
    1.29    1.55 0.24825D-07  0  0  0.00000  273.04  266.10 0.19921D+15  2.169  349.594  349.017  334.882  363.721    1.29    1.29    1.29
    1.61    1.94 0.19864D-07  0  0  0.00000  273.01  266.31 0.19443D+15  2.169  279.685  279.108  264.968  293.814    1.61    1.61    1.61
    1.93    2.33 0.16557D-07  0  0  0.00000  272.98  266.48 0.19047D+15  2.169  233.078  232.502  218.358  247.210    1.93    1.93    1.93
    2.25    2.71 0.14194D-07  0  0  0.00000  272.95  266.63 0.18707D+15  2.169  199.788  199.211  185.064  213.922    2.25    2.25    2.25
    2.58    3.10 0.12423D-07  0  0  0.00000  272.92  266.76 0.18410D+15  2.170  174.820  174.244  160.092  188.956    2.58    2.58    2.58
    2.90    3.49 0.11045D-07  0  0  0.00000  272.89  266.87 0.18145D+15  2.170  155.401  154.824  140.669  169.539    2.90    2.90    2.90
    3.22    3.88 0.99421D-08  0  0  0.00000  272.86  266.98 0.17907D+15  2.170  139.865  139.289  125.129  154.005    3.22    3.22    3.22
    3.54    4.27 0.90402D-08  0  0  0.00000  272.83  267.07 0.17690D+15  2.170  127.155  126.578  112.414  141.296    3.54    3.54    3.54
    3.86    4.65 0.82885D-08  0  0  0.00000  272.80  267.15 0.17490D+15  2.171  116.562  115.986  101.818  130.706    3.86    3.86    3.86
    4.19    5.04 0.76525D-08  0  0  0.00000  272.77  267.23 0.17306D+15  2.171  107.599  107.023   92.851  121.745    4.19    4.19    4.19
    4.51    5.43 0.71074D-08  0  0  0.00000  272.74  267.30 0.17134D+15  2.171   99.917   99.341   85.164  114.065    4.51    4.51    4.51
    4.83    5.82 0.66349D-08  0  0  0.00000  272.71  267.36 0.16974D+15  2.171   93.259   92.683   78.502  107.409    4.83    4.83    4.83
    5.15    6.21 0.62215D-08  0  0  0.00000  272.68  267.42 0.16823D+15  2.172   87.433   86.857   72.672  101.585    5.15    5.15    5.15
    5.47    6.59 0.58568D-08  0  0  0.00000  272.65  267.47 0.16681D+15  2.172   82.292   81.716   67.527   96.447    5.47    5.47    5.47
    5.80    6.98 0.55325D-08  0  0  0.00000  272.62  267.53 0.16547D+15  2.172   77.723   77.147   62.954   91.879    5.80    5.80    5.80
    6.12    7.37 0.52424D-08  0  0  0.00000  272.59  267.57 0.16419D+15  2.172   73.635   73.059   58.862   87.793    6.12    6.12    6.12
    6.44    7.76 0.49813D-08  0  0  0.00000  272.56  267.62 0.16298D+15  2.173   69.955   69.379   55.178   84.116    6.44    6.44    6.44
    6.76    8.15 0.47451D-08  0  0  0.00000  272.53  267.66 0.16182D+15  2.173   66.626   66.050   51.845   80.789    6.76    6.76    6.76
    7.08    8.54 0.45304D-08  0  0  0.00000  272.50  267.70 0.16071D+15  2.173   63.600   63.024   48.814   77.764    7.08    7.08    7.08
    7.41    8.92 0.43343D-08  0  0  0.00000  272.47  267.74 0.15965D+15  2.173   60.836   60.260   46.047   75.003    7.41    7.41    7.41
    7.73    9.31 0.41545D-08  0  0  0.00000  272.44  267.77 0.15864D+15  2.174   58.303   57.727   43.510   72.472    7.73    7.73    7.73
    8.05    9.70 0.39892D-08  0  0  0.00000  272.41  267.80 0.15766D+15  2.174   55.973   55.397   41.175   70.144    8.05    8.05    8.05
    8.37   10.09 0.38366D-08  0  0  0.00000  272.38  267.83 0.15671D+15  2.174   53.822   53.246   39.020   67.994    8.37    8.37    8.37
    8.69   10.48 0.36952D-08  0  0  0.00000  272.35  267.86 0.15581D+15  2.174   51.830   51.254   37.024   66.005    8.69    8.69    8.69
    9.02   10.86 0.35640D-08  0  0  0.00000  272.32  267.89 0.15493D+15  2.175   49.980   49.405   35.171   64.157    9.02    9.02    9.02
    9.34   11.25 0.34418D-08  0  0  0.00000  272.28  267.91 0.15408D+15  2.175   48.258   47.683   33.444   62.437    9.34    9.34    9.34
    9.66   11.64 0.33278D-08  0  0  0.00000  272.25  267.94 0.15326D+15  2.175   46.651   46.075   31.833   60.832    9.66    9.66    9.66
    9.98   12.03 0.32211D-08  0  0  0.00000  272.22  267.96 0.15246D+15  2.176   45.148   44.572   30.325   59.331    9.98    9.98    9.98
   10.30   12.42 0.31211D-08  0  0  0.00000  272.19  267.98 0.15169D+15  2.176   43.738   43.162   28.912   57.923   10.30   10.30   10.30
   10.63   12.80 0.30271D-08  0  0  0.00000  272.16  268.00 0.15094D+15  2.176   42.414   41.838   27.584   56.601   10.63   10.63   10.63
   10.95   13.19 0.29387D-08  0  0  0.00000  272.13  268.02 0.15021D+15  2.176   41.168   40.592   26.333   55.357   10.95   10.95   10.95
   11.27   13.58 0.28553D-08  0  0  0.00000  272.10  268.03 0.14950D+15  2.177   39.993   39.417   25.154   54.184   11.27   11.27   11.27
   11.59   13.97 0.27766D-08  0  0  0.00000  272.07  268.05 0.14881D+15  2.177   38.883   38.307   24.040   53.076   11.59   11.59   11.59
   11.91   14.36 0.27021D-08  0  0  0.00000  272.04  268.07 0.14814D+15  2.177   37.833   37.258   22.986   52.029   11.91   11.91   11.91
   12.24   14.74 0.26315D-08  0  0  0.00000  272.01  268.08 0.14748D+15  2.177   36.838   36.263   21.988   51.036   12.24   12.24   12.24
   12.56   15.13 0.25646D-08  0  0  0.00000  271.98  268.09 0.14684D+15  2.178   35.895   35.320   21.040   50.095   12.56   12.56   12.56
   12.88   15.52 0.25010D-08  0  0  0.00000  271.95  268.11 0.14622D+15  2.178   34.998   34.423   20.140   49.200   12.88   12.88   12.88
   13.20   15.91 0.24405D-08  0  0  0.00000  271.92  268.12 0.14561D+15  2.178   34.146   33.571   19.283   48.350   13.20   13.20   13.20
   13.52   16.30 0.23829D-08  0  0  0.00000  271.88  268.13 0.14501D+15  2.178   33.334   32.759   18.467   47.540   13.52   13.52   13.52
   13.85   16.68 0.23279D-08  0  0  0.00000  271.85  268.14 0.14443D+15  2.179   32.559   31.984   17.688   46.768   13.85   13.85   13.85
   14.17   17.07 0.22755D-08  0  0  0.00000  271.82  268.15 0.14386D+15  2.179   31.820   31.245   16.945   46.031   14.17   14.17   14.17
   14.49   17.46 0.22254D-08  0  0  0.00000  271.79  268.16 0.14330D+15  2.179   31.114   30.539   16.235   45.326   14.49   14.49   14.49
   14.81   17.85 0.21775D-08  0  0  0.00000  271.76  268.16 0.14275D+15  2.180   30.439   29.864   15.555   44.653   14.81   14.81   14.81
   15.13   18.24 0.21316D-08  0  0  0.00000  271.73  268.17 0.14221D+15  2.180   29.792   29.217   14.904   44.008   15.13   15.13   15.13
   15.46   18.63 0.20876D-08  0  0  0.00000  271.70  268.18 0.14169D+15  2.180   29.172   28.597   14.280   43.390   15.46   15.46   15.46
   15.78   19.01 0.20454D-08  0  0  0.00000  271.67  268.18 0.14117D+15  2.180   28.577   28.003   13.681   42.798   15.78   15.78   15.78
   16.10   19.40 0.20049D-08  0  0  0.00000  271.64  268.19 0.14066D+15  2.181   28.007   27.432   13.106   42.229   16.10   16.10   16.10
   16.42   19.37 0.19660D-08  1  0  0.00000  271.61  268.19 0.14017D+15  2.181   27.458   26.883   12.795   41.919   10.30   14.46   15.73
   16.74   19.76 0.19286D-08  1  0  0.00000  271.57  268.20 0.13968D+15  2.181   26.931   26.356   12.685   41.806   10.33   14.40   16.05
   17.07   20.15 0.18926D-08  1  0  0.00000  271.54  268.20 0.13920D+15  2.181   26.423   25.849   12.577   41.695   10.35   14.35   16.38
   17.39   20.54 0.18580D-08  1  0  0.00000  271.51  268.21 0.13873D+15  2.182   25.935   25.360   12.471   41.586   10.37   14.29   16.70
   17.71   20.93 0.18246D-08  1  0  0.00000  271.48  268.21 0.13827D+15  2.182   25.464   24.889   12.367   41.480   10.39   14.24   17.02
   18.03   21.32 0.17923D-08  1  0  0.00000  271.45  268.21 0.13781D+15  2.182   25.010   24.435   12.265   41.376   10.42   14.19   17.35
   18.35   21.71 0.17613D-08  1  0  0.00000  271.42  268.21 0.13736D+15  2.182   24.572   23.997   12.166   41.273   10.44   14.15   17.67
