R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.11024D-05  0  0  0.00736  273.24  261.57 0.32205D+15  2.167    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.11026D-06  0  0  0.00738  273.21  265.33 0.21724D+15  2.167 1398.890 1398.313 1382.557 1414.644    0.32    0.32    0.32
    0.64    0.77 0.55143D-07  0  0  0.00739  273.18  265.94 0.20353D+15  2.167  699.465  698.888  683.127  715.222    0.64    0.64    0.64
    0.97    1.16 0.36770D-07  0  0  0.00741  273.15  266.33 0.19508D+15  2.168  466.323  465.746  449.981  482.082    0.97    0.97    0.97
    1.29    1.55 0.27583D-07  0  0  0.00743  273.12  266.62 0.18892D+15  2.168  349.752  349.176  333.406  365.513    1.29    1.29    1.29
    1.61    1.94 0.22071D-07  0  0  0.00744  273.09  266.85 0.18405D+15  2.168  279.810  279.233  263.459  295.573    1.61    1.61    1.61
    1.93    2.33 0.18396D-07  0  0  0.00746  273.06  267.04 0.18002D+15  2.168  233.181  232.605  216.826  248.947    1.93    1.93    1.93
    2.25    2.71 0.15771D-07  0  0  0.00748  273.03  267.20 0.17657D+15  2.169  199.875  199.298  183.515  215.643    2.25    2.25    2.25
    2.58    3.10 0.13803D-07  0  0  0.00749  273.00  267.34 0.17356D+15  2.169  174.896  174.319  158.531  190.666    2.58    2.58    2.58
    2.90    3.49 0.12272D-07  0  0  0.00751  272.96  267.47 0.17088D+15  2.169  155.467  154.890  139.098  171.239    2.90    2.90    2.90
    3.22    3.88 0.11047D-07  0  0  0.00753  272.93  267.58 0.16848D+15  2.170  139.924  139.347  123.550  155.699    3.22    3.22    3.22
    3.54    4.27 0.10045D-07  0  0  0.00754  272.90  267.68 0.16629D+15  2.170  127.207  126.631  110.829  142.984    3.54    3.54    3.54
    3.86    4.65 0.92095D-08  0  0  0.00756  272.87  267.77 0.16429D+15  2.170  116.610  116.033  100.227  132.389    3.86    3.86    3.86
    4.19    5.04 0.85028D-08  0  0  0.00758  272.84  267.86 0.16244D+15  2.170  107.643  107.066   91.255  123.424    4.19    4.19    4.19
    4.51    5.43 0.78971D-08  0  0  0.00760  272.81  267.93 0.16072D+15  2.171   99.956   99.380   83.565  115.740    4.51    4.51    4.51
    4.83    5.82 0.73721D-08  0  0  0.00761  272.78  268.00 0.15911D+15  2.171   93.295   92.719   76.899  109.081    4.83    4.83    4.83
    5.15    6.21 0.69128D-08  0  0  0.00763  272.75  268.07 0.15761D+15  2.171   87.466   86.890   71.066  103.255    5.15    5.15    5.15
    5.47    6.59 0.65075D-08  0  1  0.00765  272.71  268.13 0.15619D+15  2.171   82.323   81.747   65.918   98.114    5.47    5.47    5.47
    5.80    6.98 0.61473D-08  0  1  0.00767  272.68  268.19 0.15485D+15  2.172   77.752   77.176   61.342   93.545    5.80    5.80    5.80
    6.12    7.37 0.58249D-08  0  1  0.00768  272.65  268.24 0.15358D+15  2.172   73.662   73.085   57.247   89.457    6.12    6.12    6.12
    6.44    7.76 0.55348D-08  0  1  0.00770  272.62  268.29 0.15237D+15  2.172   69.980   69.404   53.561   85.778    6.44    6.44    6.44
    6.76    8.15 0.52723D-08  0  1  0.00772  272.59  268.33 0.15122D+15  2.172   66.649   66.073   50.226   82.449    6.76    6.76    6.76
    7.08    8.54 0.50337D-08  0  1  0.00774  272.56  268.38 0.15012D+15  2.173   63.622   63.045   47.193   79.424    7.08    7.08    7.08
    7.41    8.92 0.48159D-08  0  1  0.00775  272.53  268.42 0.14907D+15  2.173   60.857   60.281   44.424   76.661    7.41    7.41    7.41
    7.73    9.31 0.46162D-08  0  1  0.00777  272.49  268.46 0.14806D+15  2.173   58.323   57.746   41.885   74.129    7.73    7.73    7.73
    8.05    9.70 0.44324D-08  0  1  0.00779  272.46  268.49 0.14710D+15  2.174   55.991   55.415   39.549   71.800    8.05    8.05    8.05
    8.37   10.09 0.42628D-08  0  1  0.00781  272.43  268.53 0.14616D+15  2.174   53.839   53.263   37.393   69.650    8.37    8.37    8.37
    8.69   10.48 0.41058D-08  0  1  0.00783  272.40  268.56 0.14527D+15  2.174   51.846   51.270   35.395   67.660    8.69    8.69    8.69
    9.02   10.86 0.39600D-08  0  1  0.00785  272.37  268.59 0.14440D+15  2.174   49.995   49.420   33.540   65.811    9.02    9.02    9.02
    9.34   11.25 0.38242D-08  0  1  0.00786  272.34  268.62 0.14357D+15  2.175   48.273   47.697   31.813   64.091    9.34    9.34    9.34
    9.66   11.64 0.36975D-08  0  1  0.00788  272.30  268.64 0.14276D+15  2.175   46.665   46.089   30.200   62.485    9.66    9.66    9.66
    9.98   12.03 0.35790D-08  0  1  0.00790  272.27  268.67 0.14197D+15  2.175   45.160   44.585   28.691   60.983    9.98    9.98    9.98
   10.30   12.42 0.34679D-08  0  1  0.00792  272.24  268.69 0.14121D+15  2.175   43.750   43.174   27.277   59.575   10.30   10.30   10.30
   10.63   12.80 0.33635D-08  0  1  0.00794  272.21  268.72 0.14048D+15  2.176   42.425   41.850   25.947   58.253   10.63   10.63   10.63
   10.95   13.19 0.32652D-08  0  1  0.00796  272.18  268.74 0.13976D+15  2.176   41.178   40.603   24.696   57.008   10.95   10.95   10.95
   11.27   13.58 0.31726D-08  0  1  0.00798  272.14  268.76 0.13907D+15  2.176   40.003   39.427   23.515   55.835   11.27   11.27   11.27
   11.59   13.97 0.30851D-08  0  1  0.00800  272.11  268.78 0.13839D+15  2.177   38.892   38.317   22.401   54.727   11.59   11.59   11.59
   11.91   14.36 0.30023D-08  0  1  0.00802  272.08  268.79 0.13773D+15  2.177   37.842   37.266   21.346   53.679   11.91   11.91   11.91
