R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    1.814   1.0887 0.77537D-08  0  0    6.02    5.000  0.01145  272.75  268.54   72.266  107.357    5.00   274.38
 0.12270D-01   1.0362   0.0000    2.008   1.1074 0.40020D-08  0  0   11.91    9.885  0.01186  272.26  269.35   27.362   63.181    9.88   276.01
 0.14540D-01   1.0349   0.0000    2.185   1.1251 0.28611D-08  0  0   16.97   14.086  0.01224  271.83  269.73   13.410   49.913   14.09   277.64
 0.16810D-01   1.0336   0.0000    2.348   1.1417 0.24739D-08  0  0   19.95   16.557  0.01247  271.57  269.93    8.323   45.432   16.56   279.27
 0.19080D-01   1.0324   0.0000    2.500   1.1568 0.22947D-08  1  0   21.51   18.104  0.01262  271.41  270.07    6.745   44.368    9.71   280.89
 0.21350D-01   1.0311   0.0000    2.643   1.1703 0.21698D-08  1  0   23.08   19.386  0.01274  271.27  270.19    6.059   44.130    9.75   282.52
 0.23620D-01   1.0298   0.0000    2.778   1.1821 0.20780D-08  1  0   24.41   20.460  0.01285  271.16  270.28    5.496   43.957    9.77   284.14
 0.25890D-01   1.0285   0.0000    2.907   1.1919 0.20087D-08  1  0   25.52   21.355  0.01294  271.06  270.36    5.038   43.827    9.79   285.76
 0.28160D-01   1.0273   0.0000    3.030   1.1997 0.19551D-08  1  0   26.44   22.094  0.01302  270.98  270.42    4.675   43.724    9.80   287.37
 0.30430D-01   1.0260   0.0000    3.147   1.2054 0.19122D-08  1  0   27.20   22.705  0.01308  270.92  270.46    4.397   43.635    9.82   288.99
 0.32700D-01   1.0247   0.0000    3.261   1.2088 0.18766D-08  1  0   27.83   23.209  0.01313  270.86  270.48    4.197   43.551    9.83   290.60
 0.34970D-01   1.0234   0.0000    3.370   1.2100 0.18455D-08  1  0   28.35   23.630  0.01318  270.82  270.49    4.069   43.462    9.84   292.21
 0.37240D-01   1.0222   0.0000    3.475   1.2089 0.18166D-08  1  0   28.79   23.989  0.01322  270.78  270.48    4.006   43.364    9.86   293.82
 0.39510D-01   1.0209   0.0000    3.577   1.2055 0.17884D-08  1  0   29.18   24.304  0.01325  270.74  270.46    4.004   43.249    9.88   295.43
 0.41780D-01   1.0196   0.0000    3.676   1.1999 0.17593D-08  1  0   29.53   24.596  0.01328  270.71  270.41    4.056   43.116    9.91   297.03
 0.44050D-01   1.0184   0.0000    3.773   1.1922 0.17284D-08  1  0   29.86   24.879  0.01331  270.68  270.36    4.157   42.959    9.94   298.63
 0.46320D-01   1.0171   0.0000    3.866   1.1824 0.16947D-08  1  0   30.20   25.169  0.01334  270.65  270.28    4.301   42.777    9.98   300.24
 0.48590D-01   1.0159   0.0000    3.957   1.1707 0.16578D-08  1  0   30.56   25.481  0.01338  270.62  270.19    4.482   42.568   10.03   301.83
 0.50860D-01   1.0146   0.0000    4.046   1.1572 0.16172D-08  1  0   30.96   25.825  0.01341  270.58  270.09    4.695   42.332   10.08   303.43
 0.53130D-01   1.0134   0.0000    4.133   1.1421 0.15729D-08  1  0   31.41   26.212  0.01346  270.54  269.97    4.934   42.067   10.14   305.03
 0.55400D-01   1.0121   0.0000    4.218   1.1256 0.15251D-08  1  0   31.92   26.650  0.01350  270.49  269.84    5.192   41.776   10.20   306.62
 0.57670D-01   1.0109   0.0000    4.301   1.1079 0.14741D-08  1  0   32.51   27.148  0.01356  270.43  269.69    5.466   41.458   10.27   308.21
 0.59940D-01   1.0096   0.0000    4.382   1.0892 0.14203D-08  1  0   33.17   27.710  0.01362  270.37  269.54    5.749   41.116   10.35   309.80
 0.62210D-01   1.0084   0.0000    4.461   1.0697 0.13644D-08  1  0   33.92   28.341  0.01369  270.30  269.37    6.037   40.753   10.44   311.39
 0.64480D-01   1.0071   0.0000    4.539   1.0496 0.13071D-08  1  0   34.75   29.043  0.01377  270.22  269.20    6.325   40.370   10.52   312.97
 0.66750D-01   1.0059   0.0000    4.616   1.0293 0.12491D-08  1  0   35.67   29.818  0.01386  270.14  269.01    6.609   39.972   10.62   314.55
 0.69020D-01   1.0046   0.0000    4.691   1.0088 0.11911D-08  1  0   36.68   30.664  0.01396  270.04  268.82    6.884   39.562   10.72   316.13
 0.71290D-01   1.0034   0.0000    4.764   0.9885 0.11338D-08  1  0   37.78   31.582  0.01407  269.94  268.63    7.149   39.143   10.82   317.71
 0.73560D-01   1.0021   0.0000    4.836   0.9684 0.10779D-08  1  0   38.95   32.568  0.01419  269.83  268.43    7.398   38.720   10.92   319.29
 0.75830D-01   1.0009   0.0000    4.907   0.9489 0.10239D-08  1  0   40.21   33.618  0.01432  269.71  268.22    7.630   38.295   11.03   320.87
 0.78100D-01   0.9997   0.0000    4.977   0.9301 0.97226D-09  1  0   41.54   34.727  0.01445  269.58  268.01    7.842   37.874   11.13   322.44
 0.80370D-01   0.9984   0.0000    5.046   0.9123 0.92338D-09  1  0   42.93   35.888  0.01460  269.45  267.81    8.032   37.459   11.24   324.01
 0.82640D-01   0.9972   0.0000    5.114   0.8954 0.87752D-09  1  0   44.38   37.096  0.01476  269.31  267.60    8.197   37.055   11.34   325.58
 0.84910D-01   0.9960   0.0000    5.180   0.8798 0.83486D-09  1  0   45.88   38.342  0.01492  269.16  267.40    8.337   36.664   11.45   327.15
 0.87180D-01   0.9947   0.0000    5.246   0.8655 0.79551D-09  1  0   47.41   39.617  0.01509  269.01  267.20    8.449   36.290   11.54   328.71
 0.89450D-01   0.9935   0.0000    5.310   0.8526 0.75951D-09  1  0   48.97   40.912  0.01527  268.86  267.01    8.532   35.936   11.64   330.28
 0.91720D-01   0.9923   0.0000    5.374   0.8413 0.72688D-09  1  0   50.54   42.218  0.01545  268.70  266.83    8.586   35.604   11.72   331.84
 0.93990D-01   0.9911   0.0000    5.437   0.8317 0.69755D-09  1  0   52.11   43.525  0.01564  268.54  266.67    8.610   35.297   11.81   333.40
 0.96260D-01   0.9898   0.0000    5.499   0.8237 0.67145D-09  1  0   53.68   44.822  0.01583  268.39  266.51    8.603   35.017   11.88   334.96
 0.98530D-01   0.9886   0.0000    5.560   0.8176 0.64849D-09  1  0   55.22   46.100  0.01602  268.23  266.37    8.565   34.766   11.94   336.51
 0.10080D+00   0.9874   0.0000    5.620   0.8132 0.62856D-09  1  0   56.72   47.346  0.01621  268.08  266.24    8.496   34.546   12.00   338.07
 0.10307D+00   0.9862   0.0000    5.679   0.8107 0.61153D-09  1  0   58.18   48.552  0.01640  267.93  266.14    8.397   34.357   12.04   339.62
 0.10534D+00   0.9850   0.0000    5.738   0.8100 0.59729D-09  1  0   59.58   49.706  0.01658  267.78  266.05    8.266   34.202   12.08   341.17
 0.10761D+00   0.9838   0.0000    5.796   0.8112 0.58573D-09  1  0   60.90   50.799  0.01676  267.64  265.98    8.106   34.080   12.10   342.72
 0.10988D+00   0.9826   0.0000    5.853   0.8143 0.57674D-09  1  0   62.14   51.820  0.01693  267.51  265.94    7.917   33.993   12.12   344.26
 0.11215D+00   0.9813   0.0000    5.910   0.8192 0.57023D-09  1  0   63.29   52.761  0.01709  267.39  265.92    7.700   33.941   12.12   345.81
 0.11442D+00   0.9801   0.0000    5.966   0.8259 0.56609D-09  1  0   64.33   53.611  0.01724  267.28  265.92    7.455   33.925   12.11   347.35
 0.11669D+00   0.9789   0.0000    6.021   0.8344 0.56425D-09  1  0   65.25   54.363  0.01737  267.18  265.95    7.186   33.944   12.09   348.89
 0.11896D+00   0.9777   0.0000    6.075   0.8445 0.56465D-09  1  0   66.05   55.009  0.01748  267.10  266.00    6.894   33.997   12.06   350.43
 0.12123D+00   0.9765   0.0000    6.129   0.8563 0.56723D-09  1  0   66.71   55.541  0.01758  267.03  266.07    6.580   34.085   12.02   351.97
 0.12350D+00   0.9753   0.0000    6.183   0.8696 0.57195D-09  1  0   67.23   55.953  0.01765  266.98  266.17    6.247   34.207   11.97   353.50
 0.12577D+00   0.9741   0.0000    6.236   0.8843 0.57877D-09  1  0   67.61   56.240  0.01770  266.94  266.29    5.899   34.362   11.91   355.04
 0.12804D+00   0.9729   0.0000    6.288   0.9003 0.58767D-09  1  0   67.83   56.397  0.01773  266.92  266.43    5.537   34.547   11.84   356.57
 0.13031D+00   0.9717   0.0000    6.339   0.9175 0.59864D-09  1  0   67.90   56.420  0.01774  266.92  266.59    5.165   34.763   11.77   358.10
 0.13258D+00   0.9705   0.0000    6.390   0.9357 0.61169D-09  1  0   67.81   56.307  0.01772  266.93  266.77    4.788   35.006   11.69   359.62
 0.13485D+00   0.9693   0.0000    6.441   0.9547 0.62681D-09  1  0   67.56   56.056  0.01767  266.96  266.97    4.407   35.275   11.61   361.15
 0.13712D+00   0.9681   0.0000    6.491   0.9744 0.64402D-09  1  0   67.09   55.668  0.01760  267.01  267.18    4.029   35.568   11.52   362.67
 0.13939D+00   0.9670   0.0000    6.541   0.9945 0.66336D-09  1  0   66.46   55.144  0.01751  267.08  267.40    3.656   35.881   11.42   364.19
 0.14166D+00   0.9658   0.0000    6.590   1.0149 0.68484D-09  1  0   65.67   54.488  0.01739  267.17  267.63    3.293   36.213   11.33   365.71
 0.14393D+00   0.9646   0.0000    6.638   1.0354 0.70851D-09  1  0   64.72   53.702  0.01725  267.27  267.87    2.946   36.560   11.24   367.23
 0.14620D+00   0.9634   0.0000    6.686   1.0557 0.73439D-09  1  0   63.63   52.793  0.01710  267.39  268.11    2.618   36.920   11.14   368.75
 0.14847D+00   0.9622   0.0000    6.734   1.0756 0.76254D-09  1  0   62.39   51.768  0.01692  267.52  268.35    2.314   37.289   11.05   370.26
 0.15074D+00   0.9610   0.0000    6.781   1.0949 0.79297D-09  1  0   61.03   50.636  0.01673  267.66  268.59    2.038   37.663   10.95   371.78
 0.15301D+00   0.9599   0.0000    6.828   1.1133 0.82571D-09  1  0   59.55   49.408  0.01654  267.82  268.82    1.795   38.041   10.86   373.29
 0.15528D+00   0.9587   0.0000    6.874   1.1307 0.86077D-09  1  0   57.96   48.094  0.01633  267.98  269.04    1.589   38.418   10.78   374.80
 0.15755D+00   0.9575   0.0000    6.920   1.1468 0.89813D-09  1  0   56.29   46.708  0.01611  268.15  269.26    1.424   38.790   10.70   376.30
 0.15982D+00   0.9563   0.0000    6.965   1.1614 0.93774D-09  1  0   54.55   45.263  0.01589  268.33  269.45    1.302   39.156   10.62   377.81
 0.16209D+00   0.9552   0.0000    7.010   1.1744 0.97950D-09  1  0   52.76   43.775  0.01567  268.51  269.63    1.228   39.512   10.54   379.31
 0.16436D+00   0.9540   0.0000    7.055   1.1855 0.10233D-08  1  0   50.93   42.260  0.01546  268.70  269.80    1.202   39.853   10.47   380.81
 0.16663D+00   0.9528   0.0000    7.099   1.1947 0.10688D-08  1  0   49.09   40.733  0.01524  268.88  269.94    1.226   40.179   10.41   382.31
 0.16890D+00   0.9516   0.0000    7.143   1.2018 0.11158D-08  1  0   47.26   39.212  0.01504  269.06  270.06    1.301   40.485   10.35   383.81
 0.17117D+00   0.9505   0.0000    7.186   1.2068 0.11638D-08  1  0   45.45   37.712  0.01484  269.23  270.16    1.427   40.769   10.30   385.31
 0.17344D+00   0.9493   0.0000    7.230   1.2095 0.12123D-08  1  0   43.69   36.250  0.01465  269.40  270.23    1.603   41.028   10.26   386.80
 0.17571D+00   0.9481   0.0000    7.272   1.2099 0.12606D-08  1  0   41.99   34.842  0.01447  269.57  270.28    1.828   41.259   10.22   388.29
 0.17798D+00   0.9470   0.0000    7.315   1.2080 0.13078D-08  1  0   40.38   33.503  0.01430  269.72  270.31    2.097   41.460   10.19   389.78
 0.18025D+00   0.9458   0.0000    7.357   1.2039 0.13531D-08  1  0   38.86   32.245  0.01415  269.86  270.31    2.409   41.628   10.16   391.27
 0.18252D+00   0.9447   0.0000    7.398   1.1976 0.13954D-08  1  0   37.46   31.081  0.01401  269.99  270.29    2.759   41.761   10.15   392.76
 0.18479D+00   0.9435   0.0000    7.440   1.1892 0.14335D-08  1  0   36.18   30.021  0.01389  270.11  270.26    3.141   41.858   10.14   394.24
 0.18706D+00   0.9424   0.0000    7.481   1.1788 0.14663D-08  1  0   35.03   29.075  0.01378  270.22  270.20    3.551   41.915   10.14   395.73
