R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.11024D-05  0  0  0.02220  273.07  261.42 0.32740D+15  2.168    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.11026D-06  0  0  0.02225  273.04  265.19 0.22045D+15  2.168 1397.489 1396.913 1381.156 1413.244    0.32    0.32    0.32
    0.64    0.77 0.55143D-07  0  0  0.02230  273.00  265.80 0.20653D+15  2.169  698.752  698.175  682.414  714.509    0.64    0.64    0.64
    0.97    1.16 0.36770D-07  0  0  0.02235  272.97  266.19 0.19797D+15  2.169  465.839  465.263  449.497  481.598    0.97    0.97    0.97
    1.29    1.55 0.27583D-07  0  0  0.02240  272.94  266.47 0.19174D+15  2.169  349.383  348.807  333.036  365.144    1.29    1.29    1.29
    1.61    1.94 0.22071D-07  0  0  0.02245  272.90  266.70 0.18682D+15  2.170  279.509  278.933  263.158  295.273    1.61    1.61    1.61
    1.93    2.33 0.18396D-07  0  0  0.02250  272.87  266.89 0.18275D+15  2.170  232.926  232.350  216.570  248.692    1.93    1.93    1.93
    2.25    2.71 0.15771D-07  0  0  0.02255  272.83  267.05 0.17928D+15  2.170  199.653  199.077  183.292  215.421    2.25    2.25    2.25
    2.58    3.10 0.13803D-07  0  0  0.02260  272.80  267.19 0.17626D+15  2.170  174.698  174.121  158.333  190.468    2.58    2.58    2.58
    2.90    3.49 0.12272D-07  0  0  0.02265  272.76  267.31 0.17357D+15  2.171  155.288  154.712  138.919  171.061    2.90    2.90    2.90
    3.22    3.88 0.11047D-07  0  0  0.02270  272.73  267.42 0.17116D+15  2.171  139.760  139.184  123.386  155.535    3.22    3.22    3.22
    3.54    4.27 0.10045D-07  0  0  0.02276  272.70  267.52 0.16898D+15  2.171  127.056  126.480  110.677  142.833    3.54    3.54    3.54
    3.86    4.65 0.92095D-08  0  0  0.02281  272.66  267.61 0.16697D+15  2.172  116.468  115.893  100.086  132.248    3.86    3.86    3.86
    4.19    5.04 0.85028D-08  0  0  0.02286  272.63  267.69 0.16513D+15  2.172  107.510  106.934   91.123  123.292    4.19    4.19    4.19
    4.51    5.43 0.78971D-08  0  0  0.02291  272.59  267.77 0.16342D+15  2.172   99.831   99.256   83.439  115.616    4.51    4.51    4.51
