R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.0887 0.77537D-08  0  0    6.02    5.000  0.02299  272.54  268.38   72.156  107.247    5.00   274.17
 0.12270D-01   1.0362   0.0000    1.378   1.1074 0.39609D-08  0  0   12.04    9.988  0.02384  271.99  269.17   26.822   62.644    9.99   275.80
 0.14540D-01   1.0349   0.0000    1.761   1.1251 0.28236D-08  0  0   17.20   14.275  0.02462  271.51  269.52   12.928   49.437   14.27   277.43
 0.16810D-01   1.0336   0.0000    1.985   1.1417 0.24414D-08  0  0   20.22   16.779  0.02509  271.22  269.70    7.907   45.022   16.78   279.06
 0.19080D-01   1.0324   0.0000    2.160   1.1568 0.22678D-08  1  0   21.78   18.322  0.02539  271.04  269.83    6.251   43.884    9.80   280.68
 0.21350D-01   1.0311   0.0000    2.327   1.1703 0.21489D-08  1  0   23.32   19.577  0.02564  270.89  269.93    5.564   43.645    9.83   282.31
 0.23620D-01   1.0298   0.0000    2.481   1.1821 0.20626D-08  1  0   24.61   20.615  0.02585  270.76  270.02    5.001   43.474    9.86   283.93
 0.25890D-01   1.0285   0.0000    2.622   1.1919 0.19986D-08  1  0   25.67   21.464  0.02603  270.66  270.09    4.547   43.349    9.88   285.55
 0.28160D-01   1.0273   0.0000    2.752   1.1997 0.19499D-08  1  0   26.54   22.154  0.02617  270.58  270.14    4.189   43.251    9.89   287.16
 0.30430D-01   1.0260   0.0000    2.873   1.2054 0.19117D-08  1  0   27.24   22.711  0.02629  270.51  270.18    3.917   43.169    9.90   288.78
 0.32700D-01   1.0247   0.0000    2.988   1.2088 0.18804D-08  1  0   27.81   23.162  0.02638  270.46  270.20    3.725   43.093    9.91   290.39
 0.34970D-01   1.0234   0.0000    3.098   1.2100 0.18533D-08  1  0   28.27   23.529  0.02646  270.41  270.20    3.605   43.013    9.92   292.00
 0.37240D-01   1.0222   0.0000    3.203   1.2089 0.18282D-08  1  0   28.65   23.835  0.02653  270.37  270.19    3.551   42.923    9.94   293.61
 0.39510D-01   1.0209   0.0000    3.304   1.2055 0.18034D-08  1  0   28.97   24.099  0.02658  270.34  270.16    3.557   42.817    9.96   295.22
 0.41780D-01   1.0196   0.0000    3.402   1.1999 0.17775D-08  1  0   29.25   24.341  0.02664  270.31  270.12    3.617   42.691    9.99   296.82
 0.44050D-01   1.0184   0.0000    3.499   1.1922 0.17493D-08  1  0   29.53   24.577  0.02669  270.28  270.06    3.725   42.542   10.02   298.42
 0.46320D-01   1.0171   0.0000    3.593   1.1824 0.17181D-08  1  0   29.81   24.822  0.02674  270.25  269.98    3.876   42.368   10.06   300.02
 0.48590D-01   1.0159   0.0000    3.686   1.1707 0.16832D-08  1  0   30.11   25.089  0.02680  270.22  269.89    4.064   42.165   10.10   301.62
 0.50860D-01   1.0146   0.0000    3.778   1.1572 0.16444D-08  1  0   30.45   25.390  0.02686  270.18  269.79    4.281   41.934   10.15   303.22
 0.53130D-01   1.0134   0.0000    3.869   1.1421 0.16016D-08  1  0   30.85   25.734  0.02694  270.14  269.66    4.524   41.674   10.21   304.81
