R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.1417    0.848   1.2756 0.90850D-08  0  0    6.02    5.000  0.01145  272.75  268.63   69.201  110.415    5.00   274.61
 0.12270D-01   1.0362   0.1464    1.491   1.3179 0.49677D-08  0  0   11.42    9.474  0.01183  272.30  269.51   25.878   68.603    9.47   276.47
 0.14540D-01   1.0349   0.1509    1.888   1.3582 0.37051D-08  0  0   15.81   13.123  0.01215  271.93  270.02   11.923   56.080   13.12   278.33
 0.16810D-01   1.0336   0.1551    2.148   1.3961 0.32902D-08  1  0   18.07   15.211  0.01234  271.71  270.33    8.342   53.774    8.04   280.20
 0.19080D-01   1.0324   0.1590    2.379   1.4310 0.30494D-08  1  0   20.08   16.839  0.01250  271.54  270.60    6.901   53.486    8.07   282.08
 0.21350D-01   1.0311   0.1625    2.583   1.4624 0.29017D-08  1  0   21.65   18.098  0.01262  271.41  270.82    5.740   53.365    8.07   283.96
 0.23620D-01   1.0298   0.1655    2.765   1.4897 0.28123D-08  1  0   22.84   19.035  0.01271  271.31  271.00    4.812   53.347    8.07   285.84
 0.25890D-01   1.0285   0.1681    2.930   1.5128 0.27608D-08  1  0   23.71   19.698  0.01278  271.24  271.15    4.087   53.387    8.05   287.72
 0.28160D-01   1.0273   0.1701    3.082   1.5311 0.27339D-08  1  0   24.27   20.138  0.01282  271.19  271.26    3.545   53.455    8.04   289.61
 0.30430D-01   1.0260   0.1716    3.225   1.5444 0.27224D-08  1  0   24.59   20.403  0.01285  271.17  271.35    3.171   53.523    8.03   291.49
 0.32700D-01   1.0247   0.1725    3.359   1.5524 0.27189D-08  1  0   24.75   20.537  0.01286  271.15  271.40    2.953   53.575    8.02   293.38
 0.34970D-01   1.0234   0.1728    3.488   1.5552 0.27176D-08  1  0   24.81   20.584  0.01286  271.15  271.41    2.878   53.592    8.02   295.26
 0.37240D-01   1.0222   0.1725    3.612   1.5526 0.27131D-08  1  0   24.81   20.584  0.01286  271.15  271.40    2.934   53.561    8.02   297.14
 0.39510D-01   1.0209   0.1716    3.732   1.5446 0.27009D-08  1  0   24.79   20.571  0.01286  271.15  271.35    3.110   53.472    8.03   299.02
 0.41780D-01   1.0196   0.1702    3.849   1.5315 0.26770D-08  1  0   24.80   20.578  0.01286  271.15  271.27    3.390   53.316    8.06   300.89
 0.44050D-01   1.0184   0.1681    3.963   1.5133 0.26381D-08  1  0   24.87   20.634  0.01287  271.14  271.17    3.762   53.085    8.09   302.76
 0.46320D-01   1.0171   0.1656    4.076   1.4904 0.25821D-08  1  0   24.99   20.765  0.01288  271.13  271.03    4.211   52.773    8.14   304.62
 0.48590D-01   1.0159   0.1626    4.187   1.4631 0.25078D-08  1  0   25.22   20.991  0.01291  271.10  270.87    4.723   52.380    8.20   306.47
 0.50860D-01   1.0146   0.1591    4.296   1.4319 0.24154D-08  1  0   25.60   21.334  0.01294  271.07  270.69    5.284   51.902    8.27   308.32
 0.53130D-01   1.0134   0.1552    4.405   1.3971 0.23062D-08  1  0   26.14   21.808  0.01299  271.01  270.48    5.880   51.343    8.35   310.16
 0.55400D-01   1.0121   0.1510    4.512   1.3593 0.21827D-08  1  0   26.86   22.427  0.01305  270.95  270.25    6.500   50.705    8.45   311.99
 0.57670D-01   1.0109   0.1466    4.619   1.3190 0.20481D-08  1  0   27.77   23.203  0.01313  270.86  269.99    7.131   49.995    8.56   313.81
 0.59940D-01   1.0096   0.1419    4.725   1.2767 0.19064D-08  1  0   28.89   24.144  0.01323  270.76  269.71    7.764   49.220    8.69   315.62
 0.62210D-01   1.0084   0.1370    4.830   1.2330 0.17613D-08  1  0   30.21   25.257  0.01335  270.64  269.41    8.391   48.389    8.82   317.43
 0.64480D-01   1.0071   0.1321    4.935   1.1885 0.16168D-08  1  0   31.74   26.544  0.01349  270.50  269.09    9.002   47.513    8.97   319.22
 0.66750D-01   1.0059   0.1271    5.040   1.1437 0.14760D-08  1  0   33.49   28.005  0.01366  270.34  268.75    9.592   46.602    9.13   321.00
 0.69020D-01   1.0046   0.1221    5.144   1.0991 0.13416D-08  1  0   35.45   29.640  0.01384  270.16  268.38   10.156   45.667    9.30   322.77
 0.71290D-01   1.0034   0.1172    5.247   1.0551 0.12156D-08  1  0   37.61   31.442  0.01405  269.95  268.00   10.687   44.719    9.47   324.54
 0.73560D-01   1.0021   0.1125    5.350   1.0124 0.10992D-08  1  0   39.96   33.403  0.01429  269.73  267.60   11.181   43.769    9.65   326.29
 0.75830D-01   1.0009   0.1079    5.452   0.9711 0.99316D-09  1  0   42.49   35.512  0.01455  269.49  267.19   11.635   42.827    9.84   328.04
 0.78100D-01   0.9997   0.1035    5.553   0.9319 0.89763D-09  1  0   45.18   37.757  0.01484  269.23  266.76   12.044   41.901   10.02   329.77
 0.80370D-01   0.9984   0.0994    5.653   0.8948 0.81241D-09  1  0   48.02   40.121  0.01516  268.95  266.33   12.406   41.000   10.21   331.50
 0.82640D-01   0.9972   0.0956    5.752   0.8603 0.73703D-09  1  0   50.99   42.588  0.01550  268.66  265.89   12.718   40.130   10.40   333.22
 0.84910D-01   0.9960   0.0921    5.849   0.8286 0.67086D-09  1  0   54.05   45.139  0.01587  268.35  265.46   12.977   39.299   10.58   334.93
 0.87180D-01   0.9947   0.0889    5.945   0.7999 0.61318D-09  1  0   57.20   47.754  0.01627  268.02  265.02   13.181   38.511   10.76   336.64
 0.89450D-01   0.9935   0.0860    6.039   0.7744 0.56324D-09  1  0   60.39   50.414  0.01670  267.69  264.59   13.330   37.771   10.93   338.34
 0.91720D-01   0.9923   0.0836    6.131   0.7521 0.52030D-09  1  0   63.62   53.096  0.01715  267.35  264.18   13.420   37.084   11.09   340.03
 0.93990D-01   0.9911   0.0815    6.220   0.7332 0.48365D-09  1  0   66.85   55.779  0.01762  267.00  263.78   13.452   36.451   11.24   341.72
 0.96260D-01   0.9898   0.0797    6.307   0.7177 0.45265D-09  1  0   70.06   58.444  0.01812  266.65  263.40   13.425   35.877   11.37   343.40
 0.98530D-01   0.9886   0.0784    6.391   0.7057 0.42671D-09  1  0   73.22   61.068  0.01863  266.29  263.05   13.339   35.363   11.49   345.08
 0.10080D+00   0.9874   0.0775    6.472   0.6973 0.40532D-09  1  0   76.31   63.631  0.01916  265.94  262.72   13.192   34.912   11.60   346.76
 0.10307D+00   0.9862   0.0769    6.549   0.6925 0.38802D-09  1  0   79.30   66.113  0.01970  265.59  262.43   12.987   34.525   11.68   348.43
 0.10534D+00   0.9850   0.0768    6.623   0.6912 0.37443D-09  1  0   82.17   68.494  0.02024  265.25  262.18   12.722   34.204   11.75   350.10
 0.10761D+00   0.9838   0.0771    6.692   0.6936 0.36421D-09  1  0   84.90   70.757  0.02079  264.92  261.97   12.399   33.951   11.79   351.77
 0.10988D+00   0.9826   0.0777    6.758   0.6995 0.35709D-09  1  0   87.47   72.883  0.02132  264.60  261.81   12.018   33.765   11.82   353.44
 0.11215D+00   0.9813   0.0788    6.818   0.7090 0.35285D-09  1  0   89.86   74.854  0.02184  264.30  261.70   11.581   33.649   11.82   355.11
 0.11442D+00   0.9801   0.0802    6.874   0.7220 0.35129D-09  1  0   92.05   76.655  0.02234  264.02  261.63   11.088   33.603   11.80   356.78
 0.11669D+00   0.9789   0.0821    6.924   0.7385 0.35228D-09  1  0   94.01   78.270  0.02281  263.76  261.62   10.543   33.628   11.76   358.45
 0.11896D+00   0.9777   0.0843    6.969   0.7584 0.35569D-09  1  0   95.74   79.686  0.02323  263.54  261.66    9.946   33.724   11.70   360.12
 0.12123D+00   0.9765   0.0869    7.009   0.7817 0.36144D-09  1  0   97.22   80.888  0.02360  263.34  261.76    9.303   33.891   11.62   361.79
 0.12350D+00   0.9753   0.0898    7.042   0.8082 0.36948D-09  1  0   98.43   81.865  0.02391  263.18  261.91    8.615   34.129   11.52   363.47
 0.12577D+00   0.9741   0.0931    7.070   0.8378 0.37977D-09  1  0   99.37   82.606  0.02416  263.06  262.12    7.887   34.436   11.41   365.15
 0.12804D+00   0.9729   0.0967    7.093   0.8704 0.39230D-09  1  0  100.02   83.102  0.02432  262.98  262.38    7.124   34.810   11.27   366.83
 0.13031D+00   0.9717   0.1006    7.110   0.9057 0.40708D-09  1  0  100.39   83.345  0.02440  262.93  262.69    6.332   35.251   11.13   368.52
 0.13258D+00   0.9705   0.1048    7.121   0.9434 0.42412D-09  1  0  100.43   83.329  0.02439  262.94  263.05    5.517   35.753   10.97   370.21
 0.13485D+00   0.9693   0.1093    7.129   0.9833 0.44346D-09  1  0  100.09   83.050  0.02430  262.98  263.46    4.687   36.314   10.81   371.91
 0.13712D+00   0.9681   0.1139    7.132   1.0250 0.46517D-09  1  0   99.44   82.506  0.02412  263.08  263.90    3.850   36.929   10.64   373.61
 0.13939D+00   0.9670   0.1187    7.132   1.0682 0.48930D-09  1  0   98.46   81.696  0.02386  263.21  264.37    3.014   37.592   10.46   375.32
 0.14166D+00   0.9658   0.1236    7.129   1.1124 0.51596D-09  1  0   97.17   80.623  0.02352  263.39  264.87    2.188   38.296   10.29   377.04
 0.14393D+00   0.9646   0.1286    7.125   1.1571 0.54525D-09  1  0   95.56   79.292  0.02311  263.60  265.39    1.383   39.035   10.12   378.76
 0.14620D+00   0.9634   0.1335    7.120   1.2019 0.57728D-09  1  0   93.66   77.712  0.02265  263.85  265.93    0.608   39.801    9.95   380.48
 0.14847D+00   0.9622   0.1385    7.114   1.2462 0.61219D-09  1  0   91.46   75.892  0.02213  264.14  266.58    0.000   40.699    9.75   382.22
 0.15074D+00   0.9610   0.1433    7.109   1.2895 0.65012D-09  1  0   89.00   73.849  0.02158  264.45  267.18    0.000   42.113    9.56   383.95
