R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.4809 0.10548D-07  0  0    6.02    5.000  0.01145  272.75  268.69   65.833  113.776    5.00   274.38
 0.12270D-01   1.0362   0.0000    1.302   1.5917 0.64529D-08  0  0   10.61    8.806  0.01177  272.37  269.80   24.996   76.697    8.81   276.01
 0.14540D-01   1.0349   0.0000    1.639   1.6994 0.51500D-08  1  0   14.00   11.802  0.01203  272.06  270.59   10.366   65.708    6.61   277.64
 0.16810D-01   1.0336   0.0000    1.868   1.8021 0.47335D-08  1  0   16.28   13.633  0.01220  271.88  271.21    6.999   65.731    6.59   279.27
 0.19080D-01   1.0324   0.0000    2.054   1.8981 0.45972D-08  1  0   17.82   14.796  0.01230  271.76  271.74    4.286   66.192    6.54   280.89
 0.21350D-01   1.0311   0.0000    2.208   1.9855 0.46345D-08  1  0   18.51   15.358  0.01236  271.70  272.18    2.109   66.910    6.46   282.52
 0.23620D-01   1.0298   0.0000    2.340   2.0627 0.47947D-08  1  0   18.59   15.423  0.01236  271.69  272.54    0.413   67.766    6.38   284.14
 0.25890D-01   1.0285   0.0000    2.458   2.1281 0.50506D-08  1  0   18.20   15.102  0.01233  271.72  269.19   -2.950   66.604    6.98   285.76
 0.28160D-01   1.0273   0.0000    2.564   2.1804 0.54060D-08  1  0   17.42   14.451  0.01227  271.79  269.31   -3.868   67.411    6.91   287.37
 0.30430D-01   1.0260   0.0000    2.668   2.2187 0.58222D-08  0  0   16.44   13.646  0.01220  271.87  269.31   -3.618   68.902   13.65   288.99
 0.32700D-01   1.0247   0.0000    2.772   2.2420 0.62675D-08  0  0   15.43   12.803  0.01212  271.96  269.19   -1.803   71.446   12.80   290.60
 0.34970D-01   1.0234   0.0000    2.884   2.2500 0.66147D-08  0  0   14.66   12.169  0.01206  272.03  269.04   -0.081   73.399   12.17   292.21
 0.37240D-01   1.0222   0.0000    3.001   2.2424 0.67934D-08  0  0   14.23   11.806  0.01203  272.06  268.89    1.192   74.407   11.81   293.82
 0.39510D-01   1.0209   0.0000    3.116   2.2195 0.68287D-08  0  0   14.01   11.624  0.01201  272.08  268.72    2.176   74.627   11.62   295.43
 0.41780D-01   1.0196   0.0000    3.227   2.1816 0.67426D-08  0  0   13.94   11.571  0.01201  272.09  272.73    2.979   74.181   11.57   297.03
 0.44050D-01   1.0184   0.0000    3.335   2.1296 0.65540D-08  0  0   14.00   11.621  0.01201  272.08  272.52    3.669   73.163   11.62   298.63
 0.46320D-01   1.0171   0.0000    3.441   2.0645 0.62797D-08  0  0   14.17   11.759  0.01203  272.07  272.25    4.283   71.642   11.76   300.24
 0.48590D-01   1.0159   0.0000    3.543   1.9877 0.59357D-08  0  0   14.43   11.979  0.01205  272.05  271.93    4.841   69.679   11.98   301.83
 0.50860D-01   1.0146   0.0000    3.643   1.9005 0.55385D-08  1  0   14.67   12.277  0.01207  272.02  271.56    5.740   67.716    6.41   303.43
 0.53130D-01   1.0134   0.0000    3.749   1.8048 0.50392D-08  1  0   15.28   12.818  0.01212  271.96  271.16    7.442   66.259    6.55   305.03
 0.55400D-01   1.0121   0.0000    3.863   1.7022 0.44436D-08  1  0   16.34   13.718  0.01220  271.87  270.74    9.083   64.513    6.72   306.62
 0.57670D-01   1.0109   0.0000    3.983   1.5946 0.38073D-08  1  0   17.88   15.011  0.01232  271.73  270.27   10.646   62.519    6.92   308.21
 0.59940D-01   1.0096   0.0000    4.109   1.4839 0.31815D-08  1  0   19.94   16.735  0.01249  271.55  269.75   12.124   60.326    7.16   309.80
 0.62210D-01   1.0084   0.0000    4.241   1.3719 0.26051D-08  1  0   22.56   18.922  0.01270  271.32  269.18   13.514   57.991    7.42   311.39
 0.64480D-01   1.0071   0.0000    4.379   1.2602 0.21009D-08  1  0   25.76   21.591  0.01297  271.04  268.54   14.822   55.571    7.72   312.97
 0.66750D-01   1.0059   0.0000    4.524   1.1506 0.16769D-08  1  0   29.54   24.748  0.01330  270.70  267.82   16.047   53.119    8.04   314.55
 0.69020D-01   1.0046   0.0000    4.673   1.0445 0.13305D-08  1  0   33.90   28.378  0.01370  270.30  267.03   17.190   50.680    8.39   316.13
