R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.75000D+11 0.18666D-10 0.10000D+14   0.0150  0  157.862  0.32100  176.85  184.08    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.11220D+14   0.0150  0  157.862  0.32100  176.85  184.33    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.12589D+14   0.0150  0  157.862  0.32100  176.85  184.59    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.14125D+14   0.0150  0  157.862  0.32100  176.85  184.85    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.15849D+14   0.0150  0  157.862  0.32100  176.85  185.11    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.17783D+14   0.0150  0  157.862  0.32100  176.85  185.38    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.19953D+14   0.0150  0  157.862  0.32100  176.85  185.65    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.22387D+14   0.0150  0  157.862  0.32100  176.85  185.92    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.25119D+14   0.0150  0  157.862  0.32100  176.85  186.20    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.28184D+14   0.0150  0  157.862  0.32100  176.85  186.47    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.31623D+14   0.0150  0  157.862  0.32100  176.85  186.75    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.35481D+14   0.0150  0  157.862  0.32100  176.85  187.04    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.39811D+14   0.0150  0  157.862  0.32100  176.85  187.32    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.44668D+14   0.0150  0  157.862  0.32100  176.85  187.61    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.50119D+14   0.0150  0  157.862  0.32100  176.85  187.90    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.56234D+14   0.0150  0  157.862  0.32100  176.85  188.20    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.63096D+14   0.0150  0  157.862  0.32100  176.85  188.49    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.70795D+14   0.0150  0  157.862  0.32100  176.85  188.79    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.79433D+14   0.0150  0  157.862  0.32100  176.85  189.10    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.89125D+14   0.0150  0  157.862  0.32100  176.85  189.40    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.10000D+15   0.0150  0  157.862  0.32100  176.85  189.71    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.11220D+15   0.0150  0  157.862  0.32100  176.85  190.02    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.12589D+15   0.0150  0  157.862  0.32100  176.85  190.33    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.14125D+15   0.0150  0  157.862  0.32100  176.85  190.65    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.15849D+15   0.0150  0  157.862  0.32100  176.85  190.97    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.17783D+15   0.0150  0  157.862  0.32100  176.85  191.29    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.19953D+15   0.0150  0  157.862  0.32100  176.85  191.62    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.22387D+15   0.0150  0  157.862  0.32100  176.85  191.94    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.25119D+15   0.0150  0  157.862  0.32100  176.85  192.27    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.28184D+15   0.0150  0  157.862  0.32100  176.85  192.61    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.31623D+15   0.0150  0  157.862  0.32100  176.85  192.94    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.35481D+15   0.0150  0  157.862  0.32100  176.85  193.28    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.39811D+15   0.0150  0  157.862  0.32100  176.85  193.62    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.44668D+15   0.0150  0  157.862  0.32100  176.85  193.97    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.50119D+15   0.0150  0  157.862  0.32100  176.85  194.31    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.56234D+15   0.0150  0  157.862  0.32100  176.85  194.66    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.63096D+15   0.0150  0  157.862  0.32100  176.85  195.01    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.70795D+15   0.0150  0  157.862  0.32100  176.85  195.37    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.79433D+15   0.0150  0  157.862  0.32100  176.85  195.73    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.89125D+15   0.0150  0  157.862  0.32100  176.85  196.09    0.000    2.449  157.86
 0.75000D+11 0.18666D-10 0.10000D+16   0.0150  0  157.862  0.32100  176.85  196.45    0.000    2.449  157.86
 0.90000D+11 0.22988D-10 0.10000D+14   0.0150  0  153.340  0.28425  189.50  191.69    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.11220D+14   0.0150  0  153.340  0.28425  189.50  191.91    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.12589D+14   0.0150  0  153.340  0.28425  189.50  192.12    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.14125D+14   0.0150  0  153.340  0.28425  189.50  192.34    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.15849D+14   0.0150  0  153.340  0.28425  189.50  192.56    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.17783D+14   0.0150  0  153.340  0.28425  189.50  192.79    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.19953D+14   0.0150  0  153.340  0.28425  189.50  193.01    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.22387D+14   0.0150  0  153.340  0.28425  189.50  193.25    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.25119D+14   0.0150  0  153.340  0.28425  189.50  193.48    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.28184D+14   0.0150  0  153.340  0.28425  189.50  193.72    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.31623D+14   0.0150  0  153.340  0.28425  189.50  193.96    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.35481D+14   0.0150  0  153.340  0.28425  189.50  194.21    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.39811D+14   0.0150  0  153.340  0.28425  189.50  194.45    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.44668D+14   0.0150  0  153.340  0.28425  189.50  194.70    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.50119D+14   0.0150  0  153.340  0.28425  189.50  194.96    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.56234D+14   0.0150  0  153.340  0.28425  189.50  195.22    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.63096D+14   0.0150  0  153.340  0.28425  189.50  195.48    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.70795D+14   0.0150  0  153.340  0.28425  189.50  195.74    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.79433D+14   0.0150  0  153.340  0.28425  189.50  196.01    0.000    2.939  153.34
