R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.26600D-09 0.54000D+12 0.10000D+16   0.0150  1   75.670  0.02207  264.17  265.35    0.235   17.848   22.26
 0.27120D-09 0.55500D+12 0.89125D+15   0.0150  1   76.314  0.02225  264.07  265.28    0.266   18.365   21.61
 0.31587D-09 0.55500D+12 0.10000D+16   0.0150  1   65.044  0.01946  265.74  266.57    0.548   18.628   21.69
 0.27414D-09 0.57000D+12 0.79433D+15   0.0150  1   77.602  0.02261  263.87  265.13    0.265   18.854   21.01
 0.32136D-09 0.57000D+12 0.89125D+15   0.0150  1   65.688  0.01960  265.65  266.50    0.598   19.164   21.06
 0.36433D-09 0.57000D+12 0.10000D+16   0.0150  1   57.638  0.01796  266.75  267.40    0.679   19.245   21.22
 0.27592D-09 0.58500D+12 0.70795D+15   0.0150  1   79.212  0.02309  263.61  264.94    0.251   19.331   20.43
 0.32524D-09 0.58500D+12 0.79433D+15   0.0150  1   66.654  0.01982  265.51  266.39    0.639   19.690   20.47
 0.36994D-09 0.58500D+12 0.89125D+15   0.0150  1   58.282  0.01808  266.67  267.32    0.742   19.792   20.62
 0.41667D-09 0.58500D+12 0.10000D+16   0.0150  1   51.520  0.01688  267.55  268.06    0.750   19.806   20.81
 0.27557D-09 0.60000D+12 0.63096D+15   0.0150  1   81.466  0.02379  263.25  264.67    0.198   19.772   19.90
 0.32753D-09 0.60000D+12 0.70795D+15   0.0150  1   67.942  0.02011  265.33  266.25    0.669   20.206   19.90
 0.37348D-09 0.60000D+12 0.79433D+15   0.0150  1   59.248  0.01827  266.54  267.22    0.795   20.331   20.04
 0.41975D-09 0.60000D+12 0.89125D+15   0.0150  1   52.486  0.01704  267.43  267.96    0.801   20.343   20.23
 0.47009D-09 0.60000D+12 0.10000D+16   0.0150  1   46.690  0.01611  268.16  268.58    0.757   20.307   20.43
 0.27229D-09 0.61500D+12 0.56234D+15   0.0150  1   84.686  0.02486  262.71  264.28    0.077   20.153   19.42
 0.32975D-09 0.61500D+12 0.63096D+15   0.0150  1   69.230  0.02041  265.14  266.09    0.708   20.731   19.36
 0.37691D-09 0.61500D+12 0.70795D+15   0.0150  1   60.214  0.01846  266.41  267.11    0.860   20.879   19.49
 0.42273D-09 0.61500D+12 0.79433D+15   0.0150  1   53.452  0.01721  267.30  267.86    0.863   20.889   19.67
 0.47548D-09 0.61500D+12 0.89125D+15   0.0150  1   47.334  0.01621  268.08  268.51    0.838   20.872   19.86
 0.53178D-09 0.61500D+12 0.10000D+16   0.0150  1   42.182  0.01545  268.70  269.05    0.764   20.808   20.06
 0.32903D-09 0.63000D+12 0.56234D+15   0.0150  1   71.162  0.02089  264.86  265.88    0.712   21.223   18.86
 0.37833D-09 0.63000D+12 0.63096D+15   0.0150  1   61.502  0.01872  266.23  266.96    0.912   21.416   18.96
 0.42562D-09 0.63000D+12 0.70795D+15   0.0150  1   54.418  0.01738  267.18  267.75    0.937   21.447   19.13
 0.47764D-09 0.63000D+12 0.79433D+15   0.0150  1   48.300  0.01636  267.96  268.41    0.907   21.426   19.32
 0.53289D-09 0.63000D+12 0.89125D+15   0.0150  1   43.148  0.01558  268.59  268.96    0.827   21.356   19.52
 0.57019D-09 0.63000D+12 0.10000D+16   0.0150  1   40.250  0.01518  268.94  269.36    0.586   21.130   19.81
 0.32700D-09 0.64500D+12 0.50119D+15   0.0150  1   73.416  0.02146  264.52  265.62    0.699   21.699   18.38
 0.37785D-09 0.64500D+12 0.56234D+15   0.0150  1   63.112  0.01905  266.01  266.79    0.952   21.941   18.47
 0.42603D-09 0.64500D+12 0.63096D+15   0.0150  1   55.706  0.01761  267.01  267.61    0.998   21.992   18.62
 0.47972D-09 0.64500D+12 0.70795D+15   0.0150  1   49.266  0.01651  267.84  268.30    0.988   21.991   18.80
 0.53396D-09 0.64500D+12 0.79433D+15   0.0150  1   44.114  0.01572  268.47  268.86    0.901   21.915   19.00
 0.59774D-09 0.64500D+12 0.89125D+15   0.0150  1   39.284  0.01505  269.05  269.36    0.812   21.836   19.19
