R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.00000D+00 0.10000D+14   0.0150  148.796  148.589  148.995
 0.00000D+00 0.11220D+14   0.0150  148.640  148.426  148.847
 0.00000D+00 0.12589D+14   0.0150  148.479  148.256  148.694
 0.00000D+00 0.14125D+14   0.0150  148.311  148.080  148.535
 0.00000D+00 0.15849D+14   0.0150  148.137  147.896  148.369
 0.00000D+00 0.17783D+14   0.0150  147.956  147.705  148.197
 0.00000D+00 0.19953D+14   0.0150  147.767  147.506  148.019
 0.00000D+00 0.22387D+14   0.0150  147.571  147.298  147.832
 0.00000D+00 0.25119D+14   0.0150  147.366  147.082  147.639
 0.00000D+00 0.28184D+14   0.0150  147.152  146.855  147.437
 0.00000D+00 0.31623D+14   0.0150  146.928  146.618  147.226
 0.00000D+00 0.35481D+14   0.0150  146.694  146.369  147.005
 0.00000D+00 0.39811D+14   0.0150  146.449  146.109  146.775
 0.00000D+00 0.44668D+14   0.0150  146.193  145.836  146.534
 0.00000D+00 0.50119D+14   0.0150  145.923  145.548  146.281
 0.00000D+00 0.56234D+14   0.0150  145.640  145.246  146.016
 0.00000D+00 0.63096D+14   0.0150  145.342  144.928  145.738
 0.00000D+00 0.70795D+14   0.0150  145.029  144.592  145.445
 0.00000D+00 0.79433D+14   0.0150  144.698  144.237  145.137
 0.00000D+00 0.89125D+14   0.0150  144.349  143.861  144.813
 0.00000D+00 0.10000D+15   0.0150  143.980  143.463  144.470
 0.00000D+00 0.11220D+15   0.0150  143.588  143.040  144.108
 0.00000D+00 0.12589D+15   0.0150  143.173  142.591  143.724
 0.00000D+00 0.14125D+15   0.0150  142.732  142.112  143.317
 0.00000D+00 0.15849D+15   0.0150  142.262  141.601  142.885
 0.00000D+00 0.17783D+15   0.0150  141.760  141.055  142.425
 0.00000D+00 0.19953D+15   0.0150  141.224  140.469  141.934
 0.00000D+00 0.22387D+15   0.0150  140.650  139.840  141.410
 0.00000D+00 0.25119D+15   0.0150  140.033  139.162  140.849
 0.00000D+00 0.28184D+15   0.0150  139.370  138.431  140.247
 0.00000D+00 0.31623D+15   0.0150  138.654  137.640  139.600
 0.00000D+00 0.35481D+15   0.0150  137.880  136.781  138.903
 0.00000D+00 0.39811D+15   0.0150  137.041  135.847  138.149
 0.00000D+00 0.44668D+15   0.0150  136.128  134.828  137.332
 0.00000D+00 0.50119D+15   0.0150  135.132  133.712  136.445
 0.00000D+00 0.56234D+15   0.0150  134.044  132.488  135.478
 0.00000D+00 0.63096D+15   0.0150  132.849  131.139  134.422
 0.00000D+00 0.70795D+15   0.0150  131.534  129.650  133.264
 0.00000D+00 0.79433D+15   0.0150  130.084  128.001  131.991
 0.00000D+00 0.89125D+15   0.0150  128.478  126.170  130.587
 0.00000D+00 0.10000D+16   0.0150  126.695  124.132  129.034
 0.15000D+11 0.10000D+14   0.0150  148.599  148.399  148.787
 0.15000D+11 0.11220D+14   0.0150  148.440  148.232  148.634
 0.15000D+11 0.12589D+14   0.0150  148.275  148.058  148.476
 0.15000D+11 0.14125D+14   0.0150  148.104  147.878  148.312
 0.15000D+11 0.15849D+14   0.0150  147.925  147.690  148.142
 0.15000D+11 0.17783D+14   0.0150  147.740  147.495  147.965
 0.15000D+11 0.19953D+14   0.0150  147.546  147.291  147.781
 0.15000D+11 0.22387D+14   0.0150  147.345  147.079  147.589
 0.15000D+11 0.25119D+14   0.0150  147.135  146.857  147.390
 0.15000D+11 0.28184D+14   0.0150  146.916  146.625  147.181
 0.15000D+11 0.31623D+14   0.0150  146.687  146.383  146.964
 0.15000D+11 0.35481D+14   0.0150  146.448  146.129  146.737
 0.15000D+11 0.39811D+14   0.0150  146.197  145.862  146.500
 0.15000D+11 0.44668D+14   0.0150  145.934  145.583  146.251
 0.15000D+11 0.50119D+14   0.0150  145.659  145.289  145.991
 0.15000D+11 0.56234D+14   0.0150  145.369  144.980  145.717
 0.15000D+11 0.63096D+14   0.0150  145.065  144.654  145.430
 0.15000D+11 0.70795D+14   0.0150  144.744  144.310  145.128
 0.15000D+11 0.79433D+14   0.0150  144.406  143.947  144.811
 0.15000D+11 0.89125D+14   0.0150  144.048  143.563  144.476
 0.15000D+11 0.10000D+15   0.0150  143.671  143.156  144.122
 0.15000D+11 0.11220D+15   0.0150  143.271  142.723  143.748
 0.15000D+11 0.12589D+15   0.0150  142.846  142.264  143.352
 0.15000D+11 0.14125D+15   0.0150  142.395  141.774  142.932
 0.15000D+11 0.15849D+15   0.0150  141.915  141.252  142.486
 0.15000D+11 0.17783D+15   0.0150  141.404  140.693  142.012
 0.15000D+11 0.19953D+15   0.0150  140.856  140.095  141.505
 0.15000D+11 0.22387D+15   0.0150  140.271  139.453  140.965
 0.15000D+11 0.25119D+15   0.0150  139.642  138.761  140.387
 0.15000D+11 0.28184D+15   0.0150  138.966  138.015  139.766
 0.15000D+11 0.31623D+15   0.0150  138.237  137.209  139.100
 0.15000D+11 0.35481D+15   0.0150  137.450  136.335  138.381
 0.15000D+11 0.39811D+15   0.0150  136.597  135.385  137.606
 0.15000D+11 0.44668D+15   0.0150  135.670  134.350  136.766
 0.15000D+11 0.50119D+15   0.0150  134.661  133.220  135.855
 0.15000D+11 0.56234D+15   0.0150  133.558  131.981  134.864
 0.15000D+11 0.63096D+15   0.0150  132.350  130.620  133.783
 0.15000D+11 0.70795D+15   0.0150  131.023  129.120  132.599
 0.15000D+11 0.79433D+15   0.0150  129.562  127.464  131.301
 0.15000D+11 0.89125D+15   0.0150  127.948  125.632  129.872
 0.15000D+11 0.10000D+16   0.0150  126.162  123.599  128.296
 0.30000D+11 0.10000D+14   0.0150  148.420  148.222  148.607
 0.30000D+11 0.11220D+14   0.0150  148.254  148.048  148.448
 0.30000D+11 0.12589D+14   0.0150  148.082  147.867  148.283
 0.30000D+11 0.14125D+14   0.0150  147.902  147.678  148.111
 0.30000D+11 0.15849D+14   0.0150  147.716  147.482  147.933
 0.30000D+11 0.17783D+14   0.0150  147.522  147.278  147.748
 0.30000D+11 0.19953D+14   0.0150  147.319  147.064  147.555
 0.30000D+11 0.22387D+14   0.0150  147.108  146.842  147.354
 0.30000D+11 0.25119D+14   0.0150  146.888  146.609  147.144
 0.30000D+11 0.28184D+14   0.0150  146.658  146.365  146.925
 0.30000D+11 0.31623D+14   0.0150  146.417  146.109  146.696
 0.30000D+11 0.35481D+14   0.0150  146.165  145.841  146.457
 0.30000D+11 0.39811D+14   0.0150  145.900  145.560  146.207
 0.30000D+11 0.44668D+14   0.0150  145.623  145.265  145.944
 0.30000D+11 0.50119D+14   0.0150  145.331  144.953  145.669
 0.30000D+11 0.56234D+14   0.0150  145.025  144.625  145.379
 0.30000D+11 0.63096D+14   0.0150  144.702  144.279  145.075
 0.30000D+11 0.70795D+14   0.0150  144.361  143.913  144.754
 0.30000D+11 0.79433D+14   0.0150  144.001  143.526  144.416
 0.30000D+11 0.89125D+14   0.0150  143.621  143.115  144.059
 0.30000D+11 0.10000D+15   0.0150  143.218  142.679  143.681
 0.30000D+11 0.11220D+15   0.0150  142.790  142.216  143.281
 0.30000D+11 0.12589D+15   0.0150  142.335  141.721  142.856
 0.30000D+11 0.14125D+15   0.0150  141.851  141.194  142.405
 0.30000D+11 0.15849D+15   0.0150  141.334  140.629  141.924
 0.30000D+11 0.17783D+15   0.0150  140.782  140.024  141.411
 0.30000D+11 0.19953D+15   0.0150  140.191  139.374  140.863
