R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.00000D+00 0.10000D+14   0.0150   40.208   38.865   41.577
 0.00000D+00 0.11220D+14   0.0150   40.409   39.060   41.784
 0.00000D+00 0.12589D+14   0.0150   40.611   39.256   41.992
 0.00000D+00 0.14125D+14   0.0150   40.814   39.453   42.201
 0.00000D+00 0.15849D+14   0.0150   41.018   39.650   42.412
 0.00000D+00 0.17783D+14   0.0150   41.223   39.849   42.623
 0.00000D+00 0.19953D+14   0.0150   41.429   40.049   42.835
 0.00000D+00 0.22387D+14   0.0150   41.636   40.250   43.049
 0.00000D+00 0.25119D+14   0.0150   41.844   40.452   43.264
 0.00000D+00 0.28184D+14   0.0150   42.053   40.655   43.479
 0.00000D+00 0.31623D+14   0.0150   42.264   40.859   43.696
 0.00000D+00 0.35481D+14   0.0150   42.475   41.064   43.914
 0.00000D+00 0.39811D+14   0.0150   42.688   41.270   44.133
 0.00000D+00 0.44668D+14   0.0150   42.901   41.478   44.353
 0.00000D+00 0.50119D+14   0.0150   43.116   41.686   44.574
 0.00000D+00 0.56234D+14   0.0150   43.332   41.896   44.797
 0.00000D+00 0.63096D+14   0.0150   43.549   42.107   45.021
 0.00000D+00 0.70795D+14   0.0150   43.768   42.319   45.245
 0.00000D+00 0.79433D+14   0.0150   43.987   42.532   45.471
 0.00000D+00 0.89125D+14   0.0150   44.208   42.747   45.699
 0.00000D+00 0.10000D+15   0.0150   44.430   42.962   45.927
 0.00000D+00 0.11220D+15   0.0150   44.653   43.179   46.157
 0.00000D+00 0.12589D+15   0.0150   44.878   43.397   46.388
 0.00000D+00 0.14125D+15   0.0150   45.104   43.617   46.620
 0.00000D+00 0.15849D+15   0.0150   45.331   43.838   46.854
 0.00000D+00 0.17783D+15   0.0150   45.559   44.060   47.088
 0.00000D+00 0.19953D+15   0.0150   45.789   44.283   47.325
 0.00000D+00 0.22387D+15   0.0150   46.019   44.508   47.562
 0.00000D+00 0.25119D+15   0.0150   46.252   44.734   47.801
 0.00000D+00 0.28184D+15   0.0150   46.485   44.961   48.041
 0.00000D+00 0.31623D+15   0.0150   46.720   45.190   48.282
 0.00000D+00 0.35481D+15   0.0150   46.956   45.420   48.524
 0.00000D+00 0.39811D+15   0.0150   47.194   45.651   48.768
 0.00000D+00 0.44668D+15   0.0150   47.432   45.883   49.013
 0.00000D+00 0.50119D+15   0.0150   47.672   46.117   49.259
 0.00000D+00 0.56234D+15   0.0150   47.913   46.353   49.507
 0.00000D+00 0.63096D+15   0.0150   48.156   46.589   49.755
 0.00000D+00 0.70795D+15   0.0150   48.399   46.827   50.005
 0.00000D+00 0.79433D+15   0.0150   48.644   47.066   50.256
 0.00000D+00 0.89125D+15   0.0150   48.890   47.306   50.508
 0.00000D+00 0.10000D+16   0.0150   49.138   47.548   50.761
 0.15000D+11 0.10000D+14   0.0150   40.165   38.898   41.447
 0.15000D+11 0.11220D+14   0.0150   40.372   39.100   41.660
 0.15000D+11 0.12589D+14   0.0150   40.580   39.303   41.874
 0.15000D+11 0.14125D+14   0.0150   40.790   39.507   42.089
 0.15000D+11 0.15849D+14   0.0150   41.001   39.713   42.305
 0.15000D+11 0.17783D+14   0.0150   41.213   39.920   42.523
 0.15000D+11 0.19953D+14   0.0150   41.426   40.129   42.742
 0.15000D+11 0.22387D+14   0.0150   41.642   40.339   42.963
 0.15000D+11 0.25119D+14   0.0150   41.858   40.551   43.185
 0.15000D+11 0.28184D+14   0.0150   42.076   40.764   43.408
 0.15000D+11 0.31623D+14   0.0150   42.296   40.979   43.633
 0.15000D+11 0.35481D+14   0.0150   42.517   41.195   43.859
 0.15000D+11 0.39811D+14   0.0150   42.739   41.414   44.087
 0.15000D+11 0.44668D+14   0.0150   42.964   41.634   44.317
 0.15000D+11 0.50119D+14   0.0150   43.190   41.856   44.548
 0.15000D+11 0.56234D+14   0.0150   43.417   42.079   44.780
 0.15000D+11 0.63096D+14   0.0150   43.647   42.305   45.014
 0.15000D+11 0.70795D+14   0.0150   43.878   42.533   45.250
 0.15000D+11 0.79433D+14   0.0150   44.111   42.763   45.488
 0.15000D+11 0.89125D+14   0.0150   44.346   42.995   45.727
 0.15000D+11 0.10000D+15   0.0150   44.584   43.229   45.968
 0.15000D+11 0.11220D+15   0.0150   44.823   43.466   46.211
 0.15000D+11 0.12589D+15   0.0150   45.064   43.705   46.456
 0.15000D+11 0.14125D+15   0.0150   45.308   43.947   46.703
 0.15000D+11 0.15849D+15   0.0150   45.554   44.192   46.952
 0.15000D+11 0.17783D+15   0.0150   45.803   44.439   47.204
 0.15000D+11 0.19953D+15   0.0150   46.054   44.689   47.457
 0.15000D+11 0.22387D+15   0.0150   46.307   44.943   47.712
 0.15000D+11 0.25119D+15   0.0150   46.564   45.199   47.970
 0.15000D+11 0.28184D+15   0.0150   46.824   45.459   48.230
