R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+14   0.0150  1  177.74  148.995  0.17423  222.66  213.61  255.38    7.779    6.365   41.58  1498.81
 0.00000D+00 0.11220D+14   0.0150  1  177.55  148.847  0.17196  223.27  214.18  255.40    7.776    6.364   41.78  1498.89
 0.00000D+00 0.12589D+14   0.0150  1  177.36  148.694  0.16966  223.89  214.75  255.43    7.773    6.363   41.99  1498.98
 0.00000D+00 0.14125D+14   0.0150  1  177.16  148.535  0.16734  224.50  215.32  255.45    7.770    6.362   42.20  1499.07
 0.00000D+00 0.15849D+14   0.0150  1  176.95  148.369  0.16500  225.13  215.89  255.48    7.767    6.361   42.41  1499.16
 0.00000D+00 0.17783D+14   0.0150  1  176.73  148.197  0.16263  225.75  216.47  255.50    7.764    6.360   42.62  1499.25
 0.00000D+00 0.19953D+14   0.0150  1  176.50  148.019  0.16024  226.38  217.05  255.53    7.761    6.359   42.84  1499.34
 0.00000D+00 0.22387D+14   0.0150  1  176.27  147.832  0.15782  227.01  217.63  255.56    7.758    6.358   43.05  1499.43
 0.00000D+00 0.25119D+14   0.0150  1  176.03  147.639  0.15538  227.65  218.22  255.59    7.754    6.357   43.26  1499.52
 0.00000D+00 0.28184D+14   0.0150  1  175.77  147.437  0.15292  228.28  218.81  255.62    7.751    6.356   43.48  1499.61
 0.00000D+00 0.31623D+14   0.0150  1  175.51  147.226  0.15042  228.93  219.40  255.66    7.747    6.355   43.70  1499.71
 0.00000D+00 0.35481D+14   0.0150  1  175.23  147.005  0.14790  229.57  220.00  255.69    7.744    6.354   43.91  1499.80
 0.00000D+00 0.39811D+14   0.0150  1  174.94  146.775  0.14536  230.22  220.60  255.73    7.740    6.353   44.13  1499.89
 0.00000D+00 0.44668D+14   0.0150  1  174.64  146.534  0.14278  230.88  221.20  255.77    7.736    6.352   44.35  1499.99
 0.00000D+00 0.50119D+14   0.0150  1  174.32  146.281  0.14018  231.54  221.81  255.81    7.732    6.351   44.57  1500.08
 0.00000D+00 0.56234D+14   0.0150  1  173.99  146.016  0.13755  232.20  222.42  255.85    7.728    6.350   44.80  1500.18
 0.00000D+00 0.63096D+14   0.0150  1  173.65  145.738  0.13489  232.87  223.04  255.89    7.724    6.349   45.02  1500.27
 0.00000D+00 0.70795D+14   0.0150  1  173.28  145.445  0.13221  233.54  223.66  255.94    7.720    6.349   45.25  1500.37
 0.00000D+00 0.79433D+14   0.0150  1  172.90  145.137  0.12949  234.21  224.28  255.98    7.716    6.348   45.47  1500.46
 0.00000D+00 0.89125D+14   0.0150  1  172.49  144.813  0.12674  234.89  224.91  256.03    7.711    6.347   45.70  1500.56
 0.00000D+00 0.10000D+15   0.0150  1  172.07  144.470  0.12396  235.58  225.54  256.09    7.707    6.346   45.93  1500.66
 0.00000D+00 0.11220D+15   0.0150  1  171.62  144.108  0.12116  236.26  226.18  256.14    7.702    6.346   46.16  1500.76
 0.00000D+00 0.12589D+15   0.0150  1  171.15  143.724  0.11832  236.96  226.82  256.20    7.697    6.345   46.39  1500.86
 0.00000D+00 0.14125D+15   0.0150  1  170.64  143.317  0.11544  237.66  227.46  256.27    7.692    6.345   46.62  1500.96
 0.00000D+00 0.15849D+15   0.0150  1  170.11  142.885  0.11254  238.36  228.11  256.33    7.687    6.344   46.85  1501.06
 0.00000D+00 0.17783D+15   0.0150  1  169.54  142.425  0.10961  239.07  228.77  256.40    7.682    6.344   47.09  1501.16
 0.00000D+00 0.19953D+15   0.0150  1  168.94  141.934  0.10664  239.79  229.43  256.48    7.676    6.343   47.32  1501.27
 0.00000D+00 0.22387D+15   0.0150  1  168.30  141.410  0.10364  240.51  230.10  256.56    7.670    6.343   47.56  1501.37
 0.00000D+00 0.25119D+15   0.0150  1  167.61  140.849  0.10061  241.24  230.77  256.64    7.664    6.343   47.80  1501.48
 0.00000D+00 0.28184D+15   0.0150  1  166.87  140.247  0.09754  241.97  231.45  256.74    7.657    6.343   48.04  1501.58
