R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.75000D+11 0.18666D-10 0.10000D+15   0.0150  0  157.862  0.32100  176.85  189.71    0.000    2.449  157.86
 0.90000D+11 0.22988D-10 0.10000D+15   0.0150  0  153.340  0.28425  189.50  196.56    0.000    2.939  153.34
 0.10500D+12 0.27023D-10 0.10000D+15   0.0150  0  152.087  0.24056  203.54  204.92   -0.000    3.429  152.09
 0.12000D+12 0.31180D-10 0.10000D+15   0.0150  0  150.531  0.20195  214.98  214.35    0.000    3.919  107.96
 0.13500D+12 0.35145D-10 0.10000D+15   0.0150  0  150.060  0.19253  217.64  218.21   -0.000    4.409   63.50
 0.15000D+12 0.39201D-10 0.10000D+15   0.0150  1  149.572  0.18373  220.08  219.27   -0.000    4.899   58.73
 0.16500D+12 0.43205D-10 0.10000D+15   0.0150  1  149.228  0.17797  221.65  221.20   -0.000    5.389   53.80
 0.18000D+12 0.47225D-10 0.10000D+15   0.0150  1  148.884  0.17254  223.12  223.01   -0.000    5.878   49.64
 0.19500D+12 0.51260D-10 0.10000D+15   0.0150  1  148.536  0.16738  224.49  224.72   -0.000    6.368   46.04
 0.21000D+12 0.55311D-10 0.10000D+15   0.0150  1  148.182  0.16244  225.80  226.36   -0.000    6.858   42.87
 0.22500D+12 0.59378D-10 0.10000D+15   0.0150  1  147.819  0.15766  227.05  227.97   -0.000    7.348   40.02
 0.24000D+12 0.63586D-10 0.10000D+15   0.0150  1  147.400  0.15250  228.39  227.98   -0.000    7.838   39.92
 0.25500D+12 0.67694D-10 0.10000D+15   0.0150  1  147.047  0.14839  229.45  229.40    0.000    8.328   37.63
 0.27000D+12 0.71817D-10 0.10000D+15   0.0150  1  146.675  0.14430  230.49  230.86   -0.000    8.818   35.43
 0.28500D+12 0.75958D-10 0.10000D+15   0.0150  1  146.263  0.14001  231.58  232.51   -0.000    9.307   33.16
 0.30000D+12 0.80274D-10 0.10000D+15   0.0150  1  145.866  0.13610  232.56  232.36    0.000    9.797   33.79
 0.31500D+12 0.84457D-10 0.10000D+15   0.0150  1  145.544  0.13310  233.31  233.36   -0.000   10.287   32.41
 0.33000D+12 0.88656D-10 0.10000D+15   0.0150  1  145.222  0.13022  234.03  234.31   -0.000   10.777   31.15
 0.34500D+12 0.93059D-10 0.10000D+15   0.0150  1  144.578  0.12483  235.36  235.60   -0.000   11.267   29.63
 0.36000D+12 0.97301D-10 0.10000D+15   0.0150  1  144.256  0.12229  235.99  236.47    0.000   11.757   28.60
 0.37500D+12 0.10177D-09 0.10000D+15   0.0150  1  143.612  0.11751  237.15  237.63   -0.000   12.247   27.36
 0.39000D+12 0.10605D-09 0.10000D+15   0.0150  1  143.290  0.11526  237.70  238.43   -0.000   12.736   26.49
 0.40500D+12 0.11058D-09 0.10000D+15   0.0150  1  142.646  0.11100  238.74  239.48   -0.000   13.226   25.47
 0.42000D+12 0.11515D-09 0.10000D+15   0.0150  1  142.002  0.10704  239.69  240.48    0.000   13.716   24.54
 0.43500D+12 0.11951D-09 0.10000D+15   0.0150  1  141.680  0.10516  240.14  241.19    0.000   14.206   23.86
 0.45000D+12 0.12414D-09 0.10000D+15   0.0150  1  141.036  0.10160  241.00  242.11   -0.000   14.696   23.07
