R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.32024D-09 0.91500D+12 0.10000D+15   0.0150  1  108.836  0.03715  257.75  261.23    0.000   29.882   12.63
 0.34964D-09 0.93000D+12 0.10000D+15   0.0150  1  100.786  0.03194  259.63  262.28    0.000   30.372   12.51
 0.40532D-09 0.94500D+12 0.10000D+15   0.0150  1   87.584  0.02590  262.20  263.93    1.043   31.791   12.25
 0.47290D-09 0.96000D+12 0.10000D+15   0.0150  1   75.670  0.02207  264.17  265.35    2.077   33.231   11.96
 0.52277D-09 0.97500D+12 0.10000D+15   0.0150  1   69.230  0.02041  265.14  266.10    2.466   34.093   11.77
 0.57157D-09 0.99000D+12 0.10000D+15   0.0150  1   64.078  0.01925  265.88  266.68    2.717   34.830   11.62
 0.61910D-09 0.10050D+13 0.10000D+15   0.0150  1   59.892  0.01840  266.45  267.15    2.870   35.475   11.48
 0.67000D-09 0.10200D+13 0.10000D+15   0.0150  1   56.028  0.01767  266.97  267.57    2.999   36.098   11.34
 0.71980D-09 0.10350D+13 0.10000D+15   0.0150  1   52.808  0.01710  267.39  267.93    3.064   36.661   11.22
 0.77603D-09 0.10500D+13 0.10000D+15   0.0150  1   49.588  0.01656  267.80  268.26    3.143   37.237   11.10
 0.82886D-09 0.10650D+13 0.10000D+15   0.0150  1   47.012  0.01616  268.12  268.55    3.154   37.747   10.99
 0.88778D-09 0.10800D+13 0.10000D+15   0.0150  1   44.436  0.01577  268.43  268.82    3.178   38.270   10.87
 0.94683D-09 0.10950D+13 0.10000D+15   0.0150  1   42.182  0.01545  268.70  269.06    3.171   38.762   10.77
 0.10125D-08 0.11100D+13 0.10000D+15   0.0150  1   39.928  0.01513  268.97  269.29    3.178   39.267   10.66
 0.10770D-08 0.11250D+13 0.10000D+15   0.0150  1   37.996  0.01487  269.20  269.50    3.150   39.738   10.57
 0.11484D-08 0.11400D+13 0.10000D+15   0.0150  1   36.064  0.01462  269.43  269.69    3.134   40.221   10.47
 0.12279D-08 0.11550D+13 0.10000D+15   0.0150  1   34.132  0.01438  269.65  269.88    3.133   40.717   10.37
 0.13040D-08 0.11700D+13 0.10000D+15   0.0150  1   32.522  0.01418  269.83  270.04    3.091   41.173   10.27
 0.13741D-08 0.11850D+13 0.10000D+15   0.0150  1   31.234  0.01403  269.98  270.19    3.003   41.583   10.19
 0.14656D-08 0.12000D+13 0.10000D+15   0.0150  1   29.624  0.01384  270.16  270.35    2.985   42.062   10.09
