R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.00000D+00 0.10000D+15   0.0150  143.980  143.463  144.470
 0.15000D+11 0.10000D+15   0.0150  143.671  143.156  144.122
 0.30000D+11 0.10000D+15   0.0150  143.218  142.679  143.681
 0.45000D+11 0.10000D+15   0.0150  142.744  142.180  143.283
 0.60000D+11 0.10000D+15   0.0150  142.250  141.631  142.871
 0.75000D+11 0.10000D+15   0.0150  141.734  141.020  142.445
 0.90000D+11 0.10000D+15   0.0150  141.197  140.379  142.003
 0.10500D+12 0.10000D+15   0.0150  140.637  139.707  141.545
 0.12000D+12 0.10000D+15   0.0150  140.052  139.005  141.070
 0.13500D+12 0.10000D+15   0.0150  139.443  138.270  140.578
 0.15000D+12 0.10000D+15   0.0150  138.807  137.500  140.066
 0.16500D+12 0.10000D+15   0.0150  138.143  136.693  139.534
 0.18000D+12 0.10000D+15   0.0150  137.449  135.848  138.981
 0.19500D+12 0.10000D+15   0.0150  136.724  134.964  138.404
 0.21000D+12 0.10000D+15   0.0150  135.966  134.038  137.802
 0.22500D+12 0.10000D+15   0.0150  135.172  133.066  137.174
 0.24000D+12 0.10000D+15   0.0150  134.341  132.048  136.519
 0.25500D+12 0.10000D+15   0.0150  133.470  130.982  135.833
 0.27000D+12 0.10000D+15   0.0150  132.556  129.865  135.115
 0.28500D+12 0.10000D+15   0.0150  131.599  128.697  134.361
 0.30000D+12 0.10000D+15   0.0150  130.594  127.469  133.569
 0.31500D+12 0.10000D+15   0.0150  129.540  126.183  132.736
 0.33000D+12 0.10000D+15   0.0150  128.432  124.837  131.861
 0.34500D+12 0.10000D+15   0.0150  127.269  123.430  130.941
 0.36000D+12 0.10000D+15   0.0150  126.048  121.959  129.970
 0.37500D+12 0.10000D+15   0.0150  124.766  120.413  128.945
 0.39000D+12 0.10000D+15   0.0150  123.419  118.799  127.861
 0.40500D+12 0.10000D+15   0.0150  122.004  117.113  126.720
 0.42000D+12 0.10000D+15   0.0150  120.520  115.353  125.517
 0.43500D+12 0.10000D+15   0.0150  118.962  113.518  124.246
 0.45000D+12 0.10000D+15   0.0150  117.330  111.600  122.903
 0.46500D+12 0.10000D+15   0.0150  115.620  109.600  121.485
