R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.00000D+00 0.10000D+15   0.0150   44.430   42.962   45.927
 0.15000D+11 0.10000D+15   0.0150   44.584   43.229   45.968
 0.30000D+11 0.10000D+15   0.0150   41.961   40.399   43.582
 0.45000D+11 0.10000D+15   0.0150   39.656   37.942   41.451
 0.60000D+11 0.10000D+15   0.0150   37.613   35.792   39.534
 0.75000D+11 0.10000D+15   0.0150   35.788   33.894   37.799
 0.90000D+11 0.10000D+15   0.0150   34.148   32.206   36.221
 0.10500D+12 0.10000D+15   0.0150   32.666   30.695   34.778
 0.12000D+12 0.10000D+15   0.0150   31.318   29.334   33.454
 0.13500D+12 0.10000D+15   0.0150   30.088   28.102   32.235
 0.15000D+12 0.10000D+15   0.0150   28.961   26.981   31.107
 0.16500D+12 0.10000D+15   0.0150   27.924   25.959   30.060
 0.18000D+12 0.10000D+15   0.0150   26.966   25.022   29.087
 0.19500D+12 0.10000D+15   0.0150   26.079   24.160   28.178
 0.21000D+12 0.10000D+15   0.0150   25.255   23.365   27.328
 0.22500D+12 0.10000D+15   0.0150   24.487   22.630   26.530
 0.24000D+12 0.10000D+15   0.0150   23.771   21.947   25.780
 0.25500D+12 0.10000D+15   0.0150   23.100   21.313   25.074
 0.27000D+12 0.10000D+15   0.0150   22.472   20.722   24.407
 0.28500D+12 0.10000D+15   0.0150   21.881   20.169   23.777
 0.30000D+12 0.10000D+15   0.0150   21.325   19.652   23.180
 0.31500D+12 0.10000D+15   0.0150   20.802   19.168   22.614
 0.33000D+12 0.10000D+15   0.0150   20.307   18.712   22.077
 0.34500D+12 0.10000D+15   0.0150   19.840   18.284   21.566
 0.36000D+12 0.10000D+15   0.0150   19.397   17.879   21.080
 0.37500D+12 0.10000D+15   0.0150   18.978   17.498   20.618
 0.39000D+12 0.10000D+15   0.0150   18.580   17.137   20.177
 0.40500D+12 0.10000D+15   0.0150   18.202   16.795   19.757
 0.42000D+12 0.10000D+15   0.0150   17.843   16.471   19.356
 0.43500D+12 0.10000D+15   0.0150   17.502   16.164   18.974
 0.45000D+12 0.10000D+15   0.0150   17.176   15.871   18.609
 0.46500D+12 0.10000D+15   0.0150   16.866   15.593   18.262
 0.48000D+12 0.10000D+15   0.0150   16.571   15.327   17.930
 0.49500D+12 0.10000D+15   0.0150   16.288   15.073   17.613
 0.51000D+12 0.10000D+15   0.0150   16.019   14.831   17.310
 0.52500D+12 0.10000D+15   0.0150   15.761   14.599   17.021
 0.54000D+12 0.10000D+15   0.0150   15.515   14.377   16.745
 0.55500D+12 0.10000D+15   0.0150   15.279   14.164   16.482
 0.57000D+12 0.10000D+15   0.0150   15.052   13.960   16.229
 0.58500D+12 0.10000D+15   0.0150   14.835   13.763   15.988
 0.60000D+12 0.10000D+15   0.0150   14.627   13.574   15.758
