R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+15   0.0150  1  172.07  144.470  0.12396  235.58  225.54  256.09    7.707    6.346   45.93  1500.66
 0.15000D+11 0.10000D+15   0.0150  1  171.79  144.122  0.12126  236.24  226.87  256.14    7.720    6.850   45.91  1500.69
 0.30000D+11 0.10000D+15   0.0150  1  171.34  143.647  0.11776  237.09  228.30  256.21    7.735    7.357   43.03  1500.78
 0.45000D+11 0.10000D+15   0.0150  1  170.85  143.149  0.11430  237.94  229.66  256.29    7.751    7.864   40.52  1500.86
 0.60000D+11 0.10000D+15   0.0150  1  170.32  142.627  0.11088  238.76  230.95  256.37    7.768    8.373   38.30  1500.94
 0.75000D+11 0.10000D+15   0.0150  1  169.75  142.081  0.10751  239.58  232.19  256.46    7.787    8.883   36.33  1501.03
 0.90000D+11 0.10000D+15   0.0150  1  169.14  141.509  0.10419  240.38  233.37  256.54    7.806    9.394   34.56  1501.11
 0.10500D+12 0.10000D+15   0.0150  1  168.49  140.911  0.10093  241.16  234.50  256.63    7.826    9.906   32.97  1501.19
 0.12000D+12 0.10000D+15   0.0150  1  167.80  140.284  0.09772  241.93  235.59  256.73    7.847   10.419   31.53  1501.27
 0.13500D+12 0.10000D+15   0.0150  1  167.07  139.627  0.09457  242.68  236.64  256.83    7.868   10.932   30.23  1501.35
 0.15000D+12 0.10000D+15   0.0150  1  166.30  138.938  0.09148  243.43  237.65  256.93    7.890   11.447   29.03  1501.43
 0.16500D+12 0.10000D+15   0.0150  1  165.48  138.216  0.08843  244.15  238.64  257.04    7.913   11.962   27.94  1501.50
 0.18000D+12 0.10000D+15   0.0150  1  164.62  137.458  0.08545  244.87  239.59  257.16    7.936   12.478   26.93  1501.58
 0.19500D+12 0.10000D+15   0.0150  1  163.71  136.661  0.08252  245.57  240.51  257.28    7.959   12.994   26.00  1501.66
 0.21000D+12 0.10000D+15   0.0150  1  162.74  135.825  0.07965  246.27  241.41  257.40    7.982   13.511   25.14  1501.73
 0.22500D+12 0.10000D+15   0.0150  1  161.72  134.945  0.07684  246.95  242.29  257.53    8.005   14.028   24.34  1501.81
