R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.40000D+12 0.10000D+14   0.0150  133.392  130.717  135.861
 0.40000D+12 0.11220D+14   0.0150  132.190  129.322  134.844
 0.40000D+12 0.12589D+14   0.0150  130.875  127.806  133.724
 0.40000D+12 0.14125D+14   0.0150  129.433  126.149  132.493
 0.40000D+12 0.15849D+14   0.0150  127.850  124.347  131.126
 0.40000D+12 0.17783D+14   0.0150  126.107  122.378  129.609
 0.40000D+12 0.19953D+14   0.0150  124.186  120.230  127.917
 0.40000D+12 0.22387D+14   0.0150  122.067  117.888  126.029
 0.40000D+12 0.25119D+14   0.0150  119.727  115.327  123.917
 0.40000D+12 0.28184D+14   0.0150  117.146  112.539  121.559
 0.40000D+12 0.31623D+14   0.0150  114.300  109.489  118.925
 0.40000D+12 0.35481D+14   0.0150  111.169  106.174  115.996
 0.40000D+12 0.39811D+14   0.0150  107.737  102.572  112.751
 0.40000D+12 0.44668D+14   0.0150  103.991   98.670  109.174
 0.40000D+12 0.50119D+14   0.0150   99.929   94.473  105.269
 0.40000D+12 0.56234D+14   0.0150   95.556   89.986  101.031
 0.40000D+12 0.63096D+14   0.0150   90.892   85.214   96.482
 0.40000D+12 0.70795D+14   0.0150   85.964   80.200   91.657
 0.40000D+12 0.79433D+14   0.0150   80.817   74.985   86.591
 0.40000D+12 0.89125D+14   0.0150   75.502   69.620   81.335
 0.40000D+12 0.10000D+15   0.0150   70.081   64.167   75.952
 0.40000D+12 0.11220D+15   0.0150   64.619   58.692   70.508
 0.40000D+12 0.12589D+15   0.0150   59.184   53.263   65.071
 0.40000D+12 0.14125D+15   0.0150   53.845   47.949   59.707
 0.40000D+12 0.15849D+15   0.0150   48.664   42.815   54.479
 0.40000D+12 0.17783D+15   0.0150   43.697   37.919   49.442
 0.40000D+12 0.19953D+15   0.0150   38.991   33.304   44.642
 0.40000D+12 0.22387D+15   0.0150   34.584   29.011   40.124
 0.40000D+12 0.25119D+15   0.0150   30.501   25.076   35.904
 0.40000D+12 0.28184D+15   0.0150   26.843   21.905   32.000
 0.40000D+12 0.31623D+15   0.0150   24.772   21.577   28.942
 0.40000D+12 0.35481D+15   0.0150   23.531   21.534   26.381
 0.40000D+12 0.39811D+15   0.0150   23.061   21.531   24.644
 0.40000D+12 0.44668D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.50119D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.56234D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.63096D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.70795D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.79433D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.89125D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.10000D+16   0.0150   23.060   21.531   24.611
 0.41000D+12 0.10000D+14   0.0150  133.043  130.266  135.605
 0.41000D+12 0.11220D+14   0.0150  131.808  128.832  134.563
 0.41000D+12 0.12589D+14   0.0150  130.457  127.271  133.413
 0.41000D+12 0.14125D+14   0.0150  128.974  125.566  132.149
 0.41000D+12 0.15849D+14   0.0150  127.345  123.714  130.743
 0.41000D+12 0.17783D+14   0.0150  125.551  121.685  129.183
 0.41000D+12 0.19953D+14   0.0150  123.573  119.476  127.438
 0.41000D+12 0.22387D+14   0.0150  121.390  117.064  125.494
 0.41000D+12 0.25119D+14   0.0150  118.981  114.431  123.314
 0.41000D+12 0.28184D+14   0.0150  116.323  111.563  120.884
 0.41000D+12 0.31623D+14   0.0150  113.394  108.429  118.167
 0.41000D+12 0.35481D+14   0.0150  110.174  105.028  115.153
 0.41000D+12 0.39811D+14   0.0150  106.649  101.331  111.812
 0.41000D+12 0.44668D+14   0.0150  102.809   97.336  108.142
 0.41000D+12 0.50119D+14   0.0150   98.652   93.047  104.140
 0.41000D+12 0.56234D+14   0.0150   94.189   88.470   99.808
 0.41000D+12 0.63096D+14   0.0150   89.441   83.619   95.172
 0.41000D+12 0.70795D+14   0.0150   84.442   78.537   90.271
 0.41000D+12 0.79433D+14   0.0150   79.236   73.268   85.142
 0.41000D+12 0.89125D+14   0.0150   73.880   67.867   79.841
 0.41000D+12 0.10000D+15   0.0150   68.437   62.397   74.430
 0.41000D+12 0.11220D+15   0.0150   62.973   56.925   68.978
 0.41000D+12 0.12589D+15   0.0150   57.558   51.522   63.553
 0.41000D+12 0.14125D+15   0.0150   52.257   46.254   58.220
 0.41000D+12 0.15849D+15   0.0150   47.132   41.185   53.040
 0.41000D+12 0.17783D+15   0.0150   42.236   36.371   48.065
 0.41000D+12 0.19953D+15   0.0150   37.615   31.847   43.342
 0.41000D+12 0.22387D+15   0.0150   33.301   27.662   38.908
 0.41000D+12 0.25119D+15   0.0150   29.319   23.844   34.775
 0.41000D+12 0.28184D+15   0.0150   26.049   21.546   31.088
 0.41000D+12 0.31623D+15   0.0150   24.230   21.356   28.153
 0.41000D+12 0.35481D+15   0.0150   23.165   21.332   25.722
 0.41000D+12 0.39811D+15   0.0150   22.871   21.331   24.436
 0.41000D+12 0.44668D+15   0.0150   22.871   21.331   24.436
 0.41000D+12 0.50119D+15   0.0150   22.871   21.331   24.436
 0.41000D+12 0.56234D+15   0.0150   22.871   21.331   24.436
 0.41000D+12 0.63096D+15   0.0150   22.871   21.331   24.436
