R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.40000D+12 0.10000D+14   0.0150   12.317   11.363   13.350
 0.40000D+12 0.11220D+14   0.0150   12.401   11.459   13.423
 0.40000D+12 0.12589D+14   0.0150   12.488   11.559   13.496
 0.40000D+12 0.14125D+14   0.0150   12.578   11.664   13.570
 0.40000D+12 0.15849D+14   0.0150   12.671   11.774   13.644
 0.40000D+12 0.17783D+14   0.0150   12.768   11.890   13.720
 0.40000D+12 0.19953D+14   0.0150   12.870   12.012   13.797
 0.40000D+12 0.22387D+14   0.0150   12.976   12.139   13.877
 0.40000D+12 0.25119D+14   0.0150   13.088   12.272   13.962
 0.40000D+12 0.28184D+14   0.0150   13.205   12.410   14.052
 0.40000D+12 0.31623D+14   0.0150   13.329   12.554   14.150
 0.40000D+12 0.35481D+14   0.0150   13.460   12.703   14.257
 0.40000D+12 0.39811D+14   0.0150   13.598   12.857   14.374
 0.40000D+12 0.44668D+14   0.0150   13.743   13.016   14.501
 0.40000D+12 0.50119D+14   0.0150   13.897   13.179   14.640
 0.40000D+12 0.56234D+14   0.0150   14.057   13.347   14.790
 0.40000D+12 0.63096D+14   0.0150   14.224   13.519   14.950
 0.40000D+12 0.70795D+14   0.0150   14.396   13.693   15.119
 0.40000D+12 0.79433D+14   0.0150   14.574   13.870   15.297
 0.40000D+12 0.89125D+14   0.0150   14.754   14.046   15.481
 0.40000D+12 0.10000D+15   0.0150   14.936   14.222   15.668
 0.40000D+12 0.11220D+15   0.0150   15.117   14.395   15.858
 0.40000D+12 0.12589D+15   0.0150   15.296   14.563   16.049
 0.40000D+12 0.14125D+15   0.0150   15.471   14.724   16.239
 0.40000D+12 0.15849D+15   0.0150   15.641   14.875   16.426
 0.40000D+12 0.17783D+15   0.0150   15.803   15.015   16.610
 0.40000D+12 0.19953D+15   0.0150   15.956   15.140   16.790
 0.40000D+12 0.22387D+15   0.0150   16.100   15.251   16.965
 0.40000D+12 0.25119D+15   0.0150   16.234   15.345   17.135
 0.40000D+12 0.28184D+15   0.0150   16.849   15.423   22.347
 0.40000D+12 0.31623D+15   0.0150   18.902   15.937   23.435
 0.40000D+12 0.35481D+15   0.0150   20.389   16.807   24.131
 0.40000D+12 0.39811D+15   0.0150   22.928   18.074   24.610
 0.40000D+12 0.44668D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.50119D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.56234D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.63096D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.70795D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.79433D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.89125D+15   0.0150   23.060   21.531   24.611
 0.40000D+12 0.10000D+16   0.0150   23.060   21.531   24.611
 0.41000D+12 0.10000D+14   0.0150   12.187   11.237   13.217
 0.41000D+12 0.11220D+14   0.0150   12.270   11.333   13.289
 0.41000D+12 0.12589D+14   0.0150   12.357   11.433   13.361
 0.41000D+12 0.14125D+14   0.0150   12.447   11.539   13.435
 0.41000D+12 0.15849D+14   0.0150   12.540   11.650   13.508
 0.41000D+12 0.17783D+14   0.0150   12.637   11.766   13.583
 0.41000D+12 0.19953D+14   0.0150   12.739   11.888   13.660
 0.41000D+12 0.22387D+14   0.0150   12.845   12.015   13.740
 0.41000D+12 0.25119D+14   0.0150   12.957   12.148   13.824
 0.41000D+12 0.28184D+14   0.0150   13.075   12.286   13.915
 0.41000D+12 0.31623D+14   0.0150   13.199   12.430   14.014
 0.41000D+12 0.35481D+14   0.0150   13.331   12.579   14.121
 0.41000D+12 0.39811D+14   0.0150   13.469   12.733   14.240
 0.41000D+12 0.44668D+14   0.0150   13.615   12.891   14.369
 0.41000D+12 0.50119D+14   0.0150   13.768   13.054   14.509
 0.41000D+12 0.56234D+14   0.0150   13.929   13.221   14.660
 0.41000D+12 0.63096D+14   0.0150   14.095   13.392   14.820
 0.41000D+12 0.70795D+14   0.0150   14.267   13.565   14.990
 0.41000D+12 0.79433D+14   0.0150   14.444   13.739   15.167
 0.41000D+12 0.89125D+14   0.0150   14.622   13.914   15.350
